country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.445,0.445,0.445,0.419,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.387,0.219,0.219,0.219,0.283,0.339,0.339,0.339,0.339,0.318,0.227,0.227,0.227,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.177,0.176,0.196,0.215,0.19,0.19,0.237
Albania,0.756,0.756,0.701,0.701,0.701,0.701,0.691,0.691,0.691,0.687,0.645,0.645,0.645,0.645,0.625,0.586,0.477,0.45,0.454,0.454,0.45,0.444,0.418,0.392,0.382,0.382,0.407,0.38,0.38,0.38,0.452,0.452,0.452,0.346,0.346,0.341,0.347,0.355,0.388,0.385,0.385,0.385,0.312,0.294
Algeria,0.504,0.504,0.504,0.477,0.459,0.435,0.435,0.435,0.435,0.44,0.444,0.444,0.444,0.444,0.464,0.459,0.464,0.447,0.443,0.443,0.443,0.443,0.436,0.436,0.431,0.359,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.359,0.359,0.37,0.37,0.37,0.379,0.36,0.322
Angola,0.492,0.492,0.492,0.464,0.464,0.448,0.448,0.434,0.434,0.439,0.439,0.439,0.435,0.368,0.368,0.368,0.368,0.297,0.297,0.297,0.297,0.297,0.289,0.289,0.289,0.289,0.289,0.224,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.162,0.16,0.16,0.16,0.16,0.303,0.406
Argentina,0.508,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.58,0.603,0.614,0.614,0.614,0.614,0.604,0.504,0.504,0.504,0.5,0.5,0.5,0.5,0.494,0.494,0.494,0.563,0.554,0.542,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.468,0.468,0.49,0.51,0.51,0.501
Armenia,,,,,,,,,,,,,,,,,0.515,0.515,0.515,0.515,0.496,0.417,0.415,0.401,0.4,0.368,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.306,0.306,0.313,0.313,0.331,0.316,0.316,0.322,0.322,0.338,0.49
Australia,0.872,0.872,0.872,0.872,0.872,0.917,0.917,0.917,0.917,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.909,0.909,0.909,0.909,0.918,0.909,0.909,0.909,0.909,0.909,0.918,0.909,0.825,0.832,0.832,0.832,0.818,0.773
Austria,0.715,0.715,0.715,0.715,0.715,0.631,0.631,0.631,0.631,0.639,0.639,0.639,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.65,0.65,0.65,0.633,0.621,0.624,0.639,0.624,0.624,0.63,0.646,0.646,0.646,0.646,0.635,0.642,0.772,0.772,0.772,0.772,0.772,0.778
Azerbaijan,,,,,,,,,,,,,,,,,0.378,0.391,0.224,0.109,0.109,0.109,0.109,0.109,0.118,0.118,0.118,0.118,0.118,0.118,0.106,0.106,0.106,0.106,0.106,0.146,0.146,0.146,0.146,0.146,0.146,0.0424,0.0424,0.117
Bahrain,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.478,0.478,0.478,0.478,0.472,0.472,0.472,0.472,0.418,0.408,0.416,0.416,0.416,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.433,0.44,0.44,0.433,0.433,0.433,0.433
