country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0248,,,,0.0191,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106,0.0829,0.0765,0.0812,0.101,0.0743,0.096,0.119,0.11,,0.096
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0379,,,,0.0132,0.0104,0.0147,0.0101,0.0149,0.0146,0.0154,0.0203,0.0152,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.0575,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.0862,0.0725,,0.0465,0.0508,0.0453,0.0414,0.0417,0.0376,0.0357,,,0.0429
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,0.13,0.133,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0321,0.0287,0.0316,0.0355,0.0592,0.0559,0.0616,0.0545,0.0584,0.0589,0.0529,0.0546,0.0795,0.0951,0.11,0.0968,0.0763,0.0758,0.0677,0.0629,0.0549,0.0453,0.0458,0.043,0.0377,0.0355,0.0337,0.0323,0.0273,0.0261,0.0334,0.0325,0.0333,0.0345,0.0383,0.0409,0.0425,0.0425,0.0407
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0342,0.0388,0.046,0.0516,0.0636,0.0475,0.0674,0.0555,0.0575,0.0607,0.0507,0.0397,0.0402,0.0345,0.0225,0.0272,0.0247,0.0359,0.0344,0.0377,0.0382,0.0472,0.0497,0.0424
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0796,0.0153,0.035,0.028,0.027,0.0228,0.0213,0.0238,0.0261,0.027
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0594,,,,,0.0593,,0.0816,,0.0493,0.0369,0.0677,,0.0605,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0181,,0.0197,0.0185,,,,0.0216,,,0.00938,,,0.0105,0.00869
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0319,,,0.087,0.0978,0.111,0.099,0.0595,0.0805,0.13,,,0.108,,0.0495,,,,,,0.0714,,,,,,0.0577,0.0603,,,0.072,0.0625,0.0553,0.0469,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0513,0.0582
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0542,0.0587,0.0497,0.0615,0.0525,0.0625,0.0422,0.0356,0.0275,0.0282,0.0355,0.0492,0.0396,0.0448,0.0467,0.0532,0.0566,0.0322,0.0298,0.0348,0.0168,0.0363,0.0443,0.0476,0.0424,0.0436,0.0511,0.0463,0.0403,0.0449,0.0539,0.0537,0.0562,0.0566,0.0587
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,,,0.0473,0.0079,0.0484
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031,0.00799,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0069,0.0126,0.003,0.0019,0.0041,0.0006,0.0016,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0256,,,,,,,,,,,,,,,,,,,,,,
