country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0401,,,,0.00958,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0496,0.0781,0.0321,,,0.0176,0.0138,0.0107,,0.023
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077,0.0315,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,0.0925,0.0749,,0.051,0.0562,0.0469,0.0374,0.0286,0.0304,0.0338,,,0.0447
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0681,0.0858,0.0846,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0162,0.0135,0.015,0.0114,0.0152,0.0146,0.016,0.0134,0.0109,0.0127,0.0154,0.016,0.0177,0.0209,0.0198,0.0181,0.0147,0.0167,0.016,0.0115,0.00916,0.0102,0.0144,0.00925,0.00875,0.00909,0.0101,0.0133,0.0117,0.0101,0.0127,0.0153,0.0115,0.0162,0.0151,0.0222,0.0152,0.0155,0.014
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.007,,,0.0978,,,,,0.0141,,0.0103,0.00507,0.00441,0.00258,0.00415,0.00308,0.00525,0.00401,0.00326,0.00808,0.00399,0.00495,0.00847
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0323,,,,,0.0307,,0.0356,,,0.0299,0.0605,,0.327,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0099,,0.0342,0.0324,,,,0.0364,,,0.00718,,,0.0087,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,0.0435,,,,,,0.0526,0.0513,,,0.02,,0.0208,0.0185,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0304,0.0665
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0197,,,,,,,,0.0186,,0.0167,0.026,,,,,,,,,0.0089,0.00765,0.0123,0.0121,,0.00893,,0.0137,0.00989,,0.00867,0.017,0.0119
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0814,,,0.0866,0.0337,0.0311
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00956,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0469,,0.0003,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0333,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0214,0.0268,,,,,0.0315,,0.0348,,0.0869,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0946,,,,,,,,,,,,,,,,,,,,,0.0279,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0139,0.0117,0.0124,0.017,0.0238,0.0314
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00862,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0283,0.0831,0.0521,0.0191,,0.0119,0.0287,0.0246,0.0225,0.0266,0.0481,0.0363,0.0335,0.0621,0.0561,0.0427,0.0303,0.0356
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0245,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00911,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0216,0.0218,0.0186,0.0196,0.0165,0.018,0.0268,0.0222,0.021,0.0202,0.0244,0.0271,0.0218,0.019,0.0161,0.0393,0.049,0.053,0.0509,0.0425,0.0383,0.0309,0.0276,0.0275,0.0265,0.0331,0.0317,0.0342,0.0322,0.0341,0.0441,0.0355,0.0282,0.0444,0.0482,0.0476,0.0458,0.0436,0.0412,0.0458,0.0462,0.0513
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,,0.0086
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0484,0.0264,,,,,,,,,0.0097,0.0136,0.0091,0.0458,0.02,0.0186,0.0319,0.0456,0.0282,0.0357,0.0309,0.0377,0.0369,0.0455,0.0355,0.054,0.0566,0.0301,0.0281,0.0244,0.0217,0.0306,0.0281,0.0261,0.0267
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0327,,,,0.0294,,,,,0.0571,0.0648,0.0676,0.0459,0.0414,,0.0448,0.0437,0.0503,0.0451,0.0465,0.0421,0.0346,0.0366,0.0335,0.0353,0.0323
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0342,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00775,,,,,,,0.0209,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0389,0.0604,0.0515,0.0437,0.0275,0.0335,0.0335
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0137,0.00894,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0093,,,,,,0.012,,,0.0475,,,0.0367
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00601,,0.00577,0.0111,0.0539,0.0183,0.0118,0.0229,0.0132
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0535,0.0317,0.0421,0.042,0.0286,0.0638,0.0524,0.0245,0.0372,0.0369,0.0414,0.0235,0.0303,0.0236,0.0113,0.00827,0.00608,0.0132,0.0139,0.0281,0.0149,0.0125,0.0102,0.00758,0.00803
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0082,0.025,,0.0144,0.0167,0.0119,0.0198,0.0241,0.0339,0.0175,0.0222,,,0.0461,,0.031,,0.0373,0.00801,,,,0.0068,,0.0193,0.00709,0.000825,0.00922,0.00922,0.00586,0.00401,0.00346,0.0072,0.01,0.0106
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00806,0.0106,0.0065
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.0299,0.0506,,0.0111,0.0126,,0.0338,0.0157,0.00933,0.00922,0.0108,0.00811,0.00696,0.00693,0.00396,0.00512,0.00455,0.00542,0.00487,0.01,0.0063
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0676,0.0355,,,,,,,,0.0665,0.0601,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00822,0.00592,0.0173,0.0148,0.00991,0.0705,0.0598,0.0608,,0.0524,,0.109,,,,0.0197,0.0211,,0.0204,0.0396,0.0319,0.0403,0.0401,0.0287,0.0293,0.0383,0.0268,0.0213
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0137,,,,,,0.00832,,,,,,,,0.00648,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00434,,0.0106,0.00385,0.00645,0.00701,0.0121,0.0119,0.015,0.0099,0.0173,0.0153
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,0.00651,,0.0107,0.0135,0.0145,0.0205,,0.0156,0.0131,,,0.0216,0.0154,,0.0119,,,,,,,,0.0146,0.0141,0.026,0.0318,0.024,0.0116,0.0129,0.036,0.0487,0.0267,0.025,0.0305
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0627,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0447,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0364
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00287,0.00348,0.00494,0.012,0.019,0.00657,0.00595,0.00563,0.0124,0.0104,0.00911,0.0116,0.00942,0.0132,0.014,0.0109,0.0118,0.00795,0.00487,0.00446,0.00869,0.00811,0.00832,0.00731,0.0105,0.00927,0.00942,0.00569,0.00903,0.00853,0.0085,0.00816,0.00815,0.00676,0.00776
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0325,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00394,0.00668,0.00552,0.00455,0.00445,0.00684,0.00535,0.00882,0.0114,0.00914,0.00811,0.00624,0.00759,0.0111,0.00904,0.0137,0.014,0.0104,0.0118,0.00745,0.011,0.0119,0.0144,0.012,0.0112,0.00834,0.00841,0.0134,0.0257,0.0444,0.0907,0.108,0.1,0.128,0.117
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0956,,0.0376,,0.0249,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00888,0.0153,,,,,,0.0172,0.0129,,0.0142,0.00693,,,
