country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.397,0.396,0.397,0.383,0.343,0.355,0.354,0.355,0.355,0.355,0.355,0.356,0.355,0.355,0.355,0.267,0.266,0.204,0.224,0.225,0.223,0.178,0.166,0.167,0.167,0.165,0.23,0.357,0.352,0.354,0.356,0.358,0.357,0.359,0.357,0.349,0.351,0.35,0.347,0.348,0.348,0.32,0.335,0.305
Albania,0.17,0.17,0.17,0.169,0.171,0.17,0.17,0.17,0.171,0.169,0.171,0.17,0.17,0.17,0.17,0.245,0.536,0.56,0.619,0.618,0.62,0.62,0.619,0.619,0.629,0.695,0.693,0.692,0.692,0.694,0.694,0.694,0.694,0.693,0.693,0.693,0.694,0.693,0.712,0.71,0.708,0.711,0.691,0.694
Algeria,0.537,0.536,0.539,0.538,0.535,0.535,0.535,0.536,0.535,0.534,0.536,0.535,0.535,0.536,0.517,0.518,0.499,0.501,0.5,0.5,0.518,0.517,0.517,0.517,0.517,0.515,0.515,0.513,0.515,0.514,0.501,0.502,0.501,0.503,0.503,0.503,0.501,0.507,0.504,0.528,0.528,0.563,0.55,0.572
Angola,0.257,0.307,0.306,0.305,0.306,0.306,0.303,0.306,0.305,0.306,0.305,0.305,0.305,0.304,0.305,0.336,0.352,0.403,0.401,0.402,0.404,0.402,0.421,0.419,0.419,0.42,0.42,0.555,0.489,0.486,0.488,0.488,0.489,0.488,0.487,0.5,0.501,0.5,0.483,0.484,0.484,0.485,0.493,0.51
Argentina,0.498,0.161,0.161,0.16,0.162,0.162,0.162,0.161,0.469,0.65,0.651,0.652,0.65,0.65,0.649,0.647,0.64,0.641,0.641,0.639,0.645,0.645,0.643,0.646,0.646,0.645,0.631,0.631,0.631,0.644,0.646,0.645,0.644,0.644,0.643,0.643,0.644,0.644,0.622,0.621,0.623,0.656,0.661,0.724
Armenia,,,,,,,,,,,,,,,,,0.558,0.557,0.554,0.548,0.55,0.552,0.548,0.545,0.55,0.549,0.549,0.55,0.548,0.549,0.549,0.549,0.548,0.547,0.539,0.518,0.52,0.521,0.552,0.55,0.569,0.572,0.579,0.606
Australia,0.898,0.898,0.897,0.897,0.897,0.898,0.897,0.896,0.896,0.898,0.898,0.898,0.898,0.897,0.897,0.897,0.898,0.897,0.898,0.896,0.897,0.898,0.897,0.896,0.896,0.898,0.896,0.895,0.897,0.899,0.896,0.897,0.899,0.896,0.896,0.896,0.899,0.896,0.901,0.901,0.897,0.896,0.879,0.881
Austria,0.834,0.854,0.855,0.854,0.855,0.856,0.906,0.907,0.908,0.908,0.908,0.936,0.936,0.937,0.936,0.934,0.936,0.937,0.937,0.937,0.937,0.936,0.937,0.938,0.935,0.938,0.937,0.938,0.937,0.937,0.938,0.937,0.936,0.936,0.935,0.935,0.937,0.939,0.926,0.925,0.926,0.924,0.924,0.805
Azerbaijan,,,,,,,,,,,,,,,,,0.49,0.527,0.517,0.427,0.428,0.425,0.425,0.391,0.399,0.397,0.397,0.398,0.397,0.397,0.397,0.399,0.396,0.4,0.399,0.397,0.4,0.4,0.363,0.345,0.345,0.352,0.385,0.378
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456,0.454,0.456,0.456,0.457,0.438,0.259,0.259,0.257,0.259,0.261,0.26,0.26,0.261
