country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,0.337,,,,0.383,,,,,0.545,,,
Albania,,,,,,,,,,,,,,,,,,0.254,,,0.185,,,0.124,,,,0.143,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,0.366,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303,0.257,0.32,
Armenia,,,,,,,,,,,,,,,,,,,,0.535,0.401,0.302,0.264,0.276,0.341,0.358,0.35,0.324,0.32,0.3,0.298,0.294,0.257,0.235,
Azerbaijan,,,,,,,,,,,,,,,,,0.496,,,,,,0.158,0.132,0.109,0.091,0.076,0.06,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,0.489,,,,,0.4,,,,,0.315,,,,,,0.243,,,
Belarus,,,,,,,,,,,,,,,,0.419,0.289,0.305,0.271,0.178,0.127,0.111,0.077,0.061,0.054,0.052,0.073,0.063,0.055,0.048,0.051,0.057,0.059,0.056,
Benin,,,,,,,,,,,,,,,,,,,,,,0.375,0.33,,,0.352,0.362,,,,0.401,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,0.232,,,,,0.12,,,,,0.082,,
Bolivia,,,,,,,,,,,,,,,,0.664,0.631,0.633,,0.631,0.596,0.599,0.601,0.573,0.513,,0.451,0.433,0.389,0.391,0.386,0.395,0.364,0.346,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,0.182,,,,0.179,,,,0.169,,,,
Botswana,0.59,,,,,,,,0.329,,,,,,,,,0.306,,,,,,,0.193,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229,0.234,0.22,,
Burkina Faso,,,,,,,,,,,,,,,,,,,0.511,,,,,,0.467,,,,,0.401,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,0.671,,,,,,,0.649,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,0.502,,,0.45,,0.34,0.239,0.221,0.205,0.177,,,,,,,
Cameroon,,,,,,,,,,,,0.533,,,,,0.402,,,,,,0.399,,,,,,,0.375,,,,,
Cape Verde,,,,,,,,,,,,,,,,,0.58,,,,,,0.46,,,,,,,,0.35,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,0.548,,,,,,,,,0.467,,,,,,,,
Chile,,,,,,,,,,,,,,,,0.36,,,0.354,,,0.291,,,0.253,,0.222,,0.144,,0.117,,0.086,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,0.072,0.057,0.045,0.031,0.017,
