country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.149,0.149,0.149,0.148,0.137,0.137,0.137,0.137,0.137,0.136,0.136,0.162,0.162,0.201,0.201,0.206,0.201,0.19,0.23,0.235,0.235,0.235,0.235,0.267,0.267,0.273,0.273,0.284,0.309,0.315,0.316,0.317,0.319,0.347,0.347,0.347,0.369,0.369,0.374,0.374,0.396,0.392,0.393,0.394
Albania,0.531,0.537,0.54,0.395,0.414,0.414,0.435,0.435,0.458,0.462,0.484,0.486,0.482,0.511,0.513,0.513,0.534,0.535,0.536,0.539,0.54,0.568,0.565,0.565,0.571,0.597,0.603,0.61,0.631,0.633,0.634,0.66,0.66,0.661,0.687,0.693,0.695,0.696,0.723,0.724,0.732,0.732,0.731,0.732
Algeria,0.234,0.234,0.237,0.244,0.277,0.283,0.311,0.315,0.34,0.369,0.393,0.416,0.418,0.443,0.443,0.445,0.444,0.478,0.478,0.477,0.478,0.478,0.484,0.485,0.49,0.49,0.518,0.522,0.523,0.526,0.527,0.557,0.557,0.557,0.559,0.56,0.56,0.586,0.591,0.591,0.592,0.594,0.594,0.593
Angola,0.109,0.109,0.128,0.128,0.128,0.132,0.119,0.119,0.119,0.119,0.119,0.0997,0.0997,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.111,0.183,0.183,0.197,0.197,0.205,0.209,0.227,0.259,0.266,0.267,0.294,0.303,0.326,0.332,0.354,0.354,0.361,0.382,0.382,0.382,0.404,0.404
Argentina,0.441,0.441,0.446,0.471,0.471,0.502,0.503,0.533,0.533,0.541,0.565,0.566,0.567,0.572,0.572,0.566,0.567,0.569,0.574,0.575,0.598,0.598,0.598,0.605,0.607,0.629,0.629,0.626,0.631,0.633,0.635,0.658,0.659,0.664,0.666,0.666,0.667,0.667,0.694,0.695,0.703,0.703,0.703,0.703
Armenia,,,,,,,,,,,,,,,,,0.473,0.495,0.495,0.495,0.529,0.53,0.537,0.537,0.561,0.568,0.574,0.575,0.583,0.606,0.607,0.608,0.609,0.632,0.631,0.635,0.635,0.636,0.657,0.658,0.665,0.665,0.691,0.692
Australia,0.646,0.646,0.651,0.652,0.676,0.686,0.686,0.686,0.688,0.695,0.696,0.695,0.722,0.73,0.734,0.734,0.766,0.766,0.765,0.765,0.768,0.779,0.779,0.778,0.816,0.816,0.817,0.822,0.822,0.837,0.837,0.839,0.839,0.839,0.84,0.846,0.846,0.904,0.895,0.895,0.893,0.893,0.893,0.893
Austria,0.596,0.596,0.619,0.622,0.627,0.649,0.649,0.649,0.651,0.681,0.681,0.688,0.688,0.715,0.723,0.725,0.725,0.725,0.755,0.766,0.766,0.766,0.804,0.806,0.806,0.821,0.821,0.821,0.825,0.825,0.825,0.825,0.825,0.825,0.867,0.903,0.903,0.903,0.913,0.913,0.913,0.913,0.903,0.913
Azerbaijan,,,,,,,,,,,,,,,,,0.355,0.358,0.343,0.342,0.344,0.346,0.368,0.37,0.379,0.403,0.408,0.435,0.436,0.463,0.472,0.472,0.506,0.507,0.507,0.534,0.542,0.542,0.568,0.568,0.568,0.593,0.599,0.599
Bahrain,0.474,0.481,0.508,0.515,0.517,0.544,0.545,0.545,0.546,0.57,0.576,0.577,0.577,0.577,0.584,0.584,0.585,0.585,0.608,0.609,0.614,0.638,0.638,0.638,0.663,0.671,0.671,0.672,0.672,0.672,0.679,0.707,0.709,0.709,0.71,0.71,0.737,0.737,0.748,0.748,0.748,0.748,0.748,0.747
Bangladesh,0.16,0.172,0.165,0.172,0.175,0.172,0.172,0.221,0.221,0.221,0.224,0.224,0.226,0.258,0.259,0.263,0.293,0.293,0.295,0.295,0.322,0.324,0.327,0.352,0.355,0.357,0.382,0.382,0.384,0.412,0.411,0.411,0.441,0.441,0.442,0.474,0.474,0.474,0.507,0.508,0.511,0.513,0.541,0.541
