country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0.252,0.237,0.238,0.236,0,0,0,0,0,0,0,0,0,0,0,0.475,0.471,0.475,0.472,0.472,0.445,0.446,0.444,0.448,0.451,0.453,0.453,0.435,0.415,0.401
Albania,0.203,0.203,0.204,0.201,0.2,0.201,0.199,0.202,0.201,0.202,0.202,0.202,0.202,0.203,0.201,0.2,0.411,0.488,0.487,0.487,0.486,0.366,0.416,0.416,0.418,0.428,0.522,0.524,0.523,0.523,0.54,0.541,0.54,0.536,0.555,0.554,0.559,0.554,0.546,0.556,0.553,0.553,0.577,0.572
Algeria,0,0.314,0.315,0.315,0.32,0.321,0.322,0.352,0.355,0.349,0.35,0.354,0.358,0.354,0.355,0.378,0.493,0.494,0,0,0.428,0.425,0.339,0.343,0.294,0.295,0.293,0.372,0.374,0.399,0.398,0.399,0.411,0.409,0.399,0.399,0.395,0.431,0.427,0.389,0.393,0.393,0.387,0.376
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397,0.399,0.398,0.398,0.415,0.4,0.403,0.402,0.402,0.412,0.41
Argentina,0.68,0.618,0,0,0,0,0,0,0.773,0.804,0.806,0.805,0.802,0.802,0.805,0.805,0.805,0.804,0.803,0.803,0.801,0.802,0.8,0.801,0.803,0.803,0.803,0.804,0.804,0.808,0.779,0.778,0.756,0.755,0.737,0.738,0.756,0.757,0.819,0.82,0.766,0.766,0.827,0.832
Armenia,,,,,,,,,,,,,,,,,0.667,0.664,0.662,0.664,0.465,0.458,0.467,0.449,0.467,0.458,0.457,0.456,0.347,0.347,0.347,0.346,0.358,0.286,0.307,0.303,0.305,0.433,0.417,0.422,0.418,0.416,0.443,0.548
Australia,0.838,0.838,0.836,0.837,0.838,0.84,0.838,0.838,0.835,0.848,0.851,0.85,0.849,0.852,0.854,0.854,0.853,0.855,0.851,0.851,0.85,0.85,0.851,0.853,0.851,0.851,0.856,0.859,0.854,0.854,0.857,0.856,0.89,0.89,0.888,0.959,0.956,0.957,0.887,0.893,0.885,0.887,0.884,0.884
Austria,0.831,0.832,0.83,0.829,0.827,0.83,0.831,0.831,0.83,0.827,0.828,0.823,0.827,0.824,0.824,0.827,0.827,0.825,0.828,0.824,0.825,0.826,0.826,0.829,0.831,0.831,0.827,0.83,0.83,0.824,0.826,0.853,0.856,0.85,0.854,0.86,0.859,0.86,0.849,0.846,0.846,0.757,0.789,0.792
Azerbaijan,,,,,,,,,,,,,,,,,0.271,0.449,0.546,0.528,0.244,0.244,0.249,0.235,0.236,0.211,0.207,0.206,0.195,0.195,0.183,0.181,0.182,0.237,0.237,0.195,0.196,0.196,0.171,0.17,0.179,0.173,0.178,0.154
Bahrain,0.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449,0.446,0.447,0.465,0.463,0.464,0.465,0.466,0.438,0.437,0.437,0.438,0.34,0.34,0.338,0.338,0.297
Bangladesh,0.499,0,0,0.514,0.514,0.515,0.504,0.492,0,0,0,0.442,0.441,0.356,0.356,0.364,0.634,0.613,0.616,0.616,0.613,0.602,0.599,0.599,0.599,0.599,0.615,0.588,0.587,0.583,0.586,0.585,0,0.619,0.613,0.612,0.613,0.606,0.597,0.381,0.375,0.378,0.379,0.35
Belarus,,,,,,,,,,,,,,,,,,,,0.662,0.585,0.588,0.528,0.53,0.533,0.274,0.288,0.286,0.288,0.233,0.237,0.213,0.213,0.229,0.231,0.218,0.221,0.275,0.285,0.289,0.306,0.295,0.297,0.294
Belgium,0.832,0.831,0.841,0.841,0.84,0.839,0.833,0.835,0.833,0.832,0.838,0.836,0.835,0.837,0.835,0.832,0.833,0.83,0.832,0.831,0.838,0.835,0.835,0.836,0.835,0.841,0.84,0.842,0.844,0.845,0.844,0.857,0.887,0.892,0.888,0.895,0.896,0.897,0.9,0.885,0.885,0.885,0.889,0.88
Benin,0,0,0,0,0.315,0.317,0.313,0.315,0.315,0.271,0.274,0.272,0.271,0.272,0.268,0.306,0.623,0.621,0.621,0.62,0.639,0.628,0.63,0.63,0.616,0.617,0.61,0.608,0.598,0.598,0.627,0.702,0.693,0.693,0.692,0.691,0.618,0.618,0.626,0.631,0.693,0.716,0.721,0.732
Bolivia,0,0,0,0.378,0.452,0.467,0,0,0,0,0.711,0.71,0.709,0.71,0.689,0.697,0.74,0.755,0.838,0.837,0.837,0.838,0.864,0.864,0.864,0.862,0.861,0.819,0.81,0.813,0.795,0.778,0.778,0.777,0.723,0.716,0.714,0.706,0.7,0.676,0.679,0.685,0.685,0.668
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0,0,0,0,0.672,0.669,0.731,0.731,0.74,0.739,0.735,0.734,0.719,0.717,0.626,0.623,0.648,0.651,0.667,0.666,0.662,0.672,0.62,0.621,0.623,0.626,0.605
Botswana,0.722,0.72,0.722,0.721,0.722,0.723,0.72,0.722,0.722,0.718,0.729,0.724,0.726,0.727,0.738,0.743,0.744,0.747,0.746,0.751,0.751,0.751,0.776,0.776,0.774,0.779,0.777,0.775,0.775,0.784,0.785,0.782,0.782,0.784,0.729,0.727,0.727,0.727,0.729,0.777,0.774,0.771,0.761,0.758
Brazil,0.375,0.375,0.375,0.378,0.376,0.376,0.375,0.491,0.493,0.491,0.533,0.621,0.625,0.637,0.781,0.803,0.801,0.801,0.802,0.856,0.852,0.855,0.855,0.875,0.875,0.876,0.876,0.871,0.872,0.871,0.887,0.883,0.88,0.881,0.882,0.912,0.914,0.913,0.92,0.882,0.884,0.863,0.844,0.723
Bulgaria,0.203,0.204,0.201,0.205,0.201,0.203,0.202,0.204,0.203,0.204,0.203,0.203,0.204,0.204,0.205,0.605,0.626,0.747,0.747,0.744,0.745,0.806,0.808,0.806,0.806,0.807,0.807,0.808,0.807,0.807,0.758,0.766,0.768,0.766,0.706,0.709,0.685,0.687,0.736,0.743,0.742,0.808,0.736,0.736
Burkina Faso,0,0,0,0.522,0.523,0.524,0,0,0,0,0,0,0,0,0,0,0.505,0.519,0.521,0.519,0.518,0.519,0.533,0.538,0.541,0.55,0.561,0.542,0.541,0.54,0.572,0.572,0.576,0.576,0.577,0.549,0.548,0.627,0.634,0.65,0.736,0.734,0.737,0.732
Burundi,0,0,0,0,0,0,0.44,0.438,0.439,0.438,0.438,0.438,0.438,0,0,0,0,0,0.531,0,0,0,0,0,0,0,0,0,0,0,0.548,0.528,0.529,0.529,0.529,0.396,0.4,0.403,0.376,0.373,0.0804,0.0764,0.0633,0.0642
Cambodia,0,0.0513,0.0522,0.0515,0.0515,0.0509,0.0984,0.0973,0.0983,0.0976,0.0954,0.0971,0.0973,0.0979,0.0983,0.098,0.0966,0.181,0.567,0.517,0.517,0.517,0.517,0.417,0.415,0.41,0.41,0.411,0.444,0.442,0.432,0.434,0.431,0.431,0.431,0.435,0.434,0.44,0.449,0.452,0.45,0.447,0.441,0.287
Cameroon,0.335,0.333,0.334,0.318,0.318,0.32,0.316,0.325,0.329,0.334,0.346,0.345,0.346,0.342,0.342,0.352,0.352,0.204,0.201,0.202,0.2,0.202,0.211,0.21,0.211,0.23,0.227,0.291,0.291,0.298,0.295,0.294,0.33,0.33,0.329,0.331,0.376,0.373,0.415,0.413,0.414,0.432,0.422,0.292
Canada,0.821,0.816,0.817,0.819,0.833,0.832,0.832,0.832,0.832,0.83,0.831,0.832,0.831,0.838,0.834,0.836,0.837,0.834,0.867,0.869,0.866,0.87,0.838,0.837,0.838,0.869,0.869,0.869,0.871,0.839,0.841,0.88,0.88,0.883,0.88,0.879,0.846,0.846,0.838,0.835,0.847,0.856,0.854,0.857
