country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.168,0.168,0.166,0.311,0.311,0.311,0.305,0.309,0.311,0.313,0.312,0.309,0.314,0.318,0.315,0.313,0.306,0.166,0.159,0.159,0.154,0.127,0.135,0.138,0.136,0.139,0.173,0.271,0.275,0.294,0.511,0.522,0.524,0.526,0.53,0.531,0.528,0.53,0.573,0.557,0.56,0.53,0.545,0.54
Albania,0.176,0.171,0.175,0.175,0.174,0.173,0.176,0.171,0.17,0.176,0.175,0.176,0.177,0.177,0.178,0.237,0.521,0.601,0.545,0.598,0.595,0.604,0.609,0.622,0.622,0.629,0.629,0.626,0.617,0.629,0.636,0.635,0.642,0.64,0.642,0.629,0.628,0.633,0.582,0.596,0.589,0.589,0.58,0.585
Algeria,0.101,0.1,0.186,0.189,0.186,0.18,0.183,0.183,0.184,0.194,0.195,0.197,0.195,0.195,0.229,0.335,0.329,0.239,0.244,0.346,0.404,0.399,0.4,0.403,0.394,0.396,0.397,0.391,0.395,0.405,0.399,0.404,0.408,0.396,0.403,0.38,0.379,0.392,0.409,0.416,0.417,0.408,0.397,0.396
Angola,0.248,0.246,0.246,0.24,0.242,0.243,0.242,0.242,0.244,0.243,0.244,0.245,0.24,0.24,0.239,0.238,0.241,0.349,0.378,0.379,0.378,0.376,0.381,0.381,0.381,0.385,0.381,0.366,0.381,0.38,0.379,0.377,0.38,0.38,0.381,0.37,0.362,0.365,0.39,0.391,0.386,0.385,0.402,0.445
Argentina,0.549,0.18,0.135,0.132,0.137,0.146,0.136,0.135,0.453,0.636,0.639,0.636,0.635,0.641,0.635,0.586,0.585,0.598,0.594,0.599,0.605,0.606,0.605,0.606,0.609,0.653,0.657,0.646,0.637,0.62,0.631,0.624,0.626,0.628,0.625,0.62,0.62,0.626,0.627,0.624,0.63,0.653,0.641,0.638
Armenia,,,,,,,,,,,,,,,,,0.485,0.478,0.478,0.473,0.451,0.447,0.439,0.439,0.427,0.427,0.429,0.399,0.41,0.402,0.406,0.408,0.4,0.405,0.407,0.419,0.432,0.436,0.429,0.439,0.427,0.436,0.434,0.588
Australia,0.835,0.849,0.848,0.846,0.846,0.871,0.873,0.875,0.876,0.875,0.872,0.875,0.875,0.876,0.874,0.878,0.877,0.875,0.877,0.877,0.876,0.871,0.874,0.876,0.875,0.876,0.876,0.875,0.878,0.876,0.875,0.873,0.871,0.873,0.872,0.881,0.884,0.884,0.884,0.884,0.876,0.888,0.886,0.867
Austria,0.744,0.741,0.739,0.74,0.746,0.743,0.753,0.751,0.754,0.757,0.757,0.764,0.779,0.775,0.777,0.769,0.774,0.775,0.773,0.773,0.774,0.772,0.769,0.77,0.769,0.779,0.784,0.781,0.781,0.785,0.783,0.785,0.791,0.79,0.79,0.787,0.788,0.785,0.769,0.771,0.77,0.773,0.77,0.744
Azerbaijan,,,,,,,,,,,,,,,,,0.318,0.379,0.325,0.295,0.283,0.285,0.287,0.271,0.269,0.271,0.27,0.266,0.245,0.233,0.248,0.245,0.249,0.241,0.239,0.242,0.237,0.242,0.168,0.162,0.16,0.186,0.195,0.174
Bahrain,0.133,0.0782,0.0794,0.0756,0.0751,0.0689,0.0627,0.0665,0.0701,0.0756,0.0751,0.077,0.0787,0.0751,0.0803,0.0784,0.0737,0.183,0.184,0.186,0.187,0.187,0.186,0.185,0.188,0.239,0.249,0.286,0.287,0.286,0.296,0.32,0.315,0.32,0.322,0.322,0.264,0.237,0.24,0.234,0.236,0.245,0.207,0.209
Bangladesh,0.242,0.254,0.301,0.33,0.437,0.441,0.445,0.301,0.295,0.31,0.311,0.45,0.446,0.436,0.435,0.456,0.503,0.517,0.518,0.518,0.515,0.516,0.522,0.519,0.519,0.52,0.52,0.51,0.518,0.522,0.523,0.408,0.376,0.363,0.488,0.504,0.483,0.481,0.451,0.437,0.42,0.414,0.429,0.433
Belarus,,,,,,,,,,,,,,,,,0.549,0.584,0.587,0.564,0.502,0.389,0.257,0.226,0.209,0.213,0.207,0.206,0.21,0.205,0.207,0.216,0.206,0.216,0.202,0.22,0.215,0.222,0.201,0.199,0.209,0.221,0.209,0.259
Belgium,0.733,0.747,0.743,0.745,0.745,0.743,0.748,0.751,0.747,0.75,0.749,0.747,0.748,0.746,0.747,0.782,0.782,0.782,0.791,0.786,0.789,0.794,0.792,0.793,0.792,0.803,0.799,0.8,0.798,0.799,0.801,0.798,0.814,0.805,0.8,0.799,0.798,0.802,0.807,0.809,0.811,0.801,0.79,0.78
Benin,0.253,0.246,0.247,0.247,0.252,0.252,0.249,0.252,0.253,0.249,0.249,0.248,0.261,0.26,0.257,0.322,0.571,0.622,0.619,0.62,0.624,0.632,0.616,0.61,0.613,0.617,0.614,0.62,0.617,0.621,0.628,0.616,0.618,0.616,0.617,0.611,0.615,0.612,0.642,0.644,0.643,0.633,0.61,0.605
Bolivia,0.165,0.164,0.166,0.204,0.303,0.151,0.149,0.464,0.558,0.584,0.537,0.539,0.536,0.539,0.54,0.542,0.537,0.537,0.546,0.543,0.548,0.55,0.571,0.575,0.572,0.58,0.575,0.584,0.587,0.604,0.604,0.553,0.557,0.557,0.554,0.528,0.531,0.534,0.52,0.521,0.511,0.514,0.512,0.495
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.356,0.353,0.24,0.235,0.338,0.538,0.548,0.548,0.548,0.557,0.545,0.551,0.546,0.551,0.555,0.557,0.552,0.556,0.567,0.563,0.57,0.571,0.578,0.576,0.555,0.563,0.564
Botswana,0.623,0.621,0.62,0.62,0.62,0.619,0.617,0.635,0.636,0.647,0.654,0.657,0.658,0.667,0.669,0.674,0.667,0.668,0.666,0.675,0.669,0.666,0.671,0.675,0.665,0.662,0.668,0.667,0.668,0.67,0.665,0.664,0.661,0.665,0.667,0.668,0.668,0.646,0.659,0.656,0.641,0.644,0.643,0.63
Brazil,0.318,0.321,0.316,0.333,0.366,0.403,0.406,0.429,0.446,0.445,0.528,0.57,0.579,0.632,0.663,0.702,0.7,0.706,0.703,0.711,0.702,0.706,0.704,0.707,0.707,0.707,0.706,0.707,0.706,0.713,0.748,0.746,0.737,0.738,0.736,0.739,0.738,0.753,0.766,0.77,0.78,0.636,0.623,0.623
Bulgaria,0.172,0.175,0.169,0.17,0.17,0.175,0.173,0.173,0.167,0.177,0.175,0.178,0.178,0.176,0.173,0.67,0.667,0.736,0.734,0.728,0.735,0.738,0.721,0.73,0.731,0.734,0.708,0.709,0.707,0.704,0.696,0.703,0.703,0.71,0.677,0.662,0.659,0.673,0.668,0.678,0.684,0.673,0.644,0.639
Burkina Faso,0.313,0.311,0.299,0.475,0.472,0.308,0.315,0.303,0.299,0.298,0.294,0.294,0.303,0.287,0.288,0.277,0.314,0.414,0.49,0.487,0.486,0.493,0.497,0.495,0.517,0.538,0.538,0.542,0.538,0.54,0.536,0.534,0.535,0.546,0.539,0.53,0.526,0.525,0.588,0.613,0.628,0.626,0.62,0.581
