country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.406,0.406,0.395,0.353,0.211,0.251,0.245,0.246,0.248,0.249,0.249,0.246,0.25,0.25,0.251,0.245,0.242,0.253,0.256,0.257,0.228,0.0488,0.043,0.0456,0.0442,0.0466,0.177,0.607,0.623,0.624,0.637,0.648,0.635,0.633,0.636,0.613,0.611,0.61,0.671,0.655,0.716,0.633,0.637,0.668
Albania,0.105,0.1,0.104,0.105,0.104,0.107,0.108,0.105,0.104,0.106,0.104,0.106,0.108,0.146,0.149,0.284,0.455,0.528,0.536,0.51,0.495,0.498,0.499,0.567,0.589,0.579,0.597,0.596,0.605,0.65,0.686,0.684,0.652,0.648,0.635,0.634,0.633,0.635,0.471,0.49,0.509,0.494,0.522,0.528
Algeria,0.305,0.304,0.304,0.306,0.3,0.299,0.302,0.302,0.303,0.302,0.302,0.305,0.302,0.302,0.424,0.528,0.525,0.505,0.459,0.461,0.463,0.459,0.46,0.464,0.436,0.422,0.423,0.419,0.422,0.426,0.421,0.427,0.431,0.421,0.427,0.429,0.427,0.374,0.388,0.4,0.401,0.411,0.427,0.441
Angola,0.103,0.105,0.105,0.1,0.102,0.103,0.101,0.102,0.103,0.105,0.105,0.105,0.101,0.103,0.101,0.101,0.227,0.393,0.41,0.412,0.411,0.408,0.412,0.411,0.41,0.414,0.411,0.379,0.428,0.427,0.425,0.424,0.418,0.418,0.424,0.435,0.434,0.437,0.331,0.331,0.328,0.338,0.324,0.439
Argentina,0.74,0.303,0.284,0.281,0.286,0.285,0.283,0.282,0.354,0.8,0.802,0.8,0.799,0.805,0.803,0.786,0.804,0.804,0.8,0.804,0.801,0.804,0.802,0.803,0.804,0.803,0.799,0.807,0.757,0.753,0.761,0.771,0.774,0.756,0.761,0.7,0.702,0.693,0.734,0.73,0.743,0.735,0.733,0.684
Armenia,,,,,,,,,,,,,,,,,0.463,0.462,0.462,0.459,0.5,0.51,0.443,0.44,0.44,0.442,0.443,0.456,0.461,0.456,0.45,0.454,0.482,0.48,0.483,0.5,0.527,0.525,0.48,0.484,0.48,0.514,0.543,0.616
Australia,0.876,0.878,0.876,0.875,0.875,0.874,0.876,0.877,0.879,0.875,0.873,0.874,0.873,0.874,0.873,0.877,0.879,0.876,0.876,0.877,0.876,0.798,0.776,0.779,0.778,0.79,0.789,0.788,0.791,0.79,0.792,0.79,0.809,0.839,0.836,0.837,0.839,0.837,0.785,0.779,0.765,0.764,0.764,0.767
Austria,0.802,0.799,0.798,0.808,0.814,0.841,0.841,0.839,0.841,0.853,0.85,0.857,0.852,0.851,0.852,0.864,0.868,0.87,0.867,0.867,0.89,0.856,0.853,0.854,0.854,0.772,0.777,0.774,0.774,0.778,0.777,0.817,0.816,0.821,0.885,0.889,0.891,0.904,0.903,0.906,0.906,0.861,0.856,0.82
Azerbaijan,,,,,,,,,,,,,,,,,0.278,0.284,0.339,0.332,0.309,0.312,0.314,0.313,0.313,0.31,0.314,0.31,0.306,0.306,0.307,0.306,0.307,0.3,0.293,0.277,0.296,0.29,0.234,0.135,0.143,0.179,0.228,0.187
Bahrain,0.242,0.196,0.196,0.193,0.193,0.196,0.191,0.195,0.198,0.196,0.196,0.197,0.198,0.195,0.201,0.199,0.194,0.197,0.195,0.197,0.198,0.198,0.196,0.197,0.222,0.223,0.527,0.547,0.549,0.548,0.548,0.545,0.541,0.545,0.547,0.547,0.327,0.254,0.229,0.225,0.226,0.234,0.229,0.236
Bangladesh,0.329,0.325,0.405,0.401,0.492,0.494,0.455,0.358,0.352,0.397,0.445,0.503,0.505,0.504,0.503,0.49,0.569,0.57,0.569,0.569,0.607,0.609,0.638,0.636,0.636,0.638,0.635,0.605,0.604,0.607,0.607,0.612,0.559,0.556,0.663,0.657,0.686,0.62,0.61,0.595,0.593,0.597,0.582,0.533
Belarus,,,,,,,,,,,,,,,,,0.458,0.54,0.517,0.519,0.456,0.375,0.34,0.347,0.267,0.209,0.193,0.23,0.233,0.228,0.23,0.235,0.229,0.235,0.226,0.23,0.23,0.229,0.224,0.244,0.262,0.323,0.345,0.347
Belgium,0.817,0.822,0.819,0.82,0.82,0.816,0.82,0.823,0.82,0.821,0.82,0.858,0.862,0.86,0.861,0.854,0.854,0.848,0.856,0.852,0.854,0.855,0.852,0.856,0.848,0.856,0.853,0.853,0.852,0.852,0.853,0.851,0.855,0.854,0.85,0.855,0.861,0.865,0.834,0.835,0.835,0.809,0.793,0.798
Benin,0.444,0.439,0.439,0.439,0.444,0.444,0.442,0.444,0.444,0.441,0.441,0.441,0.442,0.442,0.439,0.799,0.801,0.801,0.799,0.799,0.797,0.801,0.788,0.783,0.785,0.789,0.787,0.787,0.785,0.788,0.725,0.726,0.714,0.726,0.725,0.735,0.738,0.733,0.743,0.745,0.831,0.855,0.842,0.815
Bolivia,0.327,0.327,0.328,0.337,0.361,0.352,0.354,0.548,0.703,0.703,0.638,0.541,0.538,0.541,0.542,0.567,0.569,0.57,0.611,0.669,0.673,0.675,0.669,0.664,0.661,0.706,0.701,0.705,0.747,0.749,0.772,0.836,0.889,0.888,0.887,0.824,0.826,0.764,0.764,0.778,0.705,0.699,0.71,0.713
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.498,0.495,0.495,0.5,0.581,0.589,0.589,0.587,0.609,0.609,0.605,0.61,0.609,0.595,0.593,0.584,0.581,0.579,0.586,0.576,0.583,0.562,0.563,0.549,0.573,0.593,0.572
Botswana,0.64,0.638,0.638,0.637,0.638,0.639,0.637,0.639,0.64,0.636,0.641,0.643,0.642,0.648,0.647,0.652,0.645,0.646,0.649,0.65,0.644,0.642,0.642,0.651,0.652,0.65,0.65,0.649,0.651,0.653,0.652,0.652,0.648,0.643,0.656,0.652,0.652,0.644,0.615,0.611,0.614,0.617,0.61,0.699
Brazil,0.294,0.298,0.292,0.294,0.297,0.347,0.35,0.355,0.354,0.377,0.529,0.592,0.614,0.667,0.668,0.672,0.67,0.69,0.688,0.7,0.692,0.733,0.731,0.755,0.754,0.754,0.753,0.815,0.871,0.878,0.889,0.89,0.889,0.862,0.861,0.858,0.842,0.834,0.825,0.812,0.814,0.642,0.561,0.552
Bulgaria,0.095,0.0975,0.0929,0.093,0.0932,0.0974,0.0963,0.0966,0.0903,0.0974,0.0968,0.0984,0.0993,0.0978,0.0952,0.696,0.698,0.7,0.666,0.667,0.668,0.67,0.699,0.687,0.667,0.669,0.664,0.665,0.667,0.664,0.666,0.663,0.665,0.665,0.686,0.704,0.709,0.673,0.691,0.704,0.673,0.678,0.634,0.693
Burkina Faso,0.528,0.526,0.526,0.387,0.387,0.459,0.457,0.453,0.415,0.417,0.414,0.414,0.456,0.496,0.497,0.468,0.546,0.607,0.607,0.603,0.603,0.603,0.604,0.603,0.605,0.673,0.674,0.678,0.674,0.676,0.673,0.671,0.671,0.678,0.67,0.687,0.686,0.651,0.748,0.754,0.814,0.863,0.83,0.842
Burundi,0.363,0.386,0.402,0.399,0.405,0.403,0.403,0.402,0.4,0.402,0.4,0.401,0.399,0.401,0.473,0.481,0.508,0.574,0.635,0.602,0.601,0.591,0.587,0.585,0.585,0.604,0.605,0.602,0.618,0.644,0.585,0.571,0.571,0.573,0.57,0.567,0.567,0.566,0.52,0.507,0.453,0.332,0.359,0.279
Cambodia,0.0424,0.0175,0.0134,0.0188,0.0143,0.24,0.244,0.243,0.242,0.246,0.243,0.244,0.241,0.244,0.244,0.26,0.256,0.398,0.547,0.531,0.523,0.525,0.512,0.504,0.515,0.517,0.519,0.52,0.447,0.445,0.448,0.45,0.446,0.447,0.441,0.447,0.448,0.443,0.433,0.435,0.434,0.377,0.381,0.389
