country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.382,0.382,0.381,0.265,0.197,0.21,0.227,0.224,0.227,0.231,0.228,0.227,0.229,0.237,0.241,0.22,0.213,0.229,0.233,0.223,0.223,0.118,0.0909,0.0913,0.092,0.0908,0.207,0.55,0.553,0.558,0.555,0.558,0.567,0.567,0.564,0.548,0.544,0.549,0.551,0.551,0.55,0.531,0.538,0.571
Albania,0.0768,0.0773,0.0784,0.0786,0.0786,0.0786,0.0793,0.0767,0.0798,0.0792,0.0886,0.0861,0.0852,0.0888,0.0854,0.216,0.638,0.702,0.689,0.69,0.703,0.701,0.709,0.724,0.732,0.746,0.738,0.743,0.743,0.745,0.749,0.757,0.767,0.77,0.765,0.766,0.77,0.764,0.724,0.731,0.726,0.729,0.75,0.718
Algeria,0.384,0.384,0.385,0.388,0.396,0.411,0.413,0.413,0.411,0.41,0.409,0.407,0.41,0.412,0.434,0.534,0.516,0.511,0.506,0.507,0.507,0.501,0.502,0.505,0.549,0.553,0.556,0.546,0.55,0.552,0.565,0.567,0.568,0.566,0.564,0.554,0.552,0.512,0.543,0.538,0.537,0.513,0.541,0.541
Angola,0.215,0.223,0.216,0.215,0.215,0.221,0.221,0.221,0.223,0.221,0.22,0.228,0.226,0.223,0.224,0.255,0.318,0.409,0.41,0.401,0.377,0.391,0.392,0.395,0.399,0.399,0.407,0.442,0.475,0.476,0.5,0.51,0.5,0.497,0.498,0.496,0.495,0.498,0.5,0.499,0.497,0.497,0.525,0.556
Argentina,0.546,0.303,0.221,0.221,0.223,0.223,0.223,0.265,0.42,0.843,0.845,0.854,0.856,0.863,0.854,0.854,0.855,0.857,0.838,0.853,0.857,0.854,0.857,0.847,0.855,0.867,0.862,0.851,0.832,0.83,0.836,0.836,0.828,0.824,0.814,0.805,0.806,0.81,0.806,0.806,0.793,0.84,0.833,0.837
Armenia,,,,,,,,,,,,,,,,,0.711,0.707,0.701,0.679,0.675,0.671,0.681,0.678,0.692,0.687,0.688,0.687,0.69,0.667,0.67,0.67,0.653,0.604,0.653,0.649,0.65,0.642,0.658,0.648,0.654,0.662,0.675,0.743
Australia,0.917,0.914,0.914,0.912,0.906,0.91,0.908,0.91,0.909,0.91,0.913,0.914,0.914,0.914,0.915,0.929,0.924,0.925,0.917,0.926,0.926,0.927,0.919,0.918,0.917,0.927,0.925,0.925,0.923,0.924,0.924,0.924,0.924,0.913,0.926,0.933,0.935,0.933,0.887,0.888,0.89,0.891,0.841,0.849
Austria,0.893,0.919,0.916,0.918,0.917,0.915,0.916,0.91,0.911,0.914,0.912,0.913,0.91,0.909,0.911,0.917,0.917,0.918,0.908,0.908,0.903,0.909,0.911,0.91,0.91,0.912,0.914,0.911,0.911,0.912,0.911,0.919,0.92,0.92,0.917,0.911,0.917,0.917,0.88,0.879,0.876,0.889,0.877,0.812
Azerbaijan,,,,,,,,,,,,,,,,,0.488,0.581,0.525,0.452,0.454,0.456,0.456,0.471,0.469,0.466,0.469,0.459,0.447,0.44,0.432,0.429,0.43,0.423,0.417,0.408,0.416,0.414,0.388,0.38,0.377,0.378,0.405,0.367
Bahrain,0.44,0.373,0.375,0.375,0.372,0.359,0.357,0.35,0.349,0.347,0.348,0.35,0.351,0.352,0.35,0.346,0.347,0.348,0.348,0.348,0.348,0.349,0.346,0.345,0.357,0.418,0.498,0.52,0.521,0.515,0.518,0.514,0.507,0.512,0.509,0.49,0.27,0.271,0.266,0.266,0.242,0.23,0.155,0.15
