country,2004,2005,2006,2007
Afghanistan,0,0,0,0
Albania,0,0,0,0
Algeria,0,0,0,0
Andorra,0,0,0,0
Angola,0,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,0.0255,0.0253,0.025,0.0248
Armenia,0,0,0,0
Australia,0.251,0.299,0.345,0.587
Austria,0.367,0.489,0.366,0.366
Azerbaijan,0,0,0,0
Bahamas,0,0,0,0
Bahrain,0,0,0,0
Bangladesh,0,0,0,0
Barbados,0,0,0,0
Belarus,0,0,0,0
Belgium,0.0966,0.0965,0.193,0.193
Belize,0,0,0,0
Benin,0,0,0,0
Bhutan,0,0,0,0
Bolivia,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Botswana,0,0,0,0
Brazil,0.0326,0.043,0.0851,0.105
Brunei,0,0,0,0
Bulgaria,0,0,0,0
Burkina Faso,0,0,0,0
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,0.523,0.518,0.665,0.689
Cape Verde,0,0,0,0
Central African Republic,0,0,0,0
Chad,0,0,0,0
Chile,0.19,0.188,0.124,0.184
China,0.00077,0.00153,0.0061,0.0152
Colombia,0.0473,0.0466,0.0459,0.0452
Comoros,0,0,0,0
"Congo, Dem. Rep.",0,0,0,0
"Congo, Rep.",0,0,0,0
Costa Rica,0,0,0,0
Cote d'Ivoire,0,0,0,0
Croatia,0,0,0,0
Cuba,0,0,0,0
Cyprus,0,0,0,2.54
Czech Republic,0,0,0.0977,0.0978
Denmark,0.554,0.552,0.367,0.366
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,0,0,0,0
Ecuador,0,0,0,0
Egypt,0,0.0129,0.0254,0.0498
El Salvador,0,0,0,0
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Estonia,0,0,0,0
Eswatini,0,0,0,0
Ethiopia,0,0,0,0
Fiji,0,0,0,0
Finland,0,0,0,0
France,0.199,0.231,0.23,0.246
Gabon,0,0,0,0
Gambia,0,0,0,0
Georgia,0,0,0,0
Germany,0.631,0.692,0.667,0.667
Ghana,0,0,0,0
Greece,0.0939,0.0937,0.0936,0.0934
Grenada,0,0,0,0
Guatemala,0,0,0,0
Guinea,0,0,0,0
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,0
Haiti,0,0,0,0
Holy See,0,0,0,0
Honduras,0,0,0,0
Hungary,0,0,0,0
Iceland,0,3.37,3.34,6.62
India,0.00845,0.0111,0.021,0.0324
Indonesia,0.00463,0.00915,0.00905,0.00895
Iran,0,0,0,0
Iraq,0,0,0,0
Ireland,0.504,0.747,0.985,0.974
Israel,0.807,0.956,1.26,1.4
Italy,0.241,0.172,0.241,0.224
Jamaica,0,0,0,0
Japan,0.173,0.188,0.212,0.188
Jordan,0,0,0,0
Kazakhstan,0,0.198,0.131,0.327
Kenya,0,0,0,0
Kiribati,0,0,0,0
Kuwait,0.886,0.856,1.24,1.6
Kyrgyz Republic,0,0,0,0
Lao,0,0,0,0
Latvia,0,0,0,0
Lebanon,0.265,0,0.774,1.02
Lesotho,0,0,0,0
Liberia,0,0,0,0
Libya,0,0,0,0
Liechtenstein,29.9,29.7,0,0
Lithuania,0,0,0,0
Luxembourg,0,0,0,0
Madagascar,0,0,0,0
Malawi,0,0,0,0
Malaysia,0.213,0.251,0.328,0.363
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Mauritius,0,0,0,0
Mexico,0.105,0.0942,0.0931,0.092
"Micronesia, Fed. Sts.",0,0,0,0
Moldova,0,0,0,0
Monaco,0,30.9,30.7,30.6
Mongolia,0,0,0,0
Montenegro,0,0,0,0
Morocco,0,0,0,0
Mozambique,0,0,0,0
Myanmar,0,0,0,0
Namibia,0,0,0,0
Nauru,0,0,0,0
Nepal,0,0,0,0
Netherlands,0.245,0.244,0.242,0.241
New Zealand,0,0,0.491,0.729
Nicaragua,0,0,0,0
Niger,0,0,0,0
Nigeria,0,0,0,0
North Korea,0,0,0,0
North Macedonia,0,0,0,0
Norway,0.874,0.871,0.868,0.864
Oman,0,0,0,0.312
Pakistan,0,0,0,0
Palau,0,0,0,0
Palestine,0,0,0,0
Panama,0,0,0,0
Papua New Guinea,0,0,0,0
Paraguay,0,0,0,0
Peru,0,0,0,0
Philippines,0.0232,0.0341,0.0335,0.0329
Poland,0,0.0519,0.0779,0.13
Portugal,0.19,0.0946,0.0943,0.094
Qatar,0,0,0,0
Romania,0,0,0,0.0449
Russia,0.174,0.188,0.231,0.372
Rwanda,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0,0
Sao Tome and Principe,0,0,0,0
Saudi Arabia,0.31,0.265,0.407,0.471
Senegal,0,0,0,0
Serbia,0,0,0,0.0985
Seychelles,0,0,0,0
Sierra Leone,0,0,0,0
Singapore,1.15,0.904,0.89,0.878
Slovak Republic,0,0,0,0
Slovenia,0,0,0,0
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
South Africa,0.045,0.0677,0.0679,0.0682
South Korea,0.0413,0.0617,0.0819,0.204
Spain,0.199,0.248,0.247,0.494
Sri Lanka,0,0,0,0
St. Kitts and Nevis,0,0,0,0
St. Lucia,0,0,0,0
St. Vincent and the Grenadines,0,0,0,0
Sudan,0,0,0,0
Suriname,0,0,0,0
Sweden,0.89,1,0.887,0.886
Switzerland,0.94,1.07,1.06,1.06
Syria,0,0,0,0
Tajikistan,0,0,0,0
Tanzania,0,0,0,0
Thailand,0.0314,0.0467,0.0464,0.0461
Timor-Leste,0,0,0,0
Togo,0,0,0,0
Tonga,0,0,0,0
Trinidad and Tobago,0,0,0,0
Tunisia,0,0,0,0
Turkey,0.0871,0.115,0.298,0.351
Turkmenistan,0,0,0,0
Tuvalu,0,0,0,0
Uganda,0,0,0,0
Ukraine,0,0.0638,0.0642,0.151
United Arab Emirates,0.792,0.78,1.92,1.89
United Kingdom,0.282,0.397,0.396,0.477
United States,0.945,1.15,1.24,1.38
Uruguay,0,0,0,0
Uzbekistan,0,0,0,0
Vanuatu,0,0,0,0
Venezuela,0.0799,0.0788,0.0777,0.0767
Vietnam,0,0,0,0
Yemen,0,0,0,0
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
