country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0,0,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.384,0.384,0.384,0.00428,0.00428,0.00428,0.00428,0,0,0,0,0,0.00428,0.00428,0.00428,0.00428,0.571,0.571,0.571,0.579,0.594,0.594,0.594,0.588,0.679,0.649,0.649,0.61,0.597,0.591
Albania,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.263,0.331,0.532,0.705,0.581,0.705,0.705,0.705,0.714,0.739,0.739,0.75,0.75,0.752,0.752,0.752,0.765,0.765,0.765,0.765,0.765,0.75,0.75,0.75,0.69,0.69,0.69,0.69,0.69,0.694
Algeria,0,0,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.251,0.251,0.251,0,0,0.228,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.417,0.406,0.406,0.406,0.406,0.398,0.373
Angola,0.252,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.277,0.348,0.348,0.348,0.348,0.348,0.351,0.351,0.351,0.351,0.351,0.336,0.336,0.336,0.336,0.336,0.344,0.344,0.333,0.31,0.31,0.316,0.324,0.324,0.324,0.324,0.366,0.399
Argentina,0.517,0,0,0,0,0,0,0,0.515,0.576,0.576,0.576,0.576,0.576,0.565,0.544,0.544,0.544,0.544,0.544,0.575,0.57,0.57,0.57,0.577,0.592,0.618,0.61,0.605,0.605,0.609,0.609,0.602,0.602,0.602,0.602,0.602,0.591,0.616,0.616,0.625,0.72,0.689,0.648
Armenia,,,,,,,,,,,,,,,,,0.473,0.458,0.458,0.458,0.431,0.431,0.431,0.445,0.429,0.427,0.427,0.427,0.421,0.43,0.43,0.43,0.43,0.438,0.438,0.438,0.438,0.45,0.433,0.433,0.433,0.433,0.433,0.66
Australia,0.73,0.763,0.763,0.763,0.763,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.804,0.848,0.864,0.864,0.864,0.837,0.835
Austria,0.62,0.62,0.62,0.62,0.62,0.62,0.649,0.649,0.649,0.649,0.649,0.649,0.7,0.696,0.696,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.749,0.749,0.744
Azerbaijan,,,,,,,,,,,,,,,,,0.392,0.398,0.332,0.332,0.306,0.306,0.306,0.306,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.31,0.31,0.31,0.294,0.301,0.288
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.34,0.34,0.34,0.34,0.34,0.295,0.27,0.27,0.27,0.27,0.27,0.27,0.27
Bangladesh,0,0,0,0.0494,0.334,0.348,0.348,0,0,0,0,0.369,0.348,0.333,0.333,0.369,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.0543,0.0494,0.0494,0.425,0.425,0.425,0.43,0.391,0.354,0.345,0.345,0.359,0.359
