country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.617,0.567,0.517,0.384,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.292
Albania,0.733,0.733,0.733,0.738,0.742,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Algeria,0.225,0.246,0.267,0.242,0.217,0.217,0.3,0.3,0.3,0.3,0.258,0.258,0.258
Angola,0.05,0.113,0.175,0.154,0.133,0.133,0.092,0.092,0.092,0.092,0.092,0.175,0.175
Argentina,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.917,0.917,0.917,0.917
Armenia,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.433,0.525,0.567
Australia,1,1,1,1,1,1,1,0.958,0.958,0.958,0.958,1,1
Austria,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958
Azerbaijan,0.308,0.308,0.308,0.263,0.217,0.217,0.217,0.175,0.05,0.05,0.05,0.05,0.05
Bahrain,0.35,0.304,0.258,0.258,0.258,0.175,0.125,0.125,0.125,0.125,0.125,0.083,0.083
Bangladesh,0.742,0.721,0.7,0.721,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.742,0.783
Belarus,0.258,0.258,0.258,0.258,0.258,0.175,0.175,0.175,0.175,0.175,0.133,0.092,0.092
Belgium,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958
Benin,0.683,0.708,0.733,0.733,0.733,0.733,0.733,0.733,0.692,0.692,0.65,0.65,0.65
Bhutan,0.008,0.266,0.525,0.575,0.625,0.625,0.667,0.75,0.833,0.833,0.833,0.833,0.875
Bolivia,0.833,0.833,0.833,0.813,0.792,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.75
Bosnia and Herzegovina,0.825,0.804,0.783,0.758,0.733,0.692,0.692,0.65,0.65,0.65,0.65,0.65,0.65
Botswana,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917
Brazil,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958,0.958
