country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0,0,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.403,0.403,0.436,0.436,0.436,0.403,0.0494,0.0494,0.0494,0,0,0,0,0,0.0494,0.0494,0.0494,0.0494,0.324,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.65,0.65,0.65,0.65,0.65
Albania,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.803,1,1,1,1,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,0.166,0.306,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0,0,0,0.377,0.377,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513
Angola,0.436,0.166,0.166,0.166,0.166,0.166,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.262,0.262,0.403,0.403,0.403,0.403,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Argentina,1,0.166,0.166,0.166,0.166,0.166,0.166,0.166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armenia,,,,,,,,,,,,,,,,,1,1,1,1,1,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803
Australia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,,,,,,,,,,,,,,,,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Bahrain,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335
Bangladesh,0.216,0,0,0,0.513,0.513,0.254,0,0,0,0,0.743,0.743,0.743,0.743,0.743,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.884,0.166,0.436,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Belarus,,,,,,,,,,,,,,,,,0.65,0.65,0.65,0.885,0.885,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Belgium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,0,0,0,0,0,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.216,0.262,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,0,0,0,0,0.743,0.335,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.324,0.324,0.0494,0.0494,0.0494,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631
Botswana,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803
Brazil,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,0,0,0.0494,0.867,0.885,0.335,0.335,0.335,0.335,0,0,0,0,0,0,0,0,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.65,0.65,0.65,0.65
Burundi,0,0,0,0,0,0,0,0,0.216,0.368,0.368,0.368,0.216,0.216,0,0,0,0.0494,0.585,0.99,0.99,0.435,0,0,0,0,0.0494,0.0494,0.0494,0.0494,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.65,0.65,0.65,0.65
Cambodia,0.262,0.368,0.368,0.368,0.262,0.262,0.262,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.324,0.324,0.324,0.65,0.65,0.65,0.65,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513
Cameroon,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
Canada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0.368,0.368,0.368,0.368,0.368,0.65,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0,0,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.631,0.631,0.631,0.65,0.65,0.65
Chad,0,0,0,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494,0,0,0,0,0,0,0.0494,0,0,0,0,0,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166
Colombia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
