country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.401,0.401,0.393,0.258,0.124,0.152,0.148,0.148,0.15,0.15,0.15,0.148,0.152,0.151,0.169,0.164,0.166,0.284,0.341,0.303,0.305,0.109,0.104,0.106,0.105,0.107,0.355,0.677,0.639,0.678,0.67,0.67,0.672,0.667,0.666,0.657,0.637,0.675,0.657,0.657,0.654,0.663,0.646,0.66
Albania,0.091,0.0869,0.09,0.0907,0.0897,0.0895,0.0905,0.0877,0.0867,0.0887,0.0869,0.0885,0.0897,0.0885,0.091,0.246,0.561,0.705,0.703,0.692,0.689,0.685,0.685,0.71,0.707,0.683,0.72,0.719,0.715,0.718,0.72,0.776,0.817,0.814,0.776,0.815,0.814,0.785,0.771,0.776,0.772,0.771,0.772,0.813
Algeria,0.343,0.343,0.343,0.345,0.34,0.371,0.373,0.373,0.375,0.373,0.373,0.376,0.374,0.379,0.406,0.491,0.451,0.447,0.444,0.445,0.447,0.444,0.445,0.448,0.472,0.472,0.473,0.43,0.432,0.436,0.432,0.434,0.437,0.429,0.435,0.414,0.413,0.411,0.388,0.389,0.39,0.369,0.379,0.396
Angola,0.144,0.142,0.106,0.101,0.103,0.129,0.128,0.128,0.13,0.131,0.13,0.13,0.126,0.128,0.127,0.126,0.355,0.49,0.506,0.468,0.429,0.426,0.43,0.468,0.467,0.47,0.467,0.478,0.479,0.457,0.456,0.455,0.454,0.453,0.465,0.438,0.438,0.441,0.474,0.474,0.471,0.476,0.493,0.582
Argentina,0.514,0.243,0.12,0.119,0.122,0.122,0.12,0.246,0.405,0.852,0.853,0.89,0.85,0.894,0.893,0.89,0.851,0.891,0.848,0.851,0.888,0.89,0.889,0.851,0.89,0.89,0.887,0.854,0.891,0.83,0.836,0.832,0.789,0.797,0.805,0.781,0.789,0.787,0.778,0.769,0.771,0.826,0.797,0.816
Armenia,,,,,,,,,,,,,,,,,0.732,0.731,0.73,0.728,0.716,0.703,0.706,0.718,0.719,0.722,0.722,0.72,0.733,0.68,0.687,0.689,0.687,0.601,0.672,0.676,0.707,0.67,0.703,0.64,0.684,0.691,0.698,0.766
Australia,0.888,0.889,0.888,0.887,0.849,0.847,0.849,0.85,0.851,0.848,0.885,0.888,0.887,0.888,0.887,0.91,0.911,0.909,0.909,0.91,0.909,0.905,0.872,0.874,0.873,0.887,0.887,0.867,0.869,0.868,0.877,0.876,0.874,0.877,0.875,0.902,0.904,0.902,0.912,0.913,0.889,0.888,0.894,0.895
Austria,0.889,0.887,0.886,0.887,0.891,0.889,0.888,0.848,0.85,0.85,0.848,0.853,0.85,0.849,0.849,0.848,0.851,0.852,0.85,0.85,0.851,0.85,0.847,0.848,0.847,0.847,0.851,0.848,0.848,0.851,0.85,0.89,0.889,0.887,0.888,0.886,0.87,0.869,0.838,0.841,0.841,0.839,0.834,0.737
Azerbaijan,,,,,,,,,,,,,,,,,0.607,0.62,0.423,0.409,0.407,0.409,0.41,0.41,0.39,0.389,0.391,0.388,0.37,0.343,0.344,0.343,0.345,0.321,0.328,0.275,0.314,0.317,0.275,0.287,0.267,0.264,0.382,0.248
Bahrain,0.328,0.243,0.244,0.241,0.241,0.241,0.237,0.202,0.204,0.203,0.203,0.204,0.205,0.202,0.207,0.207,0.204,0.206,0.204,0.206,0.206,0.206,0.205,0.206,0.261,0.386,0.442,0.509,0.51,0.51,0.509,0.501,0.489,0.492,0.494,0.493,0.396,0.31,0.28,0.276,0.219,0.17,0.164,0.115
Bangladesh,0.488,0.497,0.528,0.563,0.579,0.58,0.567,0.464,0.454,0.493,0.474,0.512,0.474,0.473,0.511,0.454,0.651,0.655,0.649,0.649,0.647,0.644,0.676,0.674,0.674,0.675,0.63,0.633,0.631,0.633,0.633,0.635,0.485,0.482,0.657,0.709,0.701,0.587,0.754,0.747,0.686,0.681,0.581,0.575
Belarus,,,,,,,,,,,,,,,,,0.688,0.735,0.681,0.624,0.535,0.53,0.497,0.497,0.495,0.448,0.424,0.406,0.409,0.404,0.367,0.357,0.354,0.358,0.356,0.333,0.334,0.333,0.345,0.344,0.368,0.42,0.399,0.405
Belgium,0.846,0.85,0.847,0.848,0.848,0.898,0.845,0.847,0.845,0.846,0.845,0.843,0.846,0.845,0.846,0.846,0.856,0.852,0.858,0.855,0.857,0.857,0.855,0.858,0.852,0.858,0.856,0.855,0.855,0.855,0.856,0.854,0.858,0.857,0.853,0.857,0.857,0.86,0.828,0.829,0.827,0.824,0.835,0.839
Benin,0.346,0.342,0.341,0.342,0.346,0.356,0.354,0.356,0.356,0.354,0.354,0.354,0.355,0.354,0.352,0.855,0.819,0.885,0.883,0.844,0.842,0.884,0.884,0.879,0.881,0.846,0.844,0.844,0.842,0.806,0.803,0.842,0.855,0.853,0.852,0.853,0.855,0.819,0.806,0.807,0.8,0.845,0.911,0.904
Bolivia,0.338,0.337,0.338,0.418,0.52,0.409,0.404,0.584,0.763,0.832,0.628,0.604,0.674,0.738,0.718,0.757,0.822,0.823,0.761,0.755,0.786,0.826,0.789,0.765,0.756,0.76,0.727,0.736,0.759,0.837,0.828,0.783,0.825,0.785,0.827,0.794,0.788,0.736,0.734,0.689,0.67,0.625,0.667,0.647
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.536,0.534,0.534,0.538,0.747,0.785,0.859,0.881,0.884,0.884,0.881,0.886,0.885,0.859,0.861,0.862,0.859,0.845,0.792,0.777,0.782,0.788,0.789,0.811,0.822,0.827,0.792
Botswana,0.852,0.85,0.85,0.85,0.851,0.852,0.85,0.812,0.813,0.81,0.814,0.815,0.815,0.853,0.853,0.856,0.851,0.851,0.854,0.854,0.85,0.849,0.848,0.851,0.852,0.85,0.851,0.85,0.851,0.853,0.813,0.852,0.849,0.851,0.899,0.91,0.909,0.909,0.95,0.948,0.921,0.924,0.721,0.75
Brazil,0.379,0.384,0.386,0.385,0.387,0.415,0.417,0.417,0.432,0.433,0.525,0.625,0.643,0.774,0.913,0.966,0.964,0.965,0.963,0.968,0.962,0.964,0.924,0.965,0.926,0.926,0.909,0.907,0.903,0.947,0.947,0.948,0.947,0.947,0.947,0.946,0.944,0.925,0.921,0.882,0.94,0.799,0.801,0.781
Bulgaria,0.257,0.259,0.256,0.256,0.256,0.259,0.258,0.258,0.254,0.259,0.267,0.268,0.282,0.281,0.279,0.719,0.797,0.798,0.796,0.797,0.798,0.8,0.795,0.798,0.799,0.801,0.797,0.797,0.799,0.835,0.798,0.796,0.798,0.798,0.799,0.794,0.796,0.756,0.761,0.772,0.772,0.773,0.814,0.767
Burkina Faso,0.505,0.504,0.576,0.546,0.546,0.504,0.435,0.393,0.39,0.39,0.345,0.345,0.374,0.375,0.414,0.435,0.552,0.714,0.831,0.828,0.828,0.829,0.829,0.828,0.83,0.791,0.791,0.795,0.83,0.793,0.791,0.788,0.827,0.831,0.827,0.768,0.766,0.721,0.772,0.867,0.867,0.761,0.792,0.72
Burundi,0.208,0.213,0.185,0.182,0.187,0.196,0.196,0.195,0.193,0.195,0.193,0.194,0.221,0.222,0.22,0.226,0.237,0.509,0.521,0.519,0.518,0.478,0.482,0.48,0.48,0.48,0.481,0.478,0.479,0.492,0.482,0.488,0.476,0.478,0.476,0.455,0.497,0.496,0.416,0.335,0.218,0.141,0.111,0.22
Cambodia,0.0556,0.0201,0.0168,0.0212,0.0158,0.136,0.139,0.138,0.138,0.141,0.138,0.139,0.136,0.139,0.139,0.239,0.236,0.396,0.494,0.528,0.527,0.529,0.526,0.542,0.579,0.58,0.582,0.58,0.54,0.539,0.541,0.542,0.519,0.519,0.514,0.52,0.521,0.462,0.508,0.48,0.48,0.366,0.347,0.354
Cameroon,0.214,0.211,0.214,0.213,0.214,0.216,0.217,0.317,0.318,0.315,0.316,0.319,0.317,0.317,0.32,0.457,0.516,0.514,0.602,0.608,0.573,0.573,0.573,0.573,0.573,0.565,0.567,0.565,0.567,0.566,0.565,0.568,0.565,0.564,0.57,0.632,0.632,0.598,0.578,0.578,0.573,0.481,0.504,0.516
Canada,0.846,0.847,0.849,0.845,0.848,0.848,0.847,0.852,0.853,0.896,0.898,0.898,0.899,0.898,0.899,0.898,0.897,0.898,0.898,0.899,0.9,0.899,0.899,0.898,0.899,0.898,0.848,0.809,0.808,0.807,0.812,0.803,0.804,0.802,0.804,0.811,0.81,0.811,0.861,0.86,0.872,0.889,0.826,0.827
Central African Republic,0.243,0.245,0.244,0.242,0.283,0.642,0.6,0.451,0.448,0.45,0.448,0.451,0.452,0.452,0.449,0.497,0.534,0.517,0.576,0.618,0.622,0.582,0.579,0.619,0.581,0.579,0.619,0.579,0.574,0.576,0.575,0.566,0.601,0.602,0.602,0.6,0.562,0.562,0.495,0.496,0.504,0.582,0.625,0.676
Chad,0.246,0.25,0.25,0.251,0.211,0.207,0.213,0.189,0.188,0.191,0.189,0.193,0.189,0.151,0.152,0.417,0.435,0.51,0.509,0.512,0.473,0.509,0.51,0.476,0.473,0.473,0.471,0.471,0.476,0.471,0.472,0.471,0.471,0.469,0.471,0.507,0.507,0.468,0.412,0.412,0.442,0.426,0.433,0.432
Chile,0.149,0.15,0.217,0.142,0.212,0.228,0.226,0.227,0.226,0.229,0.27,0.275,0.301,0.39,0.396,0.902,0.906,0.902,0.904,0.905,0.941,0.944,0.942,0.942,0.941,0.901,0.903,0.907,0.941,0.944,0.945,0.942,0.941,0.941,0.942,0.936,0.938,0.941,0.912,0.908,0.919,0.905,0.905,0.861
China,0.0558,0.0622,0.013,0.0923,0.237,0.263,0.263,0.265,0.262,0.264,0.262,0.265,0.285,0.284,0.312,0.221,0.234,0.26,0.257,0.261,0.265,0.29,0.29,0.286,0.292,0.29,0.292,0.309,0.306,0.309,0.306,0.307,0.308,0.32,0.316,0.316,0.317,0.309,0.326,0.331,0.294,0.292,0.288,0.268
Colombia,0.354,0.351,0.354,0.315,0.353,0.353,0.352,0.369,0.378,0.381,0.379,0.378,0.379,0.379,0.378,0.398,0.398,0.57,0.568,0.571,0.569,0.57,0.569,0.57,0.572,0.571,0.559,0.552,0.539,0.538,0.54,0.538,0.541,0.588,0.59,0.589,0.669,0.692,0.793,0.793,0.794,0.83,0.819,0.713
"Congo, Dem. Rep.",0.262,0.264,0.265,0.261,0.262,0.26,0.262,0.262,0.263,0.262,0.262,0.259,0.265,0.263,0.264,0.334,0.359,0.36,0.356,0.358,0.359,0.358,0.344,0.441,0.401,0.404,0.444,0.442,0.441,0.444,0.45,0.45,0.45,0.486,0.439,0.459,0.459,0.486,0.484,0.511,0.451,0.379,0.376,0.378
"Congo, Rep.",0.23,0.229,0.227,0.283,0.287,0.281,0.286,0.283,0.283,0.282,0.282,0.288,0.287,0.286,0.284,0.548,0.589,0.629,0.604,0.603,0.605,0.604,0.394,0.414,0.411,0.37,0.369,0.465,0.465,0.466,0.462,0.466,0.467,0.467,0.426,0.463,0.424,0.427,0.28,0.279,0.278,0.285,0.277,0.314
Costa Rica,0.845,0.843,0.845,0.885,0.887,0.895,0.891,0.892,0.895,0.893,0.892,0.891,0.895,0.961,0.964,0.995,0.994,0.996,0.998,0.995,0.996,0.996,0.994,0.998,0.997,0.997,0.957,0.994,0.997,0.999,0.997,0.995,0.998,0.997,1,0.99,0.992,0.989,0.965,0.967,0.963,0.915,0.93,0.876
Cote d'Ivoire,0.477,0.475,0.475,0.478,0.473,0.476,0.474,0.474,0.474,0.476,0.523,0.522,0.523,0.521,0.524,0.634,0.63,0.634,0.635,0.695,0.703,0.704,0.704,0.649,0.655,0.736,0.743,0.757,0.7,0.701,0.668,0.673,0.686,0.688,0.688,0.625,0.615,0.721,0.624,0.661,0.674,0.671,0.661,0.667
Croatia,,,,,,,,,,,,,,,,,0.56,0.548,0.544,0.547,0.544,0.588,0.556,0.555,0.555,0.791,0.827,0.827,0.828,0.828,0.826,0.829,0.83,0.789,0.809,0.827,0.827,0.817,0.774,0.806,0.773,0.683,0.709,0.711
Cuba,0.152,0.151,0.148,0.151,0.151,0.154,0.154,0.152,0.152,0.153,0.154,0.151,0.151,0.169,0.17,0.17,0.173,0.176,0.169,0.168,0.171,0.169,0.17,0.168,0.171,0.172,0.17,0.172,0.17,0.168,0.17,0.17,0.173,0.171,0.17,0.172,0.211,0.213,0.163,0.145,0.145,0.2,0.2,0.194
Cyprus,0.718,0.757,0.757,0.755,0.757,0.756,0.757,0.754,0.755,0.757,0.758,0.754,0.755,0.756,0.759,0.875,0.871,0.871,0.869,0.873,0.873,0.871,0.872,0.83,0.831,0.831,0.827,0.833,0.831,0.912,0.915,0.876,0.875,0.913,0.913,0.914,0.914,0.915,0.879,0.879,0.885,0.886,0.899,0.878
Czech Republic,0.266,0.278,0.275,0.273,0.274,0.276,0.273,0.277,0.271,0.274,0.275,0.274,0.278,0.272,0.321,0.9,0.896,0.899,0.9,0.899,0.901,0.9,0.898,0.898,0.899,0.9,0.86,0.901,0.901,0.9,0.859,0.9,0.857,0.861,0.859,0.864,0.86,0.859,0.849,0.85,0.852,0.852,0.866,0.832
Denmark,0.948,0.947,0.945,0.946,0.947,0.947,0.949,0.946,0.949,0.946,0.946,0.947,0.946,0.946,0.946,0.947,0.947,0.949,0.949,0.948,0.945,0.945,0.945,0.946,0.949,0.947,0.951,0.948,0.948,0.945,0.948,0.949,0.946,0.952,0.952,0.957,0.952,0.946,0.938,0.939,0.909,0.908,0.91,0.949
Dominican Republic,0.484,0.485,0.478,0.521,0.673,0.67,0.669,0.674,0.673,0.671,0.671,0.651,0.691,0.69,0.695,0.656,0.693,0.697,0.736,0.692,0.734,0.833,0.834,0.797,0.792,0.796,0.796,0.795,0.792,0.795,0.795,0.796,0.797,0.794,0.794,0.816,0.816,0.818,0.792,0.789,0.775,0.771,0.82,0.847
Ecuador,0.452,0.452,0.453,0.454,0.537,0.705,0.706,0.704,0.745,0.585,0.588,0.589,0.585,0.7,0.809,0.809,0.771,0.771,0.746,0.747,0.751,0.748,0.746,0.745,0.748,0.747,0.748,0.726,0.726,0.726,0.726,0.706,0.689,0.687,0.561,0.585,0.585,0.584,0.409,0.412,0.41,0.41,0.496,0.771
Egypt,0.322,0.322,0.321,0.32,0.325,0.319,0.4,0.399,0.399,0.399,0.402,0.441,0.441,0.399,0.399,0.399,0.399,0.4,0.398,0.4,0.4,0.398,0.371,0.413,0.413,0.399,0.399,0.4,0.397,0.4,0.402,0.404,0.403,0.396,0.405,0.404,0.416,0.438,0.373,0.358,0.354,0.351,0.376,0.374
El Salvador,0.38,0.373,0.377,0.364,0.368,0.337,0.339,0.337,0.342,0.345,0.381,0.384,0.384,0.385,0.388,0.386,0.408,0.532,0.714,0.686,0.725,0.734,0.751,0.711,0.714,0.754,0.715,0.711,0.715,0.713,0.715,0.712,0.715,0.714,0.734,0.807,0.81,0.807,0.772,0.774,0.774,0.736,0.735,0.733
Equatorial Guinea,0.0268,0.0298,0.0293,0.025,0.129,0.326,0.322,0.326,0.322,0.324,0.322,0.323,0.324,0.327,0.324,0.323,0.322,0.366,0.36,0.363,0.336,0.324,0.326,0.324,0.325,0.323,0.323,0.326,0.326,0.322,0.322,0.326,0.327,0.327,0.328,0.304,0.306,0.309,0.306,0.325,0.285,0.285,0.279,0.262
Eritrea,,,,,,,,,,,,,,,,,,,0.313,0.303,0.304,0.301,0.303,0.306,0.302,0.231,0.194,0.118,0.118,0.117,0.118,0.118,0.117,0.116,0.117,0.117,0.117,0.115,0.261,0.259,0.247,0.188,0.188,0.2
Estonia,,,,,,,,,,,,,,,,,0.77,0.82,0.888,0.881,0.883,0.882,0.882,0.886,0.882,0.887,0.882,0.883,0.884,0.883,0.883,0.883,0.881,0.886,0.887,0.888,0.885,0.887,0.921,0.921,0.922,0.951,0.945,0.943
