country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,24.2,50.7,44.3,50.9,59.5,42.3,42.1,44.6,37,40.9,36.7,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,25.9,21.1,25.6,30,,,,24.8,22.9,22.8,,,,,,,23,23,24.2,24.4,24.4,24,23.9,23.3,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,21.8,29,21.1,25.9,16.1,20.8,19,20.8,22.4,25.5,25.6,26.7,23.4,28.2,28,20.8,17.5,16.7,,
Argentina,,,,,,,,,,,,,,,,,,,10.3,11.2,11.8,14.3,14.9,15.5,15.2,15,15.1,16.7,16.8,17,19.7,19.8,16.9,,,,,,,,,,24.6,25,26.2,24.3,22.9,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18.1,17.1,17,21.1,23.9,23,22.6,21.4,22.6,24,25.1,25.7,22.6,22.1,
Australia,18.1,18.5,18.2,21.3,23.7,23.7,24.5,23.7,23.4,23.6,23.3,25.6,26.5,26.5,26.2,25.8,24.2,22.2,21.9,23.2,24.5,25,25.1,25.5,24.6,23.9,21.4,24.6,24.1,26.3,26.4,25.8,25.7,25.6,25,24.5,24.4,26.5,26.8,26,26.1,25.9,26.3,26.8,26.9,26.5,26.1,
Austria,25.9,27.6,27.9,31.1,31.6,31.4,33.9,33.3,33.5,34.6,35,35.4,35.7,35.6,36.3,36.9,37.2,35.8,35.6,36,36.7,38.8,38.7,48.7,48.7,47.5,47.3,47.1,46.3,46.6,46,46,48.6,45.9,45.2,44,44.6,47.8,46.4,45.5,46.1,46.6,47.5,46.3,45,44.1,43.7,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,34.2,19.8,15.8,16.2,18.8,19,,,,,,,,,18.5,23.1,20.9,18.5,22.2,20.9,22.1,24.8,27.2,28,21.4,
Bahamas,,,,,,,,,,,,,,,,,,,16.6,17.5,18.1,17.4,17.1,17.4,18.3,11.2,10.7,10.3,10.3,10.4,10.4,11.3,11.3,11.4,11.7,11.9,12.8,14.2,13.8,15.2,14.5,14.8,14.7,14.6,16.8,19.1,17.9,
Bahrain,,,,,,,,,21.4,22,26.4,29.7,29,30.6,36.5,27.5,27.4,27.7,27.1,25.3,26.7,26.7,26,24.3,23,23.5,24.9,25,20.7,21.7,24.1,21.8,20.2,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,7.89,7.84,7.6,8.14,8.33,8.66,9.43,9.87,9.27,9.84,9.64,9.51,9.5,9.01,9.42,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,25.8,28.1,26.9,29.3,30.9,34,34.4,32.3,35.5,35.5,33.5,35.3,33.8,,,
Belarus,,,,,,,,,,,,,,,,,,,,,31.6,36.4,29.9,28.7,27.7,27.2,25.9,27.1,25.3,26.9,24.7,28.2,29.3,30.3,32.4,34.7,34,31.8,30.2,25.4,27.6,28.3,27.4,28.1,29.4,29.3,28.2,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,45.6,45.9,44.7,44.4,43.8,42.6,43,41.4,42.6,40.9,43.5,40.6,40.3,42.1,44.4,43.6,44.8,45.9,45.5,45.2,41.6,41,39.9,39.8,
Belize,,,,,,,,,,,,,,,,,,,16.7,17,18.2,19.7,21.1,18.6,18.7,19.3,19.2,19.9,17.9,19.5,19,21.6,25.6,24.9,25.6,24.1,23.5,25.4,25,25,23.1,24.3,25,26.2,26.8,27.6,,
Bhutan,,,,,,,,,,,15.1,13.7,16,20.7,16.6,,21.2,20.5,20.6,19.6,18.2,17.7,19.5,20.2,23.3,19.6,17.2,18.1,19.9,20.8,19.1,19.1,17.5,20.3,19.8,18.8,23.1,23.9,22.2,22.4,20.9,20.6,18.7,19.6,19.2,18.6,20.4,
Bolivia,,,,,,,,,,,,,,,12,12.2,11.7,13.1,14.2,14.5,17.6,20.4,19,17.7,18.8,19.7,19.7,20.5,20.6,24.2,28.8,28.2,27.2,26,23.9,21.8,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,34,36.1,37.8,39.8,39.2,38.1,39,37.4,39.9,36.9,35.3,34.4,35,
Botswana,,,,,,,,,,,,,,,,,,,26.7,27.8,30.5,32.6,29.1,30.6,29,,,,,,,,,,28.7,30.1,35.1,38.6,33.1,29.3,30.5,28.2,27.7,29.3,25.8,26.1,23.6,
Brazil,,,,,,,,,18.6,18.8,19.4,19.4,19.6,24.4,26,23.6,30.1,36.6,34.2,23.5,28.5,36.5,32.2,,,21.8,21.9,21.7,21.4,22.6,22.6,24.7,22.7,25.4,27.8,26.8,27.3,26.3,30.8,31.3,30.2,30.2,31.4,36.2,35.7,36.3,36,
Bulgaria,,,,,,,,,,,,,,,,,,,53.5,39.4,39.5,43.7,43.7,,,,,,,,,,,31.5,29.6,32.8,31.9,33.9,31.9,30,31.1,33.3,38.1,34.7,32.3,32.2,32.7,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94,9.31,10.2,10.2,11.3,12.3,10.8,11.2,10.6,11,12.9,12.3,12.9,13.2,14.7,18.4,17,
Burundi,,,,,,,,,,13.7,,,,,,,,,,23,27.7,28.3,25.2,23.6,22.7,,22.1,20.6,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38,9.29,8.18,7.59,8.59,8.2,8.56,11,10.6,11.1,10.6,11.9,12.5,12,13,14.3,15,
Cameroon,,,,,,,,,,,,,,,,,,,14.6,15.8,14.9,11,9.73,9.62,,,10.6,11.2,,,,,,,,,,,,,13.2,13.5,13.4,12.9,12.3,10.9,11.7,
Canada,,,,,,,,,,,,,,,,,,,24.2,25.5,25.6,25.2,23.8,23.5,22.4,20.4,20.2,19.8,18.8,18.8,18,18.1,17.3,17.9,17.1,17,17.1,18.9,19.1,17.9,17.5,17.1,16.4,17.1,17.5,17.6,17.6,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,29.6,24.8,22.9,25.3,25.6,26.2,25.1,25,26.5,28.5,28.1,28.4,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66,,,,11,15.9,16.3,13.5,8.18,,8.27,9.31,9.02,8.68,10.1,
