country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0.0395,0.079,0.079,0.079,0.079,0.079,0.079,0.114,0.114,0.114,0.114,0.114
Albania,0.507,0.507,0.507,0.507,0.507,0.471,0.4,0.4,0.4,0.436,0.436,0.471,0.471
Algeria,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221
Angola,0.214,0.268,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.286,0.286
Argentina,0.5,0.5,0.5,0.535,0.571,0.571,0.571,0.571,0.571,0.5,0.5,0.5,0.536
Armenia,0.321,0.321,0.321,0.321,0.321,0.321,0.321,0.286,0.286,0.286,0.286,0.286,0.464
Australia,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893
Austria,0.821,0.803,0.786,0.786,0.786,0.786,0.821,0.75,0.786,0.786,0.786,0.821,0.786
Azerbaijan,0.079,0.079,0.079,0.129,0.179,0.179,0.179,0.179,0.214,0.214,0.214,0.214,0.214
Bahrain,0.257,0.307,0.357,0.357,0.357,0.25,0.25,0.357,0.357,0.321,0.321,0.321,0.321
Bangladesh,0.507,0.507,0.507,0.525,0.543,0.543,0.543,0.543,0.507,0.507,0.507,0.507,0.507
Belarus,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.393,0.357,0.357,0.286,0.286
Belgium,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.857,0.893,0.893
Benin,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.607,0.536,0.571,0.536,0.536,0.571
Bhutan,0.464,0.482,0.5,0.518,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.607,0.679
Bolivia,0.571,0.571,0.571,0.535,0.5,0.5,0.5,0.5,0.5,0.536,0.536,0.464,0.464
Bosnia and Herzegovina,0.329,0.329,0.329,0.329,0.329,0.329,0.293,0.293,0.293,0.293,0.293,0.293,0.293
Botswana,0.786,0.768,0.75,0.732,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
Brazil,0.786,0.786,0.786,0.768,0.75,0.75,0.75,0.75,0.75,0.679,0.679,0.536,0.536
Bulgaria,0.571,0.554,0.536,0.554,0.571,0.571,0.571,0.571,0.571,0.607,0.607,0.643,0.643
Burkina Faso,0.179,0.179,0.179,0.268,0.357,0.357,0.321,0.357,0.286,0.429,0.429,0.429,0.429
Burundi,0.329,0.329,0.329,0.329,0.329,0.329,0.257,0.221,0.221,0.043,0.079,0.043,0.043
Cambodia,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.643,0.571,0.571,0.571,0.5
Cameroon,0.321,0.375,0.429,0.429,0.429,0.429,0.429,0.357,0.357,0.357,0.321,0.286,0.286
Canada,0.964,0.964,0.964,0.947,0.929,0.929,0.929,0.929,0.929,0.929,0.964,0.964,0.964
Cape Verde,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786
Central African Republic,0.143,0.125,0.107,0.107,0.107,0.107,0.107,0,0,0,0.036,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0.893,0.893,0.893,0.875,0.857,0.857,0.857,0.893,0.893,0.857,0.857,0.857,0.857
China,0.464,0.482,0.5,0.5,0.5,0.5,0.464,0.464,0.464,0.464,0.464,0.5,0.5
Colombia,0.436,0.486,0.536,0.625,0.714,0.75,0.75,0.714,0.714,0.714,0.714,0.679,0.679
Comoros,0.321,0.271,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221,0.221
