country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.427,0.426,0.427,0.326,0.312,0.311,0.338,0.335,0.336,0.336,0.335,0.337,0.337,0.337,0.337,0.331,0.276,0.188,0.11,0.113,0.111,0.188,0.213,0.213,0.214,0.214,0.217,0.337,0.32,0.321,0.292,0.294,0.295,0.295,0.294,0.302,0.279,0.279,0.269,0.286,0.311,0.277,0.287,0.333
Albania,0.466,0.466,0.438,0.438,0.438,0.44,0.434,0.436,0.434,0.435,0.416,0.427,0.437,0.437,0.428,0.398,0.448,0.443,0.442,0.444,0.441,0.439,0.422,0.416,0.416,0.417,0.458,0.454,0.461,0.461,0.494,0.494,0.494,0.446,0.453,0.447,0.449,0.455,0.512,0.497,0.494,0.498,0.456,0.443
Algeria,0.443,0.442,0.443,0.43,0.428,0.417,0.417,0.415,0.417,0.415,0.417,0.418,0.418,0.435,0.451,0.441,0.408,0.392,0.39,0.389,0.392,0.393,0.386,0.395,0.427,0.382,0.381,0.381,0.381,0.38,0.382,0.381,0.383,0.382,0.381,0.384,0.389,0.384,0.38,0.38,0.38,0.449,0.391,0.383
Angola,0.364,0.355,0.352,0.34,0.338,0.332,0.332,0.328,0.326,0.339,0.338,0.338,0.337,0.305,0.304,0.334,0.348,0.306,0.305,0.307,0.305,0.318,0.301,0.296,0.301,0.304,0.305,0.276,0.254,0.256,0.256,0.258,0.257,0.257,0.265,0.269,0.27,0.269,0.253,0.252,0.256,0.253,0.358,0.419
Argentina,0.423,0.272,0.239,0.24,0.241,0.242,0.243,0.243,0.386,0.595,0.6,0.599,0.599,0.599,0.594,0.492,0.492,0.491,0.49,0.49,0.492,0.488,0.487,0.498,0.508,0.54,0.538,0.531,0.512,0.513,0.514,0.513,0.502,0.495,0.492,0.497,0.511,0.511,0.497,0.496,0.503,0.544,0.54,0.545
Armenia,,,,,,,,,,,,,,,,,0.515,0.514,0.508,0.507,0.501,0.449,0.445,0.413,0.408,0.39,0.349,0.355,0.357,0.357,0.362,0.365,0.363,0.375,0.383,0.386,0.384,0.377,0.389,0.396,0.395,0.396,0.389,0.52
Australia,0.927,0.929,0.929,0.928,0.928,0.949,0.948,0.951,0.949,0.955,0.953,0.954,0.953,0.953,0.956,0.954,0.953,0.954,0.954,0.953,0.954,0.953,0.954,0.954,0.953,0.954,0.951,0.951,0.95,0.948,0.953,0.95,0.95,0.951,0.948,0.995,0.998,0.993,0.908,0.913,0.886,0.915,0.878,0.829
Austria,0.733,0.73,0.733,0.732,0.734,0.694,0.692,0.694,0.694,0.699,0.698,0.697,0.706,0.704,0.711,0.711,0.712,0.71,0.711,0.71,0.711,0.711,0.702,0.709,0.709,0.701,0.696,0.696,0.704,0.699,0.698,0.7,0.72,0.715,0.719,0.718,0.713,0.718,0.797,0.794,0.794,0.794,0.81,0.77
Azerbaijan,,,,,,,,,,,,,,,,,0.374,0.415,0.312,0.153,0.154,0.152,0.152,0.154,0.157,0.159,0.16,0.174,0.172,0.171,0.167,0.168,0.167,0.168,0.166,0.198,0.196,0.196,0.191,0.193,0.192,0.12,0.149,0.182
Bahrain,0.311,0.438,0.436,0.438,0.439,0.437,0.438,0.437,0.438,0.45,0.45,0.451,0.447,0.449,0.449,0.449,0.448,0.454,0.452,0.452,0.446,0.444,0.443,0.446,0.446,0.423,0.415,0.428,0.425,0.428,0.437,0.438,0.438,0.438,0.439,0.438,0.328,0.328,0.331,0.353,0.348,0.33,0.33,0.331
Bangladesh,0.315,0.291,0.288,0.315,0.315,0.315,0.315,0.279,0.276,0.257,0.256,0.256,0.257,0.258,0.256,0.266,0.321,0.321,0.332,0.333,0.334,0.315,0.304,0.316,0.315,0.309,0.299,0.293,0.294,0.291,0.291,0.294,0.325,0.323,0.309,0.314,0.309,0.309,0.264,0.259,0.287,0.284,0.259,0.271
Belarus,,,,,,,,,,,,,,,,,0.459,0.484,0.483,0.434,0.413,0.354,0.366,0.372,0.379,0.352,0.356,0.354,0.354,0.344,0.355,0.344,0.343,0.343,0.345,0.351,0.364,0.358,0.339,0.34,0.34,0.356,0.356,0.323
Belgium,0.866,0.866,0.866,0.865,0.865,0.867,0.867,0.867,0.866,0.875,0.875,0.872,0.871,0.872,0.858,0.848,0.863,0.883,0.883,0.883,0.879,0.881,0.889,0.887,0.888,0.889,0.89,0.89,0.893,0.89,0.888,0.888,0.888,0.889,0.892,0.892,0.896,0.894,0.883,0.879,0.88,0.883,0.882,0.892
Benin,0.388,0.389,0.386,0.388,0.388,0.422,0.423,0.422,0.422,0.42,0.421,0.421,0.414,0.413,0.414,0.46,0.469,0.471,0.472,0.471,0.471,0.46,0.45,0.452,0.45,0.452,0.451,0.449,0.453,0.451,0.48,0.478,0.477,0.485,0.486,0.485,0.485,0.485,0.497,0.497,0.464,0.577,0.549,0.61
