country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3.5
Albania,3.5,3.5,,,,,,,,,,,,,
Angola,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,
Armenia,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,
Azerbaijan,3.5,4,4,4,4,4,,,,,,,,,
Bangladesh,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,3.5,3.5,3.5
Benin,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bhutan,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Bolivia,4,4,4,4,4,4,4,4,4,4,4,,,,
Bosnia and Herzegovina,3,3,3,3,3.5,3.5,3.5,3.5,3.5,,,,,,
Burkina Faso,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burundi,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,3.5,3.5,3.5,3.5
Cambodia,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Cameroon,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Cape Verde,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4,3.5,3.5,3.5,3.5,3.5
Central African Republic,2,2,2,2,2.5,2.5,3,3,2.5,2,2,2,2,2,2
Chad,3,3,3,2.5,2.5,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3
Comoros,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
"Congo, Dem. Rep.",3,3,3,3,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5
"Congo, Rep.",3,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3
Cote d'Ivoire,1.5,1.5,1.5,1.5,2,2,2.5,2.5,2.5,2.5,3,3,3,3.5,3.5
Djibouti,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.5
Dominica,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3
Eritrea,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Ethiopia,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4,4,4,4,4
Gambia,3,3,3,3,3.5,4,4,3.5,3.5,3.5,3,3,3,3,3
Georgia,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,
Ghana,4,4,4,4,4,4,3.5,3.5,3.5,3.5,3.5,3,3,3,3
Grenada,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3
Guinea,3,3,3,3,3,3,3,3,3,3,3,3,3,3.5,3.5
Guinea-Bissau,3,3,3,3,3,3,3,2.5,2.5,2,2,2,2,2,2
Guyana,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3
Haiti,2.5,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5
Honduras,4,4,4,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4,4
India,4,4,4,4,4,4,4,4,4,,,,,,
Indonesia,4,4,,,,,,,,,,,,,
Kenya,3,3.5,3,3,3.5,4,4,4,4,4,4,4,4,4,4
Kiribati,3.5,3,3,3,3.5,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Kyrgyz Republic,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
Lao,3.5,3.5,3.5,4,4,4,4,4,4,4,3.5,3.5,3.5,3.5,3.5
Lesotho,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Liberia,,,,,3,3.5,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5
Madagascar,3.5,3.5,4,4,4,4,4,3,3,3,3,3,3,3,3
Malawi,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4
Maldives,4,4,4,4,4,4,3.5,3,3,3,3,3,3,3,3
Mali,3.5,3.5,3.5,3.5,3.5,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4
Marshall Islands,,,,,,,2,2,2,2,2,2,2,2,2
Mauritania,3,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4
