country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,2.3,2.3,2.5,2.6,2.6,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7
Albania,3.4,3.5,,,,,,,,,,,,,
Angola,2.6,2.7,2.7,2.7,2.9,2.8,2.8,2.7,2.7,,,,,,
Armenia,4.2,4.2,4.2,4.1,4.1,4.1,4,4,4,,,,,,
Azerbaijan,3.4,3.6,3.7,3.8,3.8,3.8,,,,,,,,,
Bangladesh,3.6,3.6,3.6,3.6,3.6,3.6,3.4,3.4,3.5,3.6,3.5,3.5,3.4,3.4,3.3
Benin,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5
Bhutan,4.2,4.1,4.1,4,4,4.1,4,4,4,4,4,4,4,4,4
Bolivia,,,,3.8,3.8,3.8,3.7,3.8,3.7,3.7,3.7,,,,
Bosnia and Herzegovina,3.4,3.6,3.6,3.6,3.7,3.7,3.6,3.6,3.6,,,,,,
Burkina Faso,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.6,3.7,3.7,3.7,3.6
Burundi,3,3.1,3.3,3.3,3.3,3.4,3.4,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5
Cambodia,3.1,3.3,3.3,3.3,3.3,3.4,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.5
Cameroon,3.4,3.2,3.1,3.1,3.1,3.1,3,3,3,3,3,3.1,3.1,3.2,3.2
Cape Verde,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4,4,4,3.8,3.8,3.9,3.9,3.9
Central African Republic,2.2,2.2,2.2,2.2,2.5,2.5,2.6,2.6,2.3,2.2,2.3,2.3,2.3,2.4,2.3
Chad,2.8,2.6,2.6,2.4,2.4,2.3,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.8,3
Comoros,2.7,2.7,2.7,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.9,2.9,2.8,2.8,2.7
"Congo, Dem. Rep.",2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.9,3,3,3,3.1,3.1
"Congo, Rep.",2.9,2.7,2.7,2.7,2.7,2.8,2.9,3,3,3,3,2.9,2.8,2.8,2.8
Cote d'Ivoire,2.3,2.3,2.3,2.3,2.4,2.4,2.6,2.8,2.9,2.9,3,3.2,3.3,3.4,3.5
Djibouti,3.1,3.1,3,3,3.2,3.3,3.1,3.1,3,3,3,3,3,3.1,3.2
Dominica,3.7,3.7,3.6,3.6,3.6,3.5,3.7,3.6,3.6,3.5,3.4,3.4,3.4,3.4,3.4
Eritrea,3.2,3,3,3,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.4,2.4,2.6,2.6
Ethiopia,3.6,3.6,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.8,3.7,3.7,3.8,3.8
Gambia,3.1,3.1,3.1,3.2,3.3,3.4,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.4
Georgia,3.9,4.1,4,4.2,4.2,4.2,4.2,4.1,4.1,,,,,,
Ghana,3.7,3.8,3.9,4,3.9,4,3.9,4,4,3.9,3.9,3.8,3.8,3.7,3.7
Grenada,3.9,4,4,4,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.8,3.8
Guinea,3.2,3,3,3,3,3,3,3.1,3,3.1,3.2,3.2,3.3,3.3,3.3
