country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2
Albania,3,2.5,,,,,,,,,,,,,
Angola,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,
Armenia,2.5,3.5,3.5,3,3,3,3,3.5,3.5,,,,,,
Azerbaijan,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,
Bangladesh,2.5,2.5,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Benin,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bhutan,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Bolivia,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,,,,
Bosnia and Herzegovina,3,3,3,3,3,3,3,3,3,,,,,,
Burkina Faso,3.5,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Burundi,3,2.5,2,2,2,2,2,2,2,2.5,2,2,1.5,1.5,1.5
Cambodia,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,2,2,1.5,1.5
Cameroon,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Cape Verde,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4.5,4.5
Central African Republic,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Chad,2,2,2,2,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5
Comoros,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
"Congo, Dem. Rep.",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Congo, Rep.",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,2
Cote d'Ivoire,2,2,2,2.5,2.5,2,2.5,2.5,3,3,3,3,3,3,3.5
Djibouti,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Dominica,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Eritrea,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,2.5,2.5
Ethiopia,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3
Gambia,2,2,2,2,2,2,2.5,2,2,2,2,2,2,2.5,2.5
Georgia,3.5,3.5,3,3,3,3.5,3.5,3.5,3.5,,,,,,
Ghana,3.5,4,4,4,4,4,4,4,4,3.5,3.5,3,3.5,3.5,3.5
Grenada,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Guinea,2.5,2.5,2.5,2,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Guinea-Bissau,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,1.5,1.5,1.5
Guyana,3,3,3,3,3,2.5,2.5,2.5,3,3,3,3,3,3,3
Haiti,2,2,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Honduras,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5
India,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,
Indonesia,3,3,,,,,,,,,,,,,
Kenya,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Kiribati,3.5,3.5,3.5,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Kyrgyz Republic,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3
