country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763,0.763,0.763,0.763,0.763,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0.82,0.82,0.82,0.819,0.818,0.818,0.818,0.818,0.805,0.805,0.805,0.805,0.789
Albania,0.943,0.943,0.943,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.943,0.943,0.943,0.943,0.873,0.849,0.849,0.849,0.849,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.839,0.881,0.881,0.881,0.881,0.902,0.902,0.902,0.902,0.906,0.906,0.906,0.906,0.925,0.925
Algeria,0,0.875,0.871,0.871,0.877,0.877,0.877,0.915,0.915,0.914,0.914,0.914,0.915,0.915,0.915,0.915,0.877,0.877,0,0,0.859,0.859,0.843,0.843,0.875,0.875,0.875,0.88,0.88,0.879,0.879,0.879,0.853,0.853,0.85,0.85,0.85,0.845,0.845,0.835,0.835,0.835,0.84,0.84
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809,0.809,0.809,0.809,0.819,0.819,0.819,0.819,0.819,0.826,0.826
Argentina,0.913,0.913,0,0,0,0,0,0,0.955,0.955,0.965,0.965,0.963,0.963,0.965,0.965,0.966,0.966,0.963,0.963,0.964,0.964,0.965,0.965,0.964,0.964,0.964,0.964,0.965,0.965,0.943,0.943,0.943,0.943,0.955,0.955,0.949,0.949,0.937,0.937,0.937,0.937,0.938,0.938
Armenia,,,,,,,,,,,,,,,,,0.934,0.934,0.934,0.934,0.853,0.853,0.853,0.839,0.839,0.839,0.839,0.839,0.797,0.797,0.797,0.797,0.808,0.804,0.804,0.804,0.804,0.835,0.832,0.832,0.832,0.832,0.836,0.844
Australia,0.953,0.953,0.952,0.952,0.952,0.952,0.952,0.952,0.953,0.954,0.954,0.954,0.971,0.971,0.971,0.973,0.973,0.973,0.972,0.972,0.972,0.97,0.97,0.971,0.971,0.971,0.929,0.929,0.929,0.927,0.927,0.927,0.945,0.945,0.945,0.985,0.985,0.985,0.966,0.966,0.966,0.965,0.965,0.965
Austria,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.944,0.944,0.944,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.943,0.943,0.943,0.943,0.942,0.942,0.942,0.942,0.942,0.942,0.94,0.94,0.955,0.955,0.954,0.954,0.956,0.956,0.956,0.954,0.954,0.954,0.955,0.949,0.949
Azerbaijan,,,,,,,,,,,,,,,,,0.9,0.907,0.903,0.903,0.891,0.891,0.891,0.89,0.89,0.91,0.91,0.91,0.893,0.893,0.845,0.845,0.845,0.847,0.847,0.834,0.834,0.834,0.803,0.803,0.803,0.803,0.803,0.789
Bahrain,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.86,0.86,0.86,0.853,0.853,0.853,0.853,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.811
Bangladesh,0.868,0,0,0.872,0.872,0.872,0.874,0.874,0,0,0,0.864,0.864,0.865,0.865,0.865,0.873,0.873,0.873,0.873,0.873,0.875,0.875,0.875,0.875,0.875,0.888,0.888,0.888,0.888,0.888,0.888,0,0.865,0.865,0.865,0.865,0.865,0.865,0.858,0.858,0.858,0.858,0.847
Belarus,,,,,,,,,,,,,,,,,,,,0.819,0.819,0.819,0.819,0.819,0.819,0.809,0.809,0.809,0.809,0.804,0.804,0.808,0.808,0.808,0.808,0.822,0.822,0.807,0.807,0.807,0.807,0.807,0.807,0.807
Belgium,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.955,0.955,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.954,0.954,0.954,0.954,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.973,0.973,0.973,0.978,0.978,0.978,0.978,0.971,0.971,0.971,0.971,0.971
Benin,0,0,0,0,0.824,0.824,0.824,0.824,0.824,0.771,0.771,0.771,0.771,0.771,0.773,0.773,0.877,0.877,0.877,0.877,0.886,0.886,0.886,0.886,0.875,0.875,0.878,0.878,0.877,0.877,0.877,0.912,0.906,0.906,0.906,0.906,0.864,0.864,0.864,0.864,0.908,0.919,0.919,0.919
Bolivia,0,0,0,0.804,0.817,0.831,0,0,0,0,0.86,0.86,0.86,0.86,0.874,0.874,0.874,0.874,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.916,0.916,0.916,0.909,0.908,0.908,0.908,0.897,0.897,0.897,0.897,0.897,0.891,0.891,0.891,0.891,0.891
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0,0,0,0,0.869,0.869,0.89,0.89,0.918,0.918,0.949,0.949,0.949,0.949,0.916,0.916,0.916,0.916,0.902,0.902,0.902,0.902,0.892,0.892,0.892,0.892,0.878
Botswana,0.932,0.932,0.932,0.932,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.932,0.932,0.932,0.932,0.932,0.93,0.93,0.93,0.93,0.93,0.929,0.929,0.929,0.929,0.929,0.908,0.908,0.908,0.908,0.908,0.909,0.909,0.909,0.909,0.909
Brazil,0.682,0.682,0.682,0.682,0.682,0.715,0.715,0.715,0.715,0.715,0.716,0.777,0.777,0.778,0.971,0.97,0.97,0.97,0.97,0.972,0.972,0.972,0.972,0.971,0.971,0.971,0.971,0.97,0.97,0.97,0.97,0.962,0.962,0.962,0.962,0.971,0.971,0.971,0.971,0.955,0.955,0.955,0.955,0.932
Bulgaria,0.958,0.946,0.946,0.946,0.946,0.946,0.958,0.958,0.958,0.958,0.958,0.957,0.957,0.957,0.957,0.921,0.921,0.922,0.922,0.926,0.926,0.921,0.921,0.921,0.921,0.921,0.923,0.923,0.923,0.923,0.915,0.916,0.916,0.916,0.906,0.906,0.905,0.905,0.894,0.895,0.895,0.9,0.9,0.9
Burkina Faso,0,0,0,0.856,0.856,0.856,0,0,0,0,0,0,0,0,0,0,0.806,0.815,0.815,0.815,0.815,0.815,0.812,0.814,0.814,0.814,0.814,0.813,0.813,0.813,0.857,0.857,0.829,0.829,0.829,0.868,0.868,0.875,0.875,0.875,0.931,0.931,0.931,0.931
Burundi,0,0,0,0,0,0,0.806,0.802,0.802,0.767,0.767,0.767,0.767,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0.905,0.905,0.905,0.905,0.905,0.852,0.852,0.852,0.852,0.852,0.795,0.795,0.795,0.795
Cambodia,0,0.667,0.667,0.667,0.667,0.667,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.913,0.913,0.913,0.913,0.913,0.893,0.893,0.893,0.893,0.893,0.875,0.875,0.875,0.875,0.875,0.834,0.834,0.834,0.834,0.834,0.84,0.84,0.84,0.84,0.84,0.857
Cameroon,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.819,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.824,0.824,0.824,0.824,0.824,0.813,0.813,0.813,0.813,0.813,0.797,0.797,0.796,0.796,0.796,0.795,0.795,0.795,0.795,0.825,0.825,0.821,0.821,0.821,0.821,0.821,0.812
Canada,0.93,0.93,0.93,0.93,0.931,0.931,0.931,0.931,0.931,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.923,0.923,0.923,0.923,0.94,0.94,0.94,0.939,0.939,0.939,0.939,0.94,0.94,0.95,0.95,0.949,0.949,0.949,0.961,0.961,0.961,0.961,0.95,0.95,0.95,0.95
Central African Republic,0,0,0,0,0,0,0.841,0,0,0,0,0.86,0.86,0.86,0.86,0.86,0.86,0.874,0.874,0.874,0.874,0.874,0.874,0.859,0.859,0.859,0.859,0.859,0.859,0,0.846,0.846,0.846,0.846,0.846,0.846,0.832,0.832,0.832,0,0.865,0.866,0.866,0.866
Chad,0.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802,0,0,0,0,0,0.827,0.827,0.827,0.827,0.827,0.787,0.787,0.787,0.787,0.787,0.792,0.792,0.792,0.792,0.792,0.808,0.808,0.808,0.808,0.808,0.823,0.823,0.823
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.968,0.968,0.966,0.966,0.966,0.966,0.966,0.966,0.984,0.984,0.984,0.984,0.99,0.989,0.989,0.989,0.976,0.976,0.976,0.976,0.977,0.977
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0.921,0.921,0.921,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.907,0.907,0.907,0.907,0.92,0.92,0.92,0.92,0.928,0.928,0.928,0.928,0.92,0.92,0.92,0.92,0.921,0.921,0.921,0.921,0.901,0.901,0.901,0.901,0.903,0.903,0.903,0.903,0.913,0.913,0.913,0.913,0.92
"Congo, Dem. Rep.",0.709,0.709,0.707,0.707,0.707,0.707,0.707,0.72,0.72,0.719,0.719,0.719,0.767,0.767,0.767,0.767,0.767,0.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838,0.838,0.838,0.838,0.838,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.815
"Congo, Rep.",0.81,0.81,0,0,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.811,0.811,0.811,0.892,0.892,0.892,0.892,0.892,0,0,0,0,0,0.815,0.815,0.815,0.815,0.815,0.811,0.811,0.812,0.812,0.812,0.832,0.832,0.832,0.832,0.832,0.826,0.826
Costa Rica,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.962,0.962,0.962,0.962,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.964,0.964,0.964,0.964,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.941,0.941,0.941,0.941,0.945,0.945,0.945,0.945,0.943,0.943,0.943,0.943,0.968
