country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.379,0.379,0.379,0.357,0.356,0.33,0.33,0.342,0.342,0.342,0.342,0.342,0.342,0.355,0.355,0.355,0.324,0.328,0.335,0.335,0.311,0.291,0.304,0.304,0.304,0.304,0.304,0.313,0.313,0.366,0.389,0.41,0.41,0.41,0.409,0.409,0.409,0.418,0.394,0.401,0.407,0.411,0.4,0.437
Albania,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.418,0.474,0.477,0.48,0.48,0.48,0.474,0.477,0.474,0.463,0.463,0.451,0.444,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.471,0.491,0.518,0.518,0.518,0.485,0.515
Algeria,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.271,0.271,0.271,0.271,0.274,0.274,0.274,0.269,0.269,0.274,0.28,0.28,0.28,0.28,0.274,0.244,0.244,0.244,0.244,0.244,0.244,0.248,0.248,0.248,0.248,0.248,0.248,0.248,0.266,0.246,0.246,0.246,0.246,0.259,0.259
Angola,0.447,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.423,0.423,0.423,0.423,0.423,0.423,0.42,0.434,0.434,0.434,0.434,0.437,0.437,0.437,0.441,0.441,0.441,0.441,0.427,0.427,0.427,0.427,0.427,0.427,0.441,0.441,0.441,0.419,0.419,0.45,0.45,0.45,0.425,0.426,0.419
Argentina,0.452,0.347,0.41,0.41,0.41,0.417,0.417,0.417,0.455,0.517,0.517,0.517,0.517,0.517,0.517,0.455,0.455,0.455,0.458,0.458,0.45,0.45,0.45,0.45,0.45,0.508,0.506,0.508,0.495,0.497,0.5,0.497,0.497,0.487,0.487,0.487,0.487,0.487,0.476,0.476,0.476,0.581,0.571,0.6
Armenia,,,,,,,,,,,,,,,,,0.358,0.358,0.354,0.354,0.354,0.339,0.337,0.337,0.32,0.315,0.315,0.309,0.337,0.318,0.318,0.318,0.318,0.325,0.325,0.342,0.342,0.342,0.34,0.336,0.336,0.336,0.355,0.464
Australia,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.927,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.88,0.861,0.842,0.882,0.926,0.926
Austria,0.724,0.724,0.724,0.724,0.724,0.724,0.724,0.724,0.724,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7,0.7,0.7,0.7,0.7,0.7
Azerbaijan,,,,,,,,,,,,,,,,,0.343,0.427,0.339,0.234,0.234,0.234,0.234,0.186,0.193,0.193,0.193,0.193,0.193,0.193,0.226,0.226,0.226,0.226,0.217,0.217,0.226,0.234,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154
Bahrain,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.179,0.183,0.183,0.185,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.129,0.129,0.129,0.165,0.165,0.165,0.165,0.165,0.165,0.134,0.133,0.133,0.133,0.133,0.133,0.133,0.133
Bangladesh,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.423,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.417,0.419,0.423,0.423,0.428,0.428,0.428,0.428,0.424,0.419,0.385,0.385,0.385,0.388,0.388,0.388,0.388,0.315,0.347,0.347,0.347,0.279,0.279,0.292,0.292,0.305,0.291
Belarus,,,,,,,,,,,,,,,,,0.502,0.544,0.539,0.501,0.455,0.299,0.169,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.172,0.109,0.109,0.109,0.148,0.115,0.135
Belgium,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.717,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.688,0.693,0.693
Benin,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.368,0.446,0.451,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.523,0.518,0.518,0.518,0.518,0.513,0.513,0.513,0.584,0.584,0.576,0.561,0.629,0.629
Bolivia,0.195,0.195,0.195,0.195,0.224,0.195,0.195,0.357,0.441,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.438,0.428,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.41,0.41,0.41,0.41,0.41,0.394,0.384,0.384,0.395,0.395,0.395,0.395,0.395,0.411,0.353
