country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,23,,,,,,,,,,,,
Albania,,,,,,,,,,,23.9,,,,28,,,,,,,
Argentina,,,,,,,,,40.9,,,,37,29.9,32.8,38.2,38.6,,38.9,39.3,38,
Armenia,,,,,,,,,,,27.9,34,34.3,33.3,34.9,32.6,33.6,33.6,33.9,36,,
Azerbaijan,,,,,,,,,,,,,,,,,,2.57,,,,
Bangladesh,,,,,,,,27.7,,,,,9.12,,,,,,6.1,,,
Belarus,,,,,,,,,,,37.2,36.4,37,,41.1,48.1,48,50.9,72.4,,,
Belize,,,,,,,,,,,,23.3,,,,,,,,,,
Benin,,,,,,39.5,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,2.1,,,,,27.6,,,,,,,
Bolivia,,,,,,,,,27.6,26.7,17.4,17.2,,13.8,13.5,,12.8,11.1,21.4,22.4,,
Bosnia and Herzegovina,,,,,,,,,,17.9,,,,,,,,32.5,,,,
Botswana,,,,,,,,,,,,9.53,,,,,,26,,,,
Brazil,,,,,,,,,46.7,,,41,,40.6,39.5,,,44.8,40.8,41.3,41.8,
Bulgaria,,,,,,,,,,32.2,,,,,,,,,,,,
Burkina Faso,,,,,,50.2,,,,,,,,,,,17.1,,,,,
Cambodia,,,,,,,,,,,6.39,,,,,12.5,,,,,,
Cameroon,,,,,,,,,,26.9,,,,,,,3.13,,,,,
Cape Verde,,,,,,,,,,14.7,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,24.5,,,,,,,,
Chile,,,,,,,,,18.7,,,17.5,,18.1,,18.8,,15.3,,18.7,,
China,,,,,,,,,,,,,,,,36.8,,,,,,
Colombia,,,,,,,,,,,,,18.8,16.9,19.4,,25.3,28.3,30.2,30.5,31.5,
Comoros,,,,,,,13.2,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,17,,,,,,,,38.3,,,,,,,
"Congo, Rep.",,,,,,,,67,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,38.1,,27.1,26,24.7,,28.6,28.1,30,30.7,,
Cote d'Ivoire,,,,,14.4,,,,,,26.8,,,,,,,47.5,,,,
Croatia,,,,,,,,,,,32.7,,39.5,43.8,,,41.8,,,,,
Djibouti,,,,,,,,,,,,,,,29,,,,,,,
Dominica,,,,,28.9,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,17.6,14.8,12.7,12.4,12.9,12.5,13.4,12.7,3.72,3.17,,,
Ecuador,,,,,,,,,,,20.8,,24.2,26.3,24.5,,22.4,24.1,32.3,25.1,,
Egypt,,,,,,,,,,,21,,,,,,,,,,,
El Salvador,,,,,,,,,,28.7,28.4,27.3,26.6,24.1,26.3,,25.9,32.3,32.1,30.3,,
Eswatini,,,,,,,,,,,,15.7,,,,,,,13.6,,,
Ethiopia,,,,,,,,,,,,,,,,,,11.6,,,,
Fiji,,,,,,,,,,,24.2,,,,,11.3,,,,,,
Gabon,,,,,,,,20.8,,,,,,,,,,,,,,
Gambia,8.27,,,,,,,,,,,,5.22,,,,,,,,,
Georgia,,,,,,,,,,,,,,29.2,,,,,37.6,,,
Ghana,,,,,,,,0.704,,,,,,,96.4,,,,4.8,,,
Guatemala,,,,,,,,,11.9,,,,,4.8,,,22.3,,,,,
Guinea,,,,,,,,,,,,,,,10.3,,,,,,,
Haiti,,,,0.568,,,,,,,,,,,34.6,,,,,,,
Honduras,,,,,,,,,,,5.55,21.7,8.94,11.2,,13.3,,10.7,12.9,4.34,,
Hungary,,,,,,,,,,50.4,,,,,,,,,,,,
India,,,,,,,,,,,,,,5.2,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,15.9,,3.17,,
Iraq,,,,,,,,,7.55,,,,,,9.52,,,,,,,
Jamaica,,,,,0.849,,,,,,,,11.6,,,,,,,,,
Jordan,,,,,,,,,19.2,,,,18.5,,,,,,,,,
Kazakhstan,,,,,,,,,,9.06,,,17.9,,,,35.2,37.7,,,,
Kenya,,,,,,,,18.9,,,,,,,,,,5.93,,,,
Kiribati,,,,,,,,,5.62,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,27.8,,,,,32.9,42,42.2,,,,,,
