country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,5.87,,,,,,,,,,,,
Albania,,,,,,,,,,,13.2,,,,13.5,,,,,,,
Argentina,,,,,,,,,2.78,,,,5.85,10.9,10.4,6.73,6.34,,5.91,6.07,5.9,
Armenia,,,,,,,,,,,19.9,16.7,17.2,16.4,17.6,16.6,17.8,17.2,17.9,16.9,,
Azerbaijan,,,,,,,,,,,,,,,,,,17.3,,,,
Bangladesh,,,,,,,,15.4,,,,,8.73,,,,,,18,,,
Belarus,,,,,,,,,,,14.7,14.9,14,,14.5,15.9,14.3,13.1,16.9,,,
Belize,,,,,,,,,,,,18.9,,,,,,,,,,
Benin,,,,,,2.47,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,15.3,,,,,1.31,,,,,,,
Bolivia,,,,,,,,,1.63,2.05,14.7,14.6,,14.6,15.1,,14.5,15.3,6.48,9.64,,
Bosnia and Herzegovina,,,,,,,,,,12.4,,,,,,,,11.8,,,,
Botswana,,,,,,,,,,,,12.8,,,,,,7.9,,,,
Brazil,,,,,,,,,1.5,,,2.48,,2.64,2.86,,,4.16,4.31,4.26,4,
Bulgaria,,,,,,,,,,18.2,,,,,,,,,,,,
Burkina Faso,,,,,,2.71,,,,,,,,,,,1.5,,,,,
Cambodia,,,,,,,,,,,1.49,,,,,0.1,,,,,,
Cameroon,,,,,,,,,,1.63,,,,,,,0.722,,,,,
Cape Verde,,,,,,,,,,7.59,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,1.58,,,,,,,,
Chile,,,,,,,,,7.93,,,9.97,,9.77,,9.46,,7.59,,8.36,,
China,,,,,,,,,,,,,,,,3,,,,,,
Colombia,,,,,,,,,,,,,3.8,3.02,2.84,,2.99,3.58,2.92,2.82,2.53,
Comoros,,,,,,,0.619,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,1.75,,,,,,,,3.45,,,,,,,
"Congo, Rep.",,,,,,,,4.62,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,5.75,,5.66,5.59,5.41,,5.3,6.72,6.51,7.09,,
Cote d'Ivoire,,,,,5.75,,,,,,3.92,,,,,,,6.63,,,,
Croatia,,,,,,,,,,,14.9,,13.1,12.9,,,12.4,,,,,
Djibouti,,,,,,,,,,,,,,,10.3,,,,,,,
Dominica,,,,,1.71,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,5.54,9.07,8.48,8.92,7.9,8.28,7.32,8.5,7.51,7.29,,,
Ecuador,,,,,,,,,,,9.68,,7.76,8.23,8.75,,7.04,6.48,6.7,6.29,,
Egypt,,,,,,,,,,,7.17,,,,,,,,,,,
El Salvador,,,,,,,,,,0.964,2.88,2.54,2.99,3.33,2.99,,2.38,1.58,0.805,0.701,,
Eswatini,,,,,,,,,,,,13.7,,,,,,,11.8,,,
Ethiopia,,,,,,,,,,,,,,,,,,8.72,,,,
Fiji,,,,,,,,,,,9.49,,,,,8.41,,,,,,
Gabon,,,,,,,,8.27,,,,,,,,,,,,,,
Gambia,1.9,,,,,,,,,,,,3.35,,,,,,,,,
Georgia,,,,,,,,,,,,,,20.4,,,,,18.2,,,
Ghana,,,,,,,,6.01,,,,,,,0.678,,,,57.6,,,
Guatemala,,,,,,,,,3.07,,,,,11.9,,,0.985,,,,,
Guinea,,,,,,,,,,,,,,,4.1,,,,,,,
Haiti,,,,5.76,,,,,,,,,,,0,,,,,,,
Honduras,,,,,,,,,,,11.6,2.69,1.88,6.32,,7.61,,12.5,6.38,8.29,,
Hungary,,,,,,,,,,15.4,,,,,,,,,,,,
India,,,,,,,,,,,,,,22.3,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,35.5,,32,,
Iraq,,,,,,,,,12.4,,,,,,9.13,,,,,,,
Jamaica,,,,,7.91,,,,,,,,14.6,,,,,,,,,
Jordan,,,,,,,,,13.2,,,,12.2,,,,,,,,,
Kazakhstan,,,,,,,,,,13.3,,,12.9,,,,15.8,10.7,,,,
Kenya,,,,,,,,3.47,,,,,,,,,,14.6,,,,
Kiribati,,,,,,,,,8.85,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,11.6,,,,,13.3,14.2,15.5,,,,,,
Lao,,,,,,,,,,2.3,,,,,,,,,,,,
Latvia,,,,,,,,,,,16.6,15.4,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,19,,
Liberia,,,,,,,,,,0.0437,,,,,,,16,,20.8,,,
Lithuania,,,,,,,,,,,20.2,,,,,,,,,,,
Malawi,,,,,,,6.35,,,,,,2.54,,,6.68,,,11,,,
Malaysia,,,,,,,,,,,10.2,,,,6.86,,11.8,,11.8,,,
Maldives,,,,,,,12.5,,,,,19.3,,,,,,,14.7,,,
Mali,,,,,,,,,,,,0.396,,,,,,,,,,
Marshall Islands,,0.766,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,7.69,,,,,,,,,,,
Mauritius,,,,,,,,,13.8,,,,,,12,,,,,,,
Mexico,,,,,,,,,,,7.16,,11.6,,8.63,,7.74,,6.99,,6.97,
"Micronesia, Fed. Sts.",,,1.8,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,16.7,,17.4,15.9,,,,,,
Mongolia,,,,,,,,,,14.8,,15.6,15.8,15.5,15.2,,13.4,,12.5,,,
Montenegro,,,,,,,,,,,,,,8.21,9.46,8.95,10.5,,,,,
Mozambique,,,,,,,,,,,5.29,,,,,,2.58,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,7.34,,
Namibia,,,,,,,,,,,,,,,,,,15.3,,,,
Nepal,,,,,,,,,,,,,5.92,,,,,,,,,
Nicaragua,,,,,,,,4.25,,,,2.05,,,,,2.47,,,,,
Niger,,,,,,,,,,,,,,0.027,,,5.52,,,,,
Nigeria,,,,,,,,,,,,,6.89,,0.561,,,2.17,,,,
Pakistan,,,,,,,,,,3.33,,7.22,,,,5.07,,5.43,,,,
Palau,,,,,,,,,7.41,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,18.8,,,,,,,,,,
Panama,,,,,,,,,,,1.39,4.97,5.24,5.41,5.32,5.06,5.71,8.58,7.96,8.89,8.38,
Papua New Guinea,,,,,,,,,,,,4.47,,,,,,,,,,
Paraguay,,,,,,,,,,0.139,1.58,1.42,2.44,1.57,3.83,3.63,5.63,6.14,6.03,7.23,,
Peru,,,,,,,,,,,4.44,4.35,3.92,4.45,4.65,4.99,5.35,9.13,8.55,8.65,,
Philippines,,,,,,,,,0.647,,,,,,,9.08,,12.9,,,,
Poland,,,,,,,,9.96,10.5,11.4,11.6,11.4,11.8,11.6,11.5,,,11.2,,,,
Romania,,,,,,,,,,,10.3,,,9.21,9.63,,,,,,,
Russia,,,,,,,,,,,,,,,,,8.9,8.91,9.54,9.57,,
Rwanda,,,,,,,,2.68,,,,,6.87,,,12.7,,,,,,
Samoa,,,,,,,,,,,11,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,1.16,,,,,,,,
Serbia,,,,,,,,,,10.3,,,10.4,,,10.6,,13.4,,,,
Slovak Republic,,,,,,,,,,,,10.5,,,,,,,,,,
Solomon Islands,,,,,,,,4.02,,,,,,,,,,,,,,
South Africa,,,,,,,,15.9,,,,,24.6,,,,18.5,,,,,
South Sudan,,,,,,,,,,,,3.91,,,,,,,,,,
Sri Lanka,,,,,,,,,6.97,,,6.38,,,5.98,,,,8.66,,,
Sudan,,,,,,,,,,,,18,,,,,,,,,,
Syria,,,,,,1.51,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,17,,,,,,,,
Tanzania,,,,,,,,,,,2.96,,0.184,,2.66,,3.14,,,,,
Thailand,,,,,,,,,6.11,,,7.41,,7.17,,8.34,,,,,,
Timor-Leste,,,,,,,,,,0.946,,,,5.28,,,,,,,,
Togo,,,,,,,,,,,,,,0,,,,,,,,
Tonga,,,,,,,,,,,,0,,,,,,,,,,
Tunisia,,,,,,,,,,,,,19.8,,,,,,,,,
Turkey,,,,,,,3.13,3.64,4.51,4.16,5.23,5.85,5.58,5.23,6.72,6.5,6.49,5.61,6.09,,,
Uganda,,,,,,,,0,,,,0.124,,,0.89,,,,,,,
Ukraine,,,,,,,,,14.6,,,,,15.3,15.5,15.3,,14,17.5,,,
Uruguay,,,,,,,,,,,5.31,2.75,2.58,3.06,3.93,,,5.53,5.66,5.27,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,14.3,
Vietnam,,,,,,,,,4.68,,,,3.06,,3.81,,3.68,,,,,
Yemen,,,,,,,,10.7,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,0.289,,,,,0.472,,,,
Zimbabwe,,,,,,,,,,0.778,,,,2.21,,,,,,2.08,,37.6
