country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,15.7,,,,8.82,,,,,,,,
Albania,,,,,,,,,,,67.7,,,,54.9,,,,,,,
Argentina,,,,,,,,,33.3,,,,37.8,42.1,41.1,46.4,44.7,,43.6,48,49,
Armenia,,,,,,,,,,,60.9,60.8,65.5,63.6,65,65,66.8,66.6,67.5,71.1,,
Azerbaijan,,,,,,,,,,,,,,,,,,64.6,,,,
Bangladesh,,,,,,,,14,,,,,17.8,,,,,,41,,,
Belarus,,,,,,,,,,,75,73.9,74.4,,77.2,75.1,75.4,75.4,76.4,,,
Belize,,,,,,,,,,,,39.4,,,,,,,,,,
Benin,,,,,,6.63,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,2.4,,,,,2.92,,,,,0.893,,
Bolivia,,,,,,,,,16.1,58.4,73.4,79.1,,76.5,76.8,,78.2,86,84.3,83,,
Bosnia and Herzegovina,,,,,,,,,,57.6,,,,,,,,50.3,,,,
Botswana,,,,,,,,,,,,73.8,,,,,,55.4,,,,
Brazil,,,,,,,,,53.9,,,45.5,,45.3,46.4,,,53.8,50.7,50.1,50.7,
Bulgaria,,,,,,,,,,73.6,,,,,,,,,,,,
Burkina Faso,,,,,,34.3,,,,,,,,,,,4.28,,,,,
Cambodia,,,,,,,,,,,2.65,,,,,3.09,,,,,,
Cameroon,,,,,,,,,,4.04,,,,,,,5.01,,,,,
Cape Verde,,,,,,,,,,29.7,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,2.97,,,,,,,,
Chile,,,,,,,,,89.7,,,90.4,,83.4,,88.5,,87.7,,92.3,,
China,,,,,,,,,,,,,,,,63.1,,,,,,
Colombia,,,,,,,,,,,,,52.3,51.6,48.9,,65.7,36.3,33.6,32.4,31.3,
Comoros,,,,,,,1.98,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,1.51,,,,,,,,11.1,,,,,,,
"Congo, Rep.",,,,,,,,8.91,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,70.2,72.7,67.2,67.9,67.3,,66.6,71.9,73.1,74.5,,
Cote d'Ivoire,,,,,25.3,,,,,,32.4,,,,,,,32.9,,,,
Croatia,,,,,,,,,,,68,,70.7,70.5,,,71.1,,,,,
Djibouti,,,,,2.95,,,,,,,,,,20.9,,,,,,,
Dominica,,,,,20.8,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,15.2,23.1,29.7,32.7,31.3,35.5,33,34.5,31,59.2,,,
Ecuador,,,,,,,,,,,63.1,,70.4,44.9,74,,76.3,75,72.6,74.4,,
Egypt,,,,,,,,,,,55.5,,,,,,,,,,,
El Salvador,,,,,,,,,,34.9,39.7,48.2,62.3,58.1,60.2,,58.1,89.1,89.7,85.3,,
Eswatini,,,44.4,,,,,,,,,51.6,,,,,,,81.2,,,
Ethiopia,,,,,,,0.514,,,,,,13.2,,,,,23.2,,,,
Fiji,,,,,,,,,,,14.3,,,,,37.1,,,,,,
Gabon,,,,,,,,51.8,,,,,,,,,,,,,,
Gambia,5.07,,,,,,,,,,,,8.31,,,,,,,,,
Georgia,,,,,,,,,,,,,,64.7,,,,,64.3,,,
Ghana,,,,,,,,5.68,,,,,,,63.7,,,,56.6,,,
Guatemala,,,,,,,,,50.6,,,,,63.8,,,63.3,,,,,
Guinea,,,,,,,,,,,,,,,3.89,,,,,,,
Haiti,,,,0.753,,,,,,,,,,,19.5,,,,,,,
Honduras,,,,,,,,,,,51.5,50.5,53.2,50.9,,55.8,,46.7,35.5,43.8,,
Hungary,,,,,,,,,,89.4,,,,,,,,,,,,
India,,,,,,,27.2,,,,,21.5,,94,,,,,,,,
Indonesia,,,,,,,,,,,,41.6,,52.8,55.1,,66.1,57.4,,54.1,,
Iraq,,,,,,,,,86,,,,,,83.6,,,,,,,
Jamaica,,,,,32.6,,,,,,,,58.3,,,,,,,,,
Jordan,,,,,,,,,81.9,,,,73.2,,,,,,,,,
Kazakhstan,,,,,,,,,,45.8,,,50.7,,,,67.4,50.2,,,,
Kenya,,,,,,,,21.6,,,,,,,,,,27.4,,,,
Kiribati,,,,,,,,,4.57,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,36.6,,,,,60,58.3,57.9,,,,,,
Lao,,,,,,,,,,1.65,,,,,,,,,,,,
Latvia,,,,,,,,,,,78.1,80.3,,,,,,,,,,
Lebanon,,,,,,,54.6,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,6.32,,,,,,,71.7,,
Liberia,,,,,,,,,,57,,,,,,,7.33,,14.4,,,
Lithuania,,,,,,,,,,,81.9,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,5.7,,,,,,,,,
Malawi,,,,,,,51.3,,,,,,20.4,,,42.5,,,41.5,,,
Malaysia,,,,,,,,,,,84.1,,,,80.3,,89.5,,76.7,,,
Maldives,,,,,,,6.54,,,,,29.3,,,,,,,27.5,,,
Mali,,,,,,,,,,,,1.31,,,,,,,,,,
Marshall Islands,,23,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,39.4,,,,,,45.2,,,,,
Mauritius,,,,,,,,,40.9,,,,,,46.6,,,,,,,
