country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,13.3,,,,25.2,,,,,,
Argentina,,,13.7,,,,21.8,18.2,28.9,,,,,,
Armenia,,,,,22.3,20.8,14.7,23.5,24.6,21.3,,,,,
Bangladesh,,,,,,,17.4,,,,,,,,
Belarus,,,,,30.8,29.9,43.4,,23.5,,,37.2,28.3,,
Bosnia and Herzegovina,,,,28.2,,,,,,,,,,,
Botswana,,,,,,,,,,,,15.7,,,
Brazil,,,,,,,,,,,,,7.08,7.02,5.91
Bulgaria,,,,22.9,,,,,,,,,,,
Cape Verde,,,,24.8,,,,,,,,,,,
Chile,,,25.7,,,25.1,,37.9,,17.9,,,,4.4,
Comoros,6.91,,,,,,,,,,,,,,
Croatia,,,,,21.2,,25,24.1,,,20.1,,,,
Georgia,,,,,,,,6.31,,,,,,,
Honduras,,,,,,,27.9,18.5,,,,,,,
Hungary,,,,39.2,,,,,,,,,,,
Iraq,,,18.1,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,28.2,,,,
Latvia,,,,,20.2,17.5,,,,,,,,,
Lithuania,,,,,24,,,,,,,,,,
Mauritius,,,8.52,,,,,,25.2,,,,,,
Montenegro,,,,,,,,15.1,36.5,28.4,8.2,,,,
Poland,,25.8,27,26,28.7,29,27.3,25.6,24.8,,,25.8,,,
Romania,,,,,12.7,,,18.2,17,,,,,,
Russia,,,,,,,,,,,40.2,44.3,41.5,43.6,
Rwanda,,5.32,,,,,0.876,,,,,,,,
Senegal,,,,,,,,23.4,,,,,,,
Serbia,,,,,,,,,,,,19.9,,,
Slovak Republic,,,,,,24.9,,,,,,,,,
South Africa,,2.73,,,,,,,,,,,,,
Turkey,,,,,,9.91,6.18,8.13,5.42,5.55,5.1,9.46,4.93,,
Ukraine,,,25.8,,,,,17.8,30,14.4,,,20.3,,
Uruguay,,,,,14.3,17.7,11.5,16.8,16.7,,,18.3,16.9,18.1,
