country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,,,,,,6.04,,,,14.2,,,,,,,
Argentina,,,,,1.62,,,,1.33,1.4,1.21,0.493,0.73,,0.596,0.577,0.61,
Armenia,,,,,,,2.94,4.14,6.3,4.35,3.32,3.21,0.887,,,,,
Azerbaijan,,,,,,,,,,,,,,3.61,,,,
Bangladesh,,,,,,,,,4.32,,,,,,,,,
Belarus,,,,,,,0.957,1.17,0.934,,0.553,,,1.12,1.11,,,
Belize,,,,,,,,5.72,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,0.746,21.6,18.1,,
Bosnia and Herzegovina,,,,,,2.03,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,6.23,,,,
Brazil,,,,,6.22,,,7.16,,5.6,5.9,,,6.91,2.8,2.12,1.85,
Bulgaria,,,,,,13.3,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,1.22,,,,,,
Cameroon,,,,,,,,,,,,,0.937,,,,,
Cape Verde,,,,,,3.53,,,,,,,,,,,,
Chile,,,,,23.4,,,21.7,,0.597,,20.5,,24.3,,22.3,,
Comoros,,,0.154,,,,,,,,,,,,,,,
Costa Rica,,,,,,,21.2,25.3,19.8,21.8,21.8,,23.1,24.5,25.4,25.9,,
Cote d'Ivoire,0.43,,,,,,,,,,,,,,,,,
Croatia,,,,,,,4.09,,5.79,5.35,,,5.12,,,,,
Djibouti,0.126,,,,,,,,,,4.33,,,,,,,
Ecuador,,,,,,,0.397,,0.246,0.26,0.257,,1.97,2.49,,1.5,,
El Salvador,,,,,,1.16,0.629,0.945,1.95,0.837,1.14,,1.75,1.17,1.11,1.34,,
Eswatini,,,,,,,,,,,,,,,2.8,,,
Georgia,,,,,,,,,,0.326,,,,,,,,
Ghana,,,,1.3,,,,,,,11.3,,,,,,,
Guatemala,,,,,,,,,,,,,3.04,,,,,
Honduras,,,,,,,0.0816,,0.889,1.9,,,,,,,,
Hungary,,,,,,9.87,,,,,,,,,,,,
India,,,3.56,,,,,4.44,,,,,,,,,,
Indonesia,,,,,,,,1.44,,4.05,3.43,,4.21,5.44,,7.76,,
Iraq,,,,,0.572,,,,,,2.88,,,,,,,
Jamaica,4.49,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,12.5,,,,,
Kyrgyz Republic,,,,,,,,,,23.9,21.1,25.8,,,,,,
Latvia,,,,,,,7.69,9.84,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,1.58,,
Liberia,,,,,,10.4,,,,,,,,,,,,
Lithuania,,,,,,,2.23,,,,,,,,,,,
Madagascar,,,,,,,,,5.7,,,,,,,,,
Mauritius,,,,,1.36,,,,,,2.16,,,,,,,
Moldova,,,,,,,,,2.5,,1.55,0.916,,,,,,
Mongolia,,,,,,5.27,,5.91,4.09,,6.12,,5.38,,6.49,,,
Montenegro,,,,,,,,,,3.96,3.54,2.19,3.61,,,,,
Morocco,,,,,,,,8.3,,,,,,,,,,
Mozambique,,,,,,,,,,,,,1.2,,,,,
Myanmar,,,,,,,,2.34,,,,,,,,,,
Namibia,,,,,,,,,,,,,,2.83,,,,
Nicaragua,,,,,,,,3.58,,,,,7.41,,,,,
Panama,,,,,,,15.4,0.942,1.24,0.767,0.65,,0.835,0.698,1.11,1.13,1.28,
Peru,,,,,,,,,,,,0.71,,,,,,
Poland,,,,24.5,21,16.1,12.5,14.2,3.48,2.59,2.77,,,1.79,,,,
Romania,,,,,,,1.52,,,3,2.28,,,,,,,
Russia,,,,,,0.74,,,,,,,3.26,2.81,2.86,2.55,,
Rwanda,,,,33.5,,,,,6.27,,,1.45,,,,,,
Senegal,,,,,,,,,,2.08,,,,,,,,
Serbia,,,,,,,,,,,,,,1.61,,,,
Slovak Republic,,,,,,,,5.72,,,,,,,,,,
South Africa,,,,0.867,,,,,,,,,,,,,,
Tanzania,,,,,,,,,4.93,,6.13,,0.984,,,,,
Turkey,,,,,,,,1.14,1.04,0.853,0.841,0.828,1.28,1.48,1.34,,,
Ukraine,,,,,6.04,,,,,3.45,3.73,3.2,,,4.07,,,
Uruguay,,,,,,,1.65,2.1,1.95,2.08,2.3,,,3,2.91,2.63,,
Vietnam,,,,,6.09,,,,18.4,,14.2,,8.98,,,,,
Yemen,,,,0.0661,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,1.19,,1.54
