country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,,,,,,6.63,,,,15.1,,,,,,,
Argentina,,,,,1.78,,,,1.25,0.873,1.58,0.499,0.58,,0.94,0.78,0.625,
Armenia,,,,,,,3.66,4.9,5.57,3.52,3.49,3.44,1.39,,,,,
Azerbaijan,,,,,,,,,,,,,,3.77,,,,
Bangladesh,,,,,,,,,4.25,,,,,,,,,
Belarus,,,,,,,0.73,0.785,0.793,,0.318,,,0.337,0.578,,,
Belize,,,,,,,,6.31,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,1.11,20.5,17.6,,
Bosnia and Herzegovina,,,,,,1.63,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,7.9,,,,
Brazil,,,,,7.65,,,8.52,,6.55,6.89,,,7.86,3.65,2.98,2.79,
Bulgaria,,,,,,11.2,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,0.184,,,,,,
Cameroon,,,,,,,,,,,,,0.477,,,,,
Cape Verde,,,,,,2.56,,,,,,,,,,,,
Chile,,,,,22.6,,,19.8,,0.9,,19.2,,24.4,,21,,
Comoros,,,0.0518,,,,,,,,,,,,,,,
Costa Rica,,,,,,,23.8,27.7,23.4,24.1,23,,25.7,26.8,30.2,28.8,,
Cote d'Ivoire,0.0803,,,,,,,,,,,,,,,,,
Croatia,,,,,,,4.18,,6.22,7,,,5.6,,,,,
Djibouti,0.135,,,,,,,,,,5.24,,,,,,,
Ecuador,,,,,,,0.804,,0.28,0.402,0.19,,1.84,2.4,,1.54,,
El Salvador,,,,,,1.38,0.581,1.09,2.14,1.17,1.56,,2.36,1.17,1.48,1.36,,
Eswatini,,,,,,,,,,,,,,,4.74,,,
Georgia,,,,,,,,,,0.309,,,,,,,,
Ghana,,,,0.958,,,,,,,11.1,,,,,,,
Guatemala,,,,,,,,,,,,,2.33,,,,,
Honduras,,,,,,,0.0906,,0.892,1.81,,,,,,,,
Hungary,,,,,,6.3,,,,,,,,,,,,
India,,,2.57,,,,,3.38,,,,,,,,,,
Indonesia,,,,,,,,1.64,,4.58,3.93,,4.63,6.15,,7.89,,
Iraq,,,,,0.27,,,,,,3.06,,,,,,,
Jamaica,6.28,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,10.6,,,,,
Kyrgyz Republic,,,,,,,,,,23.7,25.2,25.8,,,,,,
Latvia,,,,,,,9,8.93,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,1.75,,
Liberia,,,,,,14.9,,,,,,,,,,,,
Lithuania,,,,,,,3.74,,,,,,,,,,,
Madagascar,,,,,,,,,3.26,,,,,,,,,
Mauritius,,,,,1.5,,,,,,1.84,,,,,,,
Moldova,,,,,,,,,1.25,,1.66,1.33,,,,,,
Mongolia,,,,,,4.67,,5.01,3.99,,5.99,,6.45,,6.64,,,
Montenegro,,,,,,,,,,4.95,1.49,3.75,1.01,,,,,
Morocco,,,,,,,,10.5,,,,,,,,,,
Mozambique,,,,,,,,,,,,,0.659,,,,,
Myanmar,,,,,,,,1.41,,,,,,,,,,
Namibia,,,,,,,,,,,,,,4.33,,,,
Nicaragua,,,,,,,,4.74,,,,,6.36,,,,,
Panama,,,,,,,15.6,0.918,1.25,1.11,0.746,,1.12,1.26,2.24,1.77,1.67,
Peru,,,,,,,,,,,,0.947,,,,,,
Poland,,,,21.7,18.4,13.7,10.7,12.5,3.51,2.81,2.93,,,1.86,,,,
Romania,,,,,,,1.71,,,4.26,3.18,,,,,,,
Russia,,,,,,0.55,,,,,,,1.71,2.07,1.9,2.06,,
Rwanda,,,,32.4,,,,,6.89,,,1.7,,,,,,
Senegal,,,,,,,,,,2.2,,,,,,,,
Serbia,,,,,,,,,,,,,,1.74,,,,
Slovak Republic,,,,,,,,3.84,,,,,,,,,,
South Africa,,,,0.985,,,,,,,,,,,,,,
Tanzania,,,,,,,,,3.38,,5.78,,1.63,,,,,
Turkey,,,,,,,,1,1.47,0.884,0.904,1.02,1.77,1.63,1.71,,,
Ukraine,,,,,4.52,,,,,2.73,2.77,3.38,,,4.07,,,
Uruguay,,,,,,,1.87,2.41,1.95,2.24,2.37,,,3.29,3.27,3.21,,
Vietnam,,,,,2.51,,,,16.2,,11.8,,6.03,,,,,
Yemen,,,,0.0688,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,0.867,,6.46
