country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,27.6,,,,,,,,,,,,
Albania,,,,,,,,,,,5.86,,,,6.02,,,,,,,
Argentina,,,,,,,,,12.7,,,,11,11.3,10.5,11.3,15.3,,13.2,10.5,9.62,
Armenia,,,,,,,,,,,15.2,17,18.4,15.5,18.2,17.1,17,15.9,15.6,17.4,,
Azerbaijan,,,,,,,,,,,,,,,,,,6.08,,,,
Bangladesh,,,,,,,,19.7,,,,,4,,,,,,4.7,,,
Belarus,,,,,,,,,,,6.83,7.48,7.16,,8.15,11.1,12.8,12.8,42.2,,,
Belize,,,,,,,,,,,,8.62,,,,,,,,,,
Bhutan,,,,,,,,,,2.1,,,,,,,,,,,,
Bolivia,,,,,,,,,7.73,7.51,10.9,10.6,,8,7.76,,7.62,7.24,6.93,9,,
Bosnia and Herzegovina,,,,,,,,,,17.1,,,,,,,,13.8,,,,
Botswana,,,,,,,,,,,,9.53,,,,,,21.1,,,,
Brazil,,,,,,,,,,,,9.43,,8.3,9.1,,,17.3,19.1,20,20.4,
Bulgaria,,,,,,,,,,13,,,,,,,,,,,,
Burkina Faso,,,,,,50.2,,,,,,,,,,,5.5,,,,,
Cameroon,,,,,,,,,,18.4,,,,,,,2.61,,,,,
Cape Verde,,,,,,,,,,7.05,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,10.5,,,,,,,,
Chile,,,,,,,,,4.4,,,7.2,,7.34,,7.66,,5.38,,8.54,,
China,,,,,,,,,,,,,,,,2.34,,,,,,
Colombia,,,,,,,,,,,,,5.96,5.09,5.17,,5.1,7.68,6.66,6.38,6.22,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,37.5,,,,,,,
"Congo, Rep.",,,,,,,,39.8,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,21.9,,12,11.7,12.4,,13.3,12.9,13.5,14.5,,
Cote d'Ivoire,,,,,,,,,,,4.55,,,,,,,14.7,,,,
Croatia,,,,,,,,,,,7.75,,8.92,12.7,,,13.2,,,,,
Djibouti,,,,,,,,,,,,,,,11.9,,,,,,,
Dominica,,,,,21,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,5.29,4.94,4.96,4.81,4.49,5.25,5.7,5.25,1.45,1.33,,,
Ecuador,,,,,,,,,,,10.5,,11.4,11.7,10.4,,10.8,11,12.6,11,,
Egypt,,,,,,,,,,,3.56,,,,,,,,,,,
El Salvador,,,,,,,,,,,6.01,5.98,6.14,6.68,5.88,,7.39,,,,,
Eswatini,,,,,,,,,,,,15.7,,,,,,,6.46,,,
Ethiopia,,,,,,,,,,,,,,,,,,9.52,,,,
Fiji,,,,,,,,,,,14,,,,,5.67,,,,,,
Gabon,,,,,,,,19.6,,,,,,,,,,,,,,
Gambia,3.99,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,29.2,,,,,29.5,,,
Ghana,,,,,,,,0.704,,,,,,,,,,,4.8,,,
Guatemala,,,,,,,,,4.62,,,,,3.38,,,,,,,,
Haiti,,,,0.568,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,2.77,20.2,2.78,4.21,,5.65,,5.49,3.84,1.9,,
Hungary,,,,,,,,,,13.9,,,,,,,,,,,,
India,,,,,,,,,,,,,,4.62,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,15.9,,3.17,,
Iraq,,,,,,,,,2.29,,,,,,2.75,,,,,,,
Jamaica,,,,,0.128,,,,,,,,4.63,,,,,,,,,
Jordan,,,,,,,,,6.68,,,,3.98,,,,,,,,,
Kazakhstan,,,,,,,,,,3.25,,,6.29,,,,35.7,12.6,,,,
Kenya,,,,,,,,8.01,,,,,,,,,,5.99,,,,
Kiribati,,,,,,,,,5.62,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,9.21,,,,,8.41,10,11.2,,,,,,
Latvia,,,,,,,,,,,8.03,7.08,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,10.8,,
Liberia,,,,,,,,,,,,,,,,,9.49,,2.99,,,
Lithuania,,,,,,,,,,,6.5,,,,,,,,,,,
