country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,6.75,,,,,,,,,,,,
Albania,,,,,,,,,,,15,,,,27.6,,,,,,,
Argentina,,,,,,,,,20.9,,,,40,20,20.8,46.4,50.8,,52.4,48.7,50.1,
Armenia,,,,,,,,,,,34.1,32.3,32.4,31.8,31.1,31.3,32.3,33.2,31.6,37.5,,
Azerbaijan,,,,,,,,,,,,,,,,,,17.4,,,,
Bangladesh,,,,,,,,29.2,,,,,21.6,,,,,,24.3,,,
Belarus,,,,,,,,,,,29.5,27.6,29.2,,28.6,23.8,26.4,24.5,27.1,,,
Belize,,,,,,,,,,,,18.7,,,,,,,,,,
Bhutan,,,,,,,,,,15.3,,,,,,,,,,,,
Bolivia,,,,,,,,,8.14,9.13,24.2,24.5,,25.4,26.6,,24.6,25.2,20.6,25.1,,
Bosnia and Herzegovina,,,,,,,,,,13.3,,,,,,,,16.5,,,,
Botswana,,,,,,,,,,,,12.8,,,,,,7.5,,,,
Brazil,,,,,,,,,,,,16.4,,15.3,15.6,,,31.6,33.6,33.8,33.1,
Bulgaria,,,,,,,,,,28.1,,,,,,,,,,,,
Burkina Faso,,,,,,2.71,,,,,,,,,,,1.87,,,,,
Cameroon,,,,,,,,,,0.813,,,,,,,0,,,,,
Cape Verde,,,,,,,,,,14.8,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,1.38,,,,,,,,
Chile,,,,,,,,,28.7,,,24.2,,23.7,,21.5,,27.8,,18.5,,
China,,,,,,,,,,,,,,,,24.2,,,,,,
Colombia,,,,,,,,,,,,,23.5,19.5,21.3,,33.1,34.1,37.2,37.3,38.5,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,3.5,,,,,,,
"Congo, Rep.",,,,,,,,19.7,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,27.5,,25.1,24.7,26.9,,31.1,29,29.1,31.7,,
Cote d'Ivoire,,,,,,,,,,,1.4,,,,,,,1.2,,,,
Croatia,,,,,,,,,,,41.4,,41.2,47.4,,,39,,,,,
Djibouti,,,,,,,,,,,,,,,53.8,,,,,,,
Dominica,,,,,2.44,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,32.6,30.6,25.7,25.5,25.1,22.1,20,22.5,21.4,19.5,,,
Ecuador,,,,,,,,,,,29.6,,27.9,31.2,31.8,,26.9,28.4,35.7,31.3,,
Egypt,,,,,,,,,,,17.6,,,,,,,,,,,
El Salvador,,,,,,,,,,,49.4,45.9,42.7,30.5,35.4,,28.2,,,,,
Eswatini,,,,,,,,,,,,13.7,,,,,,,23,,,
Ethiopia,,,,,,,,,,,,,,,,,,11.7,,,,
Fiji,,,,,,,,,,,13.7,,,,,17.2,,,,,,
Gabon,,,,,,,,4.71,,,,,,,,,,,,,,
Gambia,2.05,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,20.4,,,,,44,,,
