country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,15.3,,,,8.82,,,,,,,,
Albania,,,,,,,,,,,32.7,,,,19.1,,,,,,,
Argentina,,,,,,,,,11.4,,,,9.39,17.1,16.3,19.8,16.8,,15.8,21.3,23.6,
Armenia,,,,,,,,,,,22.4,19.6,23.2,20.2,25,24.6,28.4,29.5,33.4,35.1,,
Azerbaijan,,,,,,,,,,,,,,,,,,26.9,,,,
Bangladesh,,,,,,,,12.4,,,,,13.1,,,,,,40.4,,,
Belarus,,,,,,,,,,,59.9,58.6,58.3,,57.3,54.1,55.2,52.7,54.1,,,
Belize,,,,,,,,,,,,16.3,,,,,,,,,,
Bhutan,,,,,,,,,,1.01,,,,,2.25,,,,,,,
Bolivia,,,,,,,,,11.7,54.6,71.4,77.9,,74.7,75.2,,76.9,75.5,76.9,76.2,,
Bosnia and Herzegovina,,,,,,,,,,20.5,,,,,,,,17.4,,,,
Botswana,,,,,,,,,,,,73.8,,,,,,52.2,,,,
Brazil,,,,,,,,,25.3,,,17.6,,18.7,19.5,,,23.7,23.2,22.1,22.3,
Bulgaria,,,,,,,,,,39.5,,,,,,,,,,,,
Burkina Faso,,,,,,34.3,,,,,,,,,,,2.29,,,,,
Cameroon,,,,,,,,,,1.37,,,,,,,0.874,,,,,
Cape Verde,,,,,,,,,,21.9,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,0.572,,,,,,,,
Chile,,,,,,,,,76.9,,,77.9,,77.4,,74.7,,71.6,,82.6,,
China,,,,,,,,,,,,,,,,43.8,,,,,,
Colombia,,,,,,,,,,,,,44.8,44,41.7,,59.3,26.4,23.5,22.5,21.1,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,9.99,,,,,,,
"Congo, Rep.",,,,,,,,0.918,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,54.3,52.6,48.8,48.8,47.5,,45.8,52.4,53.9,54.4,,
Cote d'Ivoire,,,,,5.78,,,,,,26.7,,,,,,,27.2,,,,
Croatia,,,,,,,,,,,23.3,,24.6,20.5,,,27.5,,,,,
Djibouti,,,,,2.82,,,,,,,,,,9.53,,,,,,,
Dominica,,,,,8.01,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,10.4,19.1,25.5,28.4,26.6,31.5,28.8,30,26.2,55.2,,,
Ecuador,,,,,,,,,,,57.9,,64.7,37.5,68,,71.3,69.3,67.1,68.5,,
Egypt,,,,,,,,,,,44.9,,,,,,,,,,,
El Salvador,,,,,,,,,,29.2,32.1,42.5,57.5,54,56.2,,53.1,88.3,88.6,83.5,,
Eswatini,,,44.4,,,,,,,,,51.6,,,,,,,80.4,,,
Ethiopia,,,,,,,0.514,,,,,,13.2,,,,,21.1,,,,
Fiji,,,,,,,,,,,9.55,,,,,30.3,,,,,,
Gabon,,,,,,,,44.7,,,,,,,,,,,,,,
Gambia,2.87,,,,,,,,,,,,7.08,,,,,,,,,
Georgia,,,,,,,,,,,,,,64.6,,,,,13.6,,,
Ghana,,,,,,,,0.85,,,,,,,1.38,,,,18.1,,,
Guatemala,,,,,,,,,47.1,,,,,61.1,,,59.1,,,,,
Guinea,,,,,,,,,,,,,,,1.71,,,,,,,
Haiti,,,,0.753,,,,,,,,,,,19.1,,,,,,,
Honduras,,,,,,,,,,,49.8,49,51.2,49.2,,54.2,,44.7,32.7,41.3,,
Hungary,,,,,,,,,,59.5,,,,,,,,,,,,
India,,,,,,,24,,,,,17.2,,93.2,,,,,,,,
Indonesia,,,,,,,,,,,,40.9,,51.3,53.8,,57.2,48.7,,42.4,,
Iraq,,,,,,,,,80,,,,,,75.8,,,,,,,
Jamaica,,,,,26.3,,,,,,,,55,,,,,,,,,
Jordan,,,,,,,,,80.7,,,,65.7,,,,,,,,,
Kazakhstan,,,,,,,,,,29.1,,,33.6,,,,66.1,30.6,,,,
Kenya,,,,,,,,20,,,,,,,,,,26.4,,,,
Kiribati,,,,,,,,,4.57,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,8.11,,,,,8.47,7.3,7.18,,,,,,
Latvia,,,,,,,,,,,39,50.8,,,,,,,,,,
Lebanon,,,,,,,4.83,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,6.32,,,,,,,70.6,,
Liberia,,,,,,,,,,56.6,,,,,,,7.33,,14,,,
Lithuania,,,,,,,,,,,58.7,,,,,,,,,,,
Malawi,,,,,,,50.8,,,,,,19.8,,,41.7,,,41.2,,,
Malaysia,,,,,,,,,,,82.8,,,,79.2,,88.8,,75.7,,,
Maldives,,,,,,,1.92,,,,,26.6,,,,,,,24.3,,,
Mauritania,,,,,,,,,,,33.5,,,,,,45.2,,,,,
Mauritius,,,,,,,,,40.6,,,,,,44.9,,,,,,,
Mexico,,,,,,,,,,,15.6,,32,,37,,32.5,,29.2,,27.5,
"Micronesia, Fed. Sts.",,,6.25,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,33.8,,29.3,23.8,,,,,,
Mongolia,,,,,,,,,,83.2,,83.9,94.7,99.7,99.8,,85.7,,86,,,
Montenegro,,,,,,,,,,,,,,5.09,8.57,10.4,8.08,,,,,
Morocco,,,,,,,,,,,,36.6,,,,,,,,,,
Mozambique,,,,,,,,,,,5.17,,,,,,1.58,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,8.73,,
