country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,6.69,,,,4.37,,,,,,,,
Albania,,,,,,,,,,,18.1,,,,10,,,,,,,
Argentina,,,,,,,,,1.05,,,,1.06,8.52,8.92,1.51,1.91,,1.83,2.74,2.07,
Armenia,,,,,,,,,,,14.5,13.7,16.7,17.1,17.7,17.6,19.6,18.6,25.8,23.2,,
Azerbaijan,,,,,,,,,,,,,,,,,,24.5,,,,
Bangladesh,,,,,,,,3.52,,,,,4.76,,,,,,23.5,,,
Belarus,,,,,,,,,,,48.6,46.4,47.2,,44.4,41.9,45.1,44.8,46.1,,,
Belize,,,,,,,,,,,,11.9,,,,,,,,,,
Bhutan,,,,,,,,,,0.606,,,,,1.4,,,,,,,
Bolivia,,,,,,,,,15.4,34.3,48.6,57.9,,55.5,54.2,,55.4,57.6,52.3,52.5,,
Bosnia and Herzegovina,,,,,,,,,,18.2,,,,,,,,11,,,,
Botswana,,,,,,,,,,,,42.3,,,,,,26.6,,,,
Brazil,,,,,,,,,1.39,,,12.7,,13.1,13.7,,,1.92,1.61,1.19,1.23,
Bulgaria,,,,,,,,,,24.2,,,,,,,,,,,,
Burkina Faso,,,,,,38.8,,,,,,,,,,,2.8,,,,,
Cameroon,,,,,,,,,,2.76,,,,,,,2.35,,,,,
Cape Verde,,,,,,,,,,22.5,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,0.795,,,,,,,,
Chile,,,,,,,,,45.4,,,46.1,,43.1,,37.6,,37.2,,53.9,,
China,,,,,,,,,,,,,,,,29.3,,,,,,
Colombia,,,,,,,,,,,,,17.4,14.8,15.5,,24.1,3.04,2.42,2.42,2.1,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,17.7,,,,,,,
"Congo, Rep.",,,,,,,,1.13,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,20.5,20.5,14.6,14.2,12.9,,10.1,14.4,14.5,15.4,,
Cote d'Ivoire,,,,,8.95,,,,,,16,,,,,,,11.4,,,,
Croatia,,,,,,,,,,,10.7,,8.7,5.58,,,10.4,,,,,
Djibouti,,,,,2.43,,,,,,,,,,1.57,,,,,,,
Dominica,,,,,3.04,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,2.27,6.07,7.1,11.1,8.78,12.1,12.1,11.8,11.5,19.2,,,
Ecuador,,,,,,,,,,,18.4,,27.3,13.7,33.7,,33.3,31.2,35.3,30.3,,
Egypt,,,,,,,,,,,30.2,,,,,,,,,,,
El Salvador,,,,,,,,,,6.88,9.16,12.7,25.2,21.9,24.2,,20.2,75.4,75.8,66.1,,
Eswatini,,,33.7,,,,,,,,,22.6,,,,,,,44.8,,,
Ethiopia,,,,,,,0.379,,,,,,8.18,,,,,12.7,,,,
Fiji,,,,,,,,,,,10,,,,,15.7,,,,,,
Gabon,,,,,,,,28.3,,,,,,,,,,,,,,
Gambia,4.45,,,,,,,,,,,,6.96,,,,,,,,,
Georgia,,,,,,,,,,,,,,52.8,,,,,6.27,,,
Ghana,,,,,,,,1.16,,,,,,,1.45,,,,4.15,,,
Guatemala,,,,,,,,,17.1,,,,,26.4,,,28.1,,,,,
Guinea,,,,,,,,,,,,,,,2.39,,,,,,,
Haiti,,,,1.07,,,,,,,,,,,15.3,,,,,,,
Honduras,,,,,,,,,,,28.1,36.2,28.8,29,,27.9,,20.1,12.9,15.5,,
Hungary,,,,,,,,,,42.5,,,,,,,,,,,,
India,,,,,,,15.5,,,,,9.57,,90.3,,,,,,,,
Indonesia,,,,,,,,,,,,10.1,,14.9,16,,19.3,13.7,,11.4,,
Iraq,,,,,,,,,68.7,,,,,,61.5,,,,,,,
Jamaica,,,,,7.06,,,,,,,,31.5,,,,,,,,,
Jordan,,,,,,,,,62,,,,31.8,,,,,,,,,
Kazakhstan,,,,,,,,,,21.3,,,25.5,,,,59.4,19.5,,,,
Kenya,,,,,,,,10.3,,,,,,,,,,19.5,,,,
Kiribati,,,,,,,,,3.24,,,,,,,,,,,,,
