country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,15.7,,,,,,,,,,,,
Albania,,,,,,,,,,,29.2,,,,33.2,,,,,,,
Argentina,,,,,,,,,42.2,,,,39.7,32.5,35.7,42.8,41.1,,41.7,44.1,43.2,
Armenia,,,,,,,,,,,26.9,33.3,33.6,33.3,34.2,31.7,32.6,33.3,33.6,35.6,,
Azerbaijan,,,,,,,,,,,,,,,,,,0.243,,,,
Bangladesh,,,,,,,,49.5,,,,,34.4,,,,,,21.8,,,
Belarus,,,,,,,,,,,52.6,53.6,53.9,,54.7,61.1,59.3,61.3,63.1,,,
Belize,,,,,,,,,,,,25.1,,,,,,,,,,
Benin,,,,,,39.5,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,27.6,,,,,,,
Bolivia,,,,,,,,,33.9,35.1,33.8,36.5,,36.7,36.1,,34.4,8.35,36.2,38.6,,
Bosnia and Herzegovina,,,,,,,,,,16,,,,,,,,34.1,,,,
Botswana,,,,,,,,,,,,,,,,,,26.8,,,,
Brazil,,,,,,,,,46.7,,,47.5,,48.1,46.5,,,48.4,42.9,43.3,43.5,
Bulgaria,,,,,,,,,,36.4,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,22.5,,,,,
Cambodia,,,,,,,,,,,6.39,,,,,12.5,,,,,,
Cameroon,,,,,,,,,,29.9,,,,,,,3.29,,,,,
Cape Verde,,,,,,,,,,40.6,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,26.9,,,,,,,,
Chile,,,,,,,,,27.6,,,25.2,,26.6,,30,,23.4,,26.5,,
China,,,,,,,,,,,,,,,,55.3,,,,,,
Colombia,,,,,,,,,,,,,28,26.2,29.6,,38.2,38.6,40.6,41.6,41.6,
Comoros,,,,,,,13.2,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,17,,,,,,,,27.3,,,,,,,
"Congo, Rep.",,,,,,,,62.9,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,40.1,,34.1,32,28.6,,32.7,34.6,37.7,37,,
Cote d'Ivoire,,,,,14.4,,,,,,32.3,,,,,,,49.6,,,,
Croatia,,,,,,,,,,,36.4,,42.8,47.6,,,47.2,,,,,
Djibouti,,,,,,,,,,,,,,,34.9,,,,,,,
Dominica,,,,,29,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,23.2,27.8,26.4,24.6,25,27.5,24.7,27,7.48,6.07,,,
Ecuador,,,,,,,,,,,34.2,,36.9,40.5,40,,29.9,31.1,41.8,32,,
Egypt,,,,,,,,,,,39.2,,,,,,,,,,,
El Salvador,,,,,,,,,,28.7,30.6,31.7,32.3,30.2,33.7,,30.5,32.3,32.1,30.3,,
Eswatini,,,,,,,,,,,,,,,,,,,32.1,,,
Ethiopia,,,,,,,,,,,,,,,,,,20.9,,,,
Fiji,,,,,,,,,,,42.8,,,,,21,,,,,,
Gabon,,,,,,,,20.1,,,,,,,,,,,,,,
Gambia,11,,,,,,,,,,,,5.22,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,33.7,,,
Ghana,,,,,,,,,,,,,,,96.4,,,,,,,
Guatemala,,,,,,,,,15.5,,,,,6.24,,,22.3,,,,,
Guinea,,,,,,,,,,,,,,,10.3,,,,,,,
Haiti,,,,,,,,,,,,,,,34.6,,,,,,,
