country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,3.66,,,,,,,,,,,,
Albania,,,,,,,,,,,13,,,,12.2,,,,,,,
Argentina,,,,,,,,,2.4,,,,4.52,10,9.63,3.86,3.55,,3.44,3.48,3.18,
Armenia,,,,,,,,,,,17.4,14.5,14.8,14.5,15.6,14.8,15.9,15.2,16.3,14.6,,
Azerbaijan,,,,,,,,,,,,,,,,,,15.9,,,,
Bangladesh,,,,,,,,0.0581,,,,,0.37,,,,,,2.1,,,
Belarus,,,,,,,,,,,12.2,12.5,11.3,,12.2,14.4,11.5,10.8,10.2,,,
Belize,,,,,,,,,,,,19,,,,,,,,,,
Benin,,,,,,2.47,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,1.31,,,,,,,
Bolivia,,,,,,,,,0,0.179,0.0254,0,,0.43,0.444,,0.242,3.87,0.245,0.175,,
Bosnia and Herzegovina,,,,,,,,,,11.8,,,,,,,,11.1,,,,
Botswana,,,,,,,,,,,,,,,,,,4.19,,,,
Brazil,,,,,,,,,1.5,,,1.4,,1.71,1.79,,,1.8,1.66,1.75,1.63,
Bulgaria,,,,,,,,,,15.5,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,1.44,,,,,
Cambodia,,,,,,,,,,,1.49,,,,,0.1,,,,,,
Cameroon,,,,,,,,,,1.89,,,,,,,0.901,,,,,
Cape Verde,,,,,,,,,,3.32,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,1.6,,,,,,,,
Chile,,,,,,,,,4.82,,,5,,5.11,,4.56,,2.38,,3.83,,
China,,,,,,,,,,,,,,,,2.16,,,,,,
Colombia,,,,,,,,,,,,,0.448,0.253,0.214,,0.207,0.294,0.239,0.223,0.247,
Comoros,,,,,,,0.538,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,1.75,,,,,,,,3.06,,,,,,,
"Congo, Rep.",,,,,,,,3.64,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,3.41,,1.53,1.69,1.36,,1.64,1.6,1.46,1.86,,
Cote d'Ivoire,,,,,5.75,,,,,,4.02,,,,,,,6.78,,,,
Croatia,,,,,,,,,,,12.9,,11,10.3,,,9.4,,,,,
Djibouti,,,,,,,,,,,,,,,4.48,,,,,,,
Dominica,,,,,1.56,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,2.59,3.77,2.38,3.07,2.96,2.19,2.49,2.7,2.4,2.64,,,
Ecuador,,,,,,,,,,,1.06,,0.79,1.06,1.41,,1.26,1.42,1.81,1.27,,
Egypt,,,,,,,,,,,5.69,,,,,,,,,,,
El Salvador,,,,,,,,,,0.964,1.96,0.819,0.828,1.05,0.901,,0.707,1.58,0.805,0.701,,
Eswatini,,,,,,,,,,,,,,,,,,,2.47,,,
Ethiopia,,,,,,,,,,,,,,,,,,1.83,,,,
Fiji,,,,,,,,,,,6.73,,,,,3.48,,,,,,
Gabon,,,,,,,,8.64,,,,,,,,,,,,,,
Gambia,1.85,,,,,,,,,,,,3.35,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,14.5,,,
Ghana,,,,,,,,,,,,,,,0.678,,,,,,,
Guatemala,,,,,,,,,0.287,,,,,0.644,,,0.985,,,,,
Guinea,,,,,,,,,,,,,,,4.1,,,,,,,
Haiti,,,,,,,,,,,,,,,0,,,,,,,
Honduras,,,,,,,,,,,0.593,0.0347,0.185,1.24,,0.439,,0.384,0.199,0.11,,
Hungary,,,,,,,,,,10.8,,,,,,,,,,,,
India,,,,,,,,,,,,,,21.2,,,,,,,,
Iraq,,,,,,,,,10.2,,,,,,8.02,,,,,,,
Jamaica,,,,,5.24,,,,,,,,3.11,,,,,,,,,
Jordan,,,,,,,,,10.2,,,,9.96,,,,,,,,,
Kazakhstan,,,,,,,,,,10.6,,,10.6,,,,9.9,8.39,,,,
Kenya,,,,,,,,1.45,,,,,,,,,,2.15,,,,
Kyrgyz Republic,,,,,,,,,10.2,,,,,12.5,13.8,14.9,,,,,,
Lao,,,,,,,,,,2.3,,,,,,,,,,,,
Latvia,,,,,,,,,,,16.3,14.4,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,0.727,,
Liberia,,,,,,,,,,0.0437,,,,,,,,,17.3,,,
Lithuania,,,,,,,,,,,19.3,,,,,,,,,,,
Malawi,,,,,,,1.46,,,,,,0.575,,,0.456,,,0.672,,,
Malaysia,,,,,,,,,,,3.69,,,,1.91,,3.78,,3.67,,,
Maldives,,,,,,,3.68,,,,,9.07,,,,,,,10.8,,,
Mali,,,,,,,,,,,,0.396,,,,,,,,,,
Marshall Islands,,0.766,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,9.93,,,,,,,,,,,
Mauritius,,,,,,,,,6.22,,,,,,4.46,,,,,,,
Mexico,,,,,,,,,,,1.19,,1.43,,1.11,,1.06,,1.17,,1.47,
"Micronesia, Fed. Sts.",,,1.37,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,14.6,,15.2,14.2,,,,,,
Mongolia,,,,,,,,,,11.2,,12.2,12.7,11.5,11.8,,10.9,,9.95,,,
Montenegro,,,,,,,,,,,,,,7.06,6.84,6.41,9.1,,,,,
Mozambique,,,,,,,,,,,5.29,,,,,,2.58,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,5.15,,
Namibia,,,,,,,,,,,,,,,,,,3.71,,,,
Nepal,,,,,,,,,,,,,0.465,,,,,,,,,
Nicaragua,,,,,,,,4.25,,,,1.67,,,,,2.47,,,,,
Niger,,,,,,,,,,,,,,0.027,,,0.0066,,,,,
Nigeria,,,,,,,,,,,,,,,0.544,,,1.98,,,,
Pakistan,,,,,,,,,,3.21,,4.15,,,,2.12,,1.65,,,,
Palau,,,,,,,,,7.13,,,,,,,,,,,,,
Panama,,,,,,,,,,,0.479,0.752,0.761,1.02,0.909,0.783,1.25,0.962,0.786,1.47,1.46,
Papua New Guinea,,,,,,,,,,,,4.21,,,,,,,,,,
Paraguay,,,,,,,,,,0.139,0.016,0.116,0.46,0.475,0.763,0.176,0.335,0.264,0.114,0.513,,
Peru,,,,,,,,,,,0.116,0.227,0.4,0.447,0.865,0.425,0.608,0.653,0.642,0.577,,
Philippines,,,,,,,,,0.647,,,,,,,1.02,,1.06,,,,
Poland,,,,,,,,6.78,7.28,8.28,8.79,8.6,8.65,8.58,8.44,,,8.42,,,,
Romania,,,,,,,,,,,7.47,,,6.12,6.83,,,,,,,
Russia,,,,,,,,,,,,,,,,,8.46,8.05,8.49,8.42,,
Rwanda,,,,,,,,0,,,,,0.166,,,10.5,,,,,,
Samoa,,,,,,,,,,,11,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,0.227,,,,,,,,
Serbia,,,,,,,,,,9.43,,,9.38,,,9.42,,11.7,,,,
Slovak Republic,,,,,,,,,,,,6.24,,,,,,,,,,
Solomon Islands,,,,,,,,4.09,,,,,,,,,,,,,,
South Africa,,,,,,,,0.537,,,,,,,,,0.728,,,,,
Sri Lanka,,,,,,,,,1.53,,,2.46,,,1.98,,,,2.32,,,
Syria,,,,,,1.51,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,17.8,,,,,,,,
Tanzania,,,,,,,,,,,,,0,,2.59,,1.88,,,,,
Thailand,,,,,,,,,0.208,,,0.452,,0.192,,0.364,,,,,,
Timor-Leste,,,,,,,,,,,,,,4.87,,,,,,,,
Togo,,,,,,,,,,,,,,0,,,,,,,,
Tonga,,,,,,,,,,,,0,,,,,,,,,,
Turkey,,,,,,,2.42,3.2,3.85,3.2,4.06,4.64,4.17,3.98,5.53,5.41,5.6,4.52,4.93,,,
Uganda,,,,,,,,0,,,,0.0243,,,0.46,,,,,,,
Ukraine,,,,,,,,,13.2,,,,,14,13.9,13.8,,12.3,16.5,,,
Uruguay,,,,,,,,,,,2.55,2.46,2.41,2.79,3.39,,,3.05,3.25,3.16,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,12.1,
Vietnam,,,,,,,,,1.91,,,,1.08,,1.95,,1.62,,,,,
Yemen,,,,,,,,8.08,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,0.289,,,,,0.0371,,,,
Zimbabwe,,,,,,,,,,0.769,,,,1.05,,,,,,0.818,,5.7
