country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,0.539,,,,,,,,,,,,
Albania,,,,,,,,,,,45.9,,,,36.3,,,,,,,
Argentina,,,,,,,,,22.3,,,,29.6,29.3,29,30.6,31.4,,31.4,32.2,31.4,
Armenia,,,,,,,,,,,50,51.3,52.1,52.9,53.4,53,54.8,53.4,51.9,55.1,,
Azerbaijan,,,,,,,,,,,,,,,,,,50.6,,,,
Bangladesh,,,,,,,,1.65,,,,,1.5,,,,,,0.951,,,
Belarus,,,,,,,,,,,43.1,40.9,42.4,,47.9,48.7,47.1,49.7,50,,,
Belize,,,,,,,,,,,,28.2,,,,,,,,,,
Benin,,,,,,6.63,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,1.43,,,,,0.712,,,,,0.893,,
Bolivia,,,,,,,,,8.09,8.09,8.22,8.39,,8.36,8.55,,7.77,54.2,7.96,7.32,,
Bosnia and Herzegovina,,,,,,,,,,41.5,,,,,,,,40.2,,,,
Botswana,,,,,,,,,,,,,,,,,,3.77,,,,
Brazil,,,,,,,,,30.1,,,27.9,,28.3,28.3,,,30.5,29.6,30.3,30.9,
Bulgaria,,,,,,,,,,47.7,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,2.19,,,,,
Cambodia,,,,,,,,,,,2.65,,,,,1.87,,,,,,
Cameroon,,,,,,,,,,2.8,,,,,,,3.41,,,,,
Cape Verde,,,,,,,,,,6,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,2.48,,,,,,,,
Chile,,,,,,,,,31.9,,,41.3,,23.6,,44.4,,44.9,,45.7,,
China,,,,,,,,,,,,,,,,35.6,,,,,,
Colombia,,,,,,,,,,,,,9.93,9.61,8.9,,9.27,10.7,10.7,10.5,10.7,
Comoros,,,,,,,1.88,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,1.51,,,,,,,,1.6,,,,,,,
"Congo, Rep.",,,,,,,,8.91,,,,,,,,,,,,,,
