country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,0.164,,,,,,,,,,,,
Albania,,,,,,,,,,,48.4,,,,38.2,,,,,,,
Argentina,,,,,,,,,11.1,,,,22.9,28.9,27.7,22.1,23.2,,22.3,23.4,21.4,
Armenia,,,,,,,,,,,55.3,55.1,54.2,53.5,56.4,56.7,57,56.6,55.5,57.5,,
Azerbaijan,,,,,,,,,,,,,,,,,,57,,,,
Bangladesh,,,,,,,,0.102,,,,,0.272,,,,,,0.476,,,
Belarus,,,,,,,,,,,39.4,36.8,37.2,,42.5,49,39.4,40.7,39.1,,,
Belize,,,,,,,,,,,,29.4,,,,,,,,,,
Benin,,,,,,3.6,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,1.29,,,,,0.319,,,,,0.585,,
Bolivia,,,,,,,,,0.151,0.276,0.27,0.0799,,0.783,1.43,,0.584,61.7,0.836,0.502,,
Bosnia and Herzegovina,,,,,,,,,,36.9,,,,,,,,37.2,,,,
Botswana,,,,,,,,,,,,,,,,,,2.02,,,,
Brazil,,,,,,,,,11.6,,,8.27,,9.77,9.72,,,10.6,10.3,11,11,
Bulgaria,,,,,,,,,,48.2,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,0.244,,,,,
Cambodia,,,,,,,,,,,1.34,,,,,0.359,,,,,,
Cameroon,,,,,,,,,,0.963,,,,,,,0.912,,,,,
Cape Verde,,,,,,,,,,3.25,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,0.638,,,,,,,,
Chile,,,,,,,,,24.5,,,36.9,,15.6,,40.7,,41.9,,40.6,,
China,,,,,,,,,,,,,,,,33.9,,,,,,
Colombia,,,,,,,,,,,,,1.17,0.596,0.437,,0.589,0.773,0.655,0.622,0.628,
Comoros,,,,,,,0.771,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,0.59,,,,,,,,0.646,,,,,,,
"Congo, Rep.",,,,,,,,4.89,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,7.57,14.6,4.91,5.12,4.62,,5.83,4.84,5.25,7.09,,
Cote d'Ivoire,,,,,25.2,,,,,,2.28,,,,,,,5.43,,,,
Croatia,,,,,,,,,,,59.4,,58.1,54.3,,,52.8,,,,,
Djibouti,,,,,,,,,,,,,,,5.33,,,,,,,
Dominica,,,,,15.4,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,2.35,2.44,2.26,2.49,2.66,2.44,2.75,2.59,3.33,3.99,,,
Ecuador,,,,,,,,,,,2.08,,2.22,2.6,3.34,,3.45,4.17,4.58,3.62,,
Egypt,,,,,,,,,,,17.7,,,,,,,,,,,
El Salvador,,,,,,,,,,0.988,3.1,1.02,0.939,1.3,1.22,,1.06,1.71,1.07,0.831,,
Eswatini,,,,,,,,,,,,,,,,,,,1.37,,,
Ethiopia,,,,,,,,,,,,,,,,,,0.339,,,,
Fiji,,,,,,,,,,,5.45,,,,,4.57,,,,,,
Gabon,,,,,,,,11.5,,,,,,,,,,,,,,
Gambia,0.989,,,,,,,,,,,,0.452,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,60.9,,,
Ghana,,,,,,,,2.27,,,,,,,60.6,,,,49.3,,,
Guatemala,,,,,,,,,0.44,,,,,0.739,,,1.49,,,,,
Guinea,,,,,,,,,,,,,,,0.744,,,,,,,
Haiti,,,,,,,,,,,,,,,0,,,,,,,
Honduras,,,,,,,,,,,0.322,0.0332,0.224,0.768,,0.566,,0.322,0.322,0.163,,
Hungary,,,,,,,,,,49.9,,,,,,,,,,,,
India,,,,,,,,,,,,,,23.9,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,1.58,1.53,,2.14,,
Iraq,,,,,,,,,24.3,,,,,,20.1,,,,,,,
Jamaica,,,,,6.7,,,,,,,,1.93,,,,,,,,,
Jordan,,,,,,,,,20.5,,,,24.9,,,,,,,,,
Kazakhstan,,,,,,,,,,28.8,,,30.6,,,,1.07,26,,,,
Kenya,,,,,,,,0.488,,,,,,,,,,0.221,,,,
Kyrgyz Republic,,,,,,,,,32.7,,,,,40.8,46.2,42.9,,,,,,
Lao,,,,,,,,,,0.296,,,,,,,,,,,,
Latvia,,,,,,,,,,,53.4,46.8,,,,,,,,,,
Lebanon,,,,,,,23.8,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,0.256,,
Liberia,,,,,,,,,,0.0877,,,,,,,,,0.589,,,
Lithuania,,,,,,,,,,,52.6,,,,,,,,,,,
Malawi,,,,,,,0.397,,,,,,0.123,,,0.513,,,0.178,,,
Malaysia,,,,,,,,,,,3.65,,,,3.92,,4.21,,4.29,,,
Maldives,,,,,,,1.57,,,,,2.25,,,,,,,4.09,,,
Mali,,,,,,,,,,,,0.559,,,,,,,,,,
Marshall Islands,,10.2,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,10.4,,,,,,,,,,,
Mauritius,,,,,,,,,2.05,,,,,,13.6,,,,,,,
Mexico,,,,,,,,,,,18.4,,20.4,,16,,14.8,,3.63,,4.62,
"Micronesia, Fed. Sts.",,,7.5,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,41.8,,47.3,43.7,,,,,,
Mongolia,,,,,,,,,,41.4,,43.4,44.5,38.7,45,,43.6,,47.4,,,
Montenegro,,,,,,,,,,,,,,41.2,43.6,38.9,51.9,,,,,
Mozambique,,,,,,,,,,,0.562,,,,,,1.14,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,1.6,,
Namibia,,,,,,,,,,,,0.434,,,,,,2.65,,,,
Nepal,,,,,,,,,,,,,0.569,,,,,,,,,
Nicaragua,,,,,,,,13.3,,,,1.44,,,,,3.12,,,,,
Niger,,,,,,,,,,,,,,0.231,,,0.00356,,,,,
Nigeria,,,,,,,,,,,,,,,0.0665,,,1.16,,,,
Pakistan,,,,,,,,,,2.96,,2.44,,,,1.73,,1.54,,,,
Palau,,,,,,,,,38.9,,,,,,,,,,,,,
Panama,,,,,,,,,,,2.63,5.11,4.75,5.57,5.17,4.96,6.07,4.49,4.89,7.45,7.78,
Papua New Guinea,,,,,,,,,,,,0.176,,,,,,,,,,
Paraguay,,,,,,,,,,0.658,0.102,0.154,0.557,0.747,4.03,0.286,0.526,0.192,0.386,0.599,,
Peru,,,,,,,,,,,0.261,0.445,0.753,0.885,1.53,0.839,1.17,1.04,1.08,0.949,,
Philippines,,,,,,,,,1.05,,,,,,,4.06,,3.27,,,,
Poland,,,,,,,,39.3,39.8,42.2,43.2,43.3,42.4,42.3,40.1,,,41.5,,,,
Romania,,,,,,,,,,,39.4,,,33.1,35.4,,,,,,,
Russia,,,,,,,,,,45.5,,,,,,,53.7,48.9,54.6,55.7,,
Rwanda,,,,,,,,0,,,,,0.0133,,,17.3,,,,,,
Samoa,,,,,,,,,,,31.8,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,0.936,,,,,,,,
Serbia,,,,,,,,,,51.9,,,52.8,,,54.2,,54.3,,,,
Slovak Republic,,,,,,,,,,,,37,,,,,,,,,,
Solomon Islands,,,,,,,,0.946,,,,,,,,,,,,,,
South Africa,,,,,,,,1.05,,,,,0.74,,,,0.908,,,,,
Sri Lanka,,,,,,,,,1.22,,,1.99,,,1.77,,,,2.03,,,
Syria,,,,,,3.57,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,39,,,,,,,,
Tanzania,,,,,,,,,,,,,0,,0.104,,0.255,,,,,
