country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.293,0.304,0.304,0.263,0.232,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.24,0.215,0.105,0.105,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.25,0.4,0.395,0.392,0.392,0.392,0.392,0.392,0.392,0.395,0.381,0.374,0.375,0.365,0.368,0.362,0.381,0.403
Albania,0.0295,0.0534,0.0739,0.0739,0.0739,0.0739,0.0739,0.0739,0.0739,0.101,0.198,0.198,0.198,0.198,0.198,0.283,0.464,0.5,0.505,0.512,0.512,0.511,0.442,0.462,0.48,0.58,0.579,0.57,0.592,0.617,0.604,0.615,0.609,0.619,0.617,0.615,0.611,0.601,0.725,0.726,0.722,0.724,0.699,0.689
Algeria,0.393,0.403,0.403,0.393,0.437,0.446,0.446,0.446,0.446,0.442,0.429,0.429,0.431,0.421,0.42,0.369,0.367,0.351,0.348,0.348,0.346,0.346,0.346,0.346,0.453,0.456,0.456,0.456,0.456,0.46,0.465,0.466,0.471,0.471,0.482,0.471,0.481,0.405,0.426,0.415,0.426,0.431,0.445,0.438
Angola,0.248,0.219,0.213,0.219,0.225,0.219,0.219,0.219,0.202,0.21,0.193,0.193,0.193,0.201,0.201,0.27,0.282,0.284,0.266,0.266,0.271,0.274,0.279,0.266,0.266,0.271,0.279,0.281,0.34,0.348,0.355,0.37,0.374,0.379,0.373,0.38,0.379,0.379,0.369,0.369,0.371,0.371,0.356,0.398
Argentina,0.201,0.154,0.136,0.136,0.154,0.154,0.169,0.169,0.348,0.612,0.625,0.614,0.614,0.614,0.615,0.623,0.606,0.606,0.612,0.614,0.614,0.614,0.612,0.606,0.602,0.602,0.596,0.599,0.602,0.596,0.605,0.598,0.606,0.605,0.598,0.604,0.594,0.6,0.567,0.558,0.541,0.547,0.518,0.589
Armenia,,,,,,,,,,,,,,,,,0.446,0.43,0.4,0.411,0.431,0.431,0.419,0.428,0.417,0.454,0.46,0.452,0.48,0.443,0.482,0.482,0.479,0.414,0.523,0.548,0.542,0.507,0.576,0.573,0.584,0.562,0.547,0.614
Australia,0.816,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.828,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.804,0.806,0.809,0.809,0.798,0.788,0.802,0.786,0.799,0.8,0.802,0.802,0.788,0.802,0.802,0.722,0.765,0.716,0.711,0.67,0.674
Austria,0.696,0.703,0.703,0.703,0.703,0.66,0.703,0.703,0.703,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.671,0.744,0.744,0.744,0.744,0.745,0.753,0.743,0.743,0.74,0.753,0.74,0.74,0.74,0.74,0.772,0.772,0.77,0.765,0.765,0.762,0.756,0.747,0.704
Azerbaijan,,,,,,,,,,,,,,,,,0.43,0.405,0.405,0.297,0.297,0.355,0.355,0.375,0.375,0.357,0.375,0.353,0.364,0.384,0.361,0.38,0.369,0.367,0.367,0.37,0.391,0.391,0.384,0.384,0.375,0.384,0.393,0.393
Bahrain,0.342,0.352,0.352,0.352,0.352,0.352,0.352,0.343,0.343,0.335,0.344,0.344,0.335,0.335,0.335,0.335,0.346,0.361,0.363,0.363,0.354,0.359,0.347,0.344,0.344,0.398,0.49,0.483,0.492,0.427,0.427,0.424,0.404,0.407,0.414,0.376,0.196,0.273,0.267,0.266,0.3,0.293,0.23,0.249
Bangladesh,0.329,0.331,0.343,0.356,0.376,0.367,0.376,0.367,0.345,0.346,0.344,0.335,0.326,0.335,0.335,0.326,0.378,0.383,0.407,0.408,0.408,0.4,0.4,0.397,0.393,0.402,0.402,0.387,0.385,0.355,0.353,0.353,0.331,0.334,0.321,0.314,0.327,0.325,0.319,0.319,0.309,0.31,0.309,0.28
Belarus,,,,,,,,,,,,,,,,,0.481,0.505,0.505,0.501,0.502,0.404,0.427,0.434,0.348,0.36,0.405,0.467,0.463,0.465,0.481,0.46,0.463,0.463,0.463,0.441,0.458,0.422,0.469,0.469,0.474,0.463,0.472,0.472
Belgium,0.746,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.748,0.741,0.74,0.743,0.743,0.75,0.756,0.726,0.783,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.783,0.78,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.777,0.753,0.753,0.734,0.732,0.734,0.736
Benin,0.297,0.314,0.314,0.314,0.314,0.314,0.301,0.301,0.314,0.314,0.301,0.314,0.314,0.301,0.301,0.577,0.58,0.616,0.616,0.616,0.604,0.616,0.616,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.583,0.566,0.592,0.583,0.583,0.583,0.554,0.567,0.604,0.595,0.604,0.64,0.705,0.667
Bolivia,0.129,0.15,0.144,0.215,0.321,0.255,0.255,0.415,0.447,0.415,0.515,0.516,0.516,0.516,0.516,0.503,0.532,0.532,0.529,0.542,0.544,0.543,0.546,0.55,0.546,0.545,0.554,0.537,0.518,0.556,0.554,0.553,0.566,0.578,0.581,0.581,0.581,0.58,0.553,0.546,0.598,0.556,0.607,0.617
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.321,0.321,0.321,0.36,0.486,0.516,0.537,0.537,0.588,0.609,0.62,0.647,0.631,0.648,0.648,0.609,0.648,0.648,0.648,0.648,0.648,0.613,0.613,0.625,0.625,0.645,0.512
