country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Albania,0.563,0.563,0.563,0.531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Algeria,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.625,0.5,0.5,0.5
Angola,0.563,0.5,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.5,0.5
Argentina,0.563,0.563,0.563,0.594,0.625,0.625,0.625,0.625,0.625,0.688,0.688,0.688,0.625
Armenia,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.25,0.188,0.188,0.25
Australia,0.875,0.875,0.875,0.907,0.938,0.938,0.938,0.938,0.875,0.875,0.875,0.875,0.875
Austria,0.875,0.844,0.813,0.813,0.813,0.813,0.813,0.813,0.75,0.75,0.688,0.688,0.688
Azerbaijan,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
Bahrain,0.5,0.5,0.5,0.5,0.5,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Bangladesh,0.625,0.5,0.375,0.438,0.5,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Belarus,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.625,0.625,0.625,0.563,0.563
Belgium,0.688,0.719,0.75,0.75,0.75,0.75,0.75,0.75,0.688,0.688,0.688,0.688,0.688
Benin,0.688,0.625,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Bhutan,0.375,0.406,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Bolivia,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
Bosnia and Herzegovina,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.438,0.438,0.375,0.375,0.375
Botswana,0.688,0.657,0.625,0.657,0.688,0.688,0.688,0.75,0.75,0.75,0.75,0.75,0.75
Brazil,0.563,0.563,0.563,0.5,0.438,0.438,0.438,0.438,0.625,0.375,0.375,0.5,0.5
Bulgaria,0.5,0.531,0.563,0.5,0.438,0.438,0.438,0.438,0.5,0.5,0.438,0.438,0.438
Burkina Faso,0.563,0.531,0.5,0.438,0.375,0.375,0.375,0.5,0.5,0.563,0.563,0.563,0.563
Burundi,0.625,0.625,0.625,0.594,0.563,0.563,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Cambodia,0.5,0.5,0.5,0.5,0.5,0.5,0.563,0.563,0.563,0.5,0.5,0.563,0.563
Cameroon,0.563,0.531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.438,0.438,0.438
Canada,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
Cape Verde,0.688,0.657,0.625,0.657,0.688,0.625,0.625,0.625,0.625,0.625,0.688,0.688,0.688
Central African Republic,0.188,0.188,0.188,0.219,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.188,0.188
Chad,0.5,0.469,0.438,0.438,0.438,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
Chile,0.625,0.625,0.625,0.657,0.688,0.625,0.625,0.688,0.688,0.688,0.688,0.75,0.813
China,0.625,0.625,0.625,0.594,0.563,0.563,0.5,0.5,0.5,0.625,0.625,0.625,0.625
Colombia,0.438,0.438,0.438,0.406,0.375,0.375,0.375,0.375,0.375,0.438,0.438,0.5,0.563
Comoros,0.563,0.531,0.5,0.438,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
"Congo, Dem. Rep.",0.375,0.344,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.438,0.438,0.375,0.313
"Congo, Rep.",0.563,0.469,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
Costa Rica,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.75
Cote d'Ivoire,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Croatia,0.563,0.563,0.563,0.531,0.5,0.5,0.563,0.563,0.563,0.563,0.5,0.5,0.5
Cuba,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Cyprus,0.625,0.688,0.75,0.657,0.563,0.563,0.563,0.563,0.563,0.625,0.688,0.688,0.688
Czech Republic,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.75,0.688,0.688,0.688,0.688,0.688
Denmark,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
Djibouti,0.5,0.5,0.5,0.5,0.5,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Dominican Republic,0.563,0.563,0.563,0.594,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.563,0.5
Ecuador,0.313,0.313,0.313,0.344,0.375,0.375,0.438,0.438,0.438,0.438,0.438,0.438,0.438
