country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.383,0.383,0.383,0.223,0.179,0.179,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.214,0.118,0.0131,0.0131,0.0131,0.0131,0.0953,0.0953,0.0953,0.0953,0.0953,0.118,0.405,0.377,0.377,0.372,0.372,0.372,0.372,0.372,0.384,0.348,0.348,0.328,0.341,0.371,0.328,0.346,0.389
Albania,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.193,0.197,0.197,0.216,0.237,0.237,0.237,0.218,0.396,0.406,0.406,0.406,0.406,0.406,0.395,0.409,0.419,0.419,0.473,0.485,0.498,0.498,0.498,0.498,0.498,0.498,0.51,0.504,0.504,0.504,0.579,0.555,0.555,0.555,0.546,0.538
Algeria,0.362,0.362,0.362,0.362,0.374,0.374,0.374,0.374,0.374,0.366,0.366,0.366,0.366,0.4,0.411,0.4,0.335,0.321,0.321,0.321,0.321,0.321,0.321,0.335,0.394,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.377,0.386,0.386,0.379,0.362,0.362,0.362,0.476,0.386,0.407
Angola,0.233,0.216,0.216,0.216,0.206,0.216,0.216,0.216,0.216,0.232,0.232,0.232,0.232,0.232,0.232,0.282,0.311,0.292,0.292,0.292,0.292,0.313,0.292,0.28,0.292,0.298,0.298,0.298,0.311,0.311,0.311,0.311,0.311,0.311,0.323,0.335,0.335,0.335,0.314,0.314,0.314,0.314,0.377,0.4
Argentina,0.325,0.0638,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.199,0.548,0.548,0.548,0.548,0.548,0.548,0.447,0.447,0.447,0.447,0.447,0.45,0.45,0.45,0.471,0.489,0.488,0.488,0.488,0.512,0.517,0.517,0.517,0.499,0.482,0.482,0.482,0.509,0.509,0.485,0.485,0.48,0.536,0.53,0.545
Armenia,,,,,,,,,,,,,,,,,0.48,0.479,0.468,0.468,0.474,0.442,0.442,0.399,0.387,0.381,0.388,0.402,0.402,0.402,0.413,0.413,0.413,0.408,0.419,0.419,0.419,0.391,0.423,0.438,0.429,0.429,0.408,0.511
Australia,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,1,1,1,0.923,0.923,0.875,0.923,0.875,0.823
Austria,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.702,0.702,0.702,0.702,0.702,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.702,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.733,0.733,0.733,0.733,0.733,0.733,0.764,0.764,0.764,0.764,0.789,0.717
Azerbaijan,,,,,,,,,,,,,,,,,0.343,0.411,0.367,0.176,0.176,0.176,0.176,0.176,0.182,0.182,0.182,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.223,0.223,0.223,0.214,0.214,0.214,0.173,0.225,0.222
Bahrain,0.159,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.39,0.39,0.39,0.39,0.395,0.395,0.395,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.218,0.218,0.218,0.255,0.255,0.222,0.222,0.222
Bangladesh,0.348,0.303,0.303,0.35,0.35,0.35,0.35,0.35,0.35,0.324,0.324,0.324,0.324,0.324,0.324,0.341,0.372,0.372,0.385,0.385,0.385,0.399,0.38,0.401,0.401,0.39,0.39,0.382,0.382,0.382,0.382,0.382,0.362,0.362,0.373,0.376,0.364,0.364,0.284,0.275,0.288,0.294,0.259,0.259
Belarus,,,,,,,,,,,,,,,,,0.434,0.479,0.479,0.416,0.372,0.269,0.285,0.291,0.276,0.231,0.231,0.231,0.231,0.214,0.233,0.233,0.249,0.249,0.249,0.264,0.279,0.279,0.214,0.214,0.214,0.242,0.242,0.184
Belgium,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.823,0.823,0.823,0.823,0.823,0.796,0.796,0.822,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.857,0.857,0.857,0.857,0.857,0.896
Benin,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.349,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.543,0.543,0.511,0.568,0.552,0.616
Bolivia,0.0131,0.0131,0.0131,0.0131,0.137,0.0131,0.0131,0.339,0.386,0.363,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.462,0.462,0.462,0.462,0.474,0.474,0.474,0.486,0.486,0.491,0.491,0.48,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.487,0.487,0.492,0.51,0.519,0.534
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.299,0.299,0.299,0.299,0.454,0.48,0.48,0.489,0.509,0.53,0.56,0.561,0.53,0.53,0.512,0.512,0.512,0.512,0.506,0.489,0.5,0.518,0.518,0.518,0.526,0.525,0.471
