country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,0.218,0.199,0.207,0.206,0,0,0,0,0,0,0,0,0,0,0,0.331,0.384,0.44,0.438,0.439,0.429,0.424,0.423,0.419,0.421,0.409,0.412,0.402,0.398,0.38
Albania,0.211,0.214,0.216,0.212,0.213,0.213,0.211,0.214,0.213,0.212,0.211,0.212,0.212,0.213,0.208,0.262,0.442,0.503,0.5,0.501,0.502,0.426,0.452,0.465,0.467,0.47,0.519,0.527,0.536,0.529,0.611,0.614,0.613,0.615,0.622,0.624,0.627,0.624,0.612,0.613,0.613,0.614,0.634,0.625
Algeria,0,0.195,0.225,0.229,0.233,0.228,0.23,0.251,0.251,0.247,0.25,0.251,0.25,0.25,0.293,0.368,0.408,0.302,0,0,0.364,0.37,0.39,0.386,0.389,0.371,0.373,0.399,0.399,0.383,0.379,0.378,0.366,0.363,0.36,0.361,0.363,0.377,0.367,0.35,0.359,0.357,0.354,0.353
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.365,0.401,0.403,0.407,0.397,0.398,0.398,0.398,0.402,0.416
Argentina,0.633,0.354,0,0,0,0,0,0,0.693,0.793,0.8,0.799,0.801,0.805,0.806,0.811,0.807,0.807,0.801,0.803,0.802,0.805,0.807,0.803,0.804,0.803,0.801,0.803,0.81,0.795,0.776,0.776,0.769,0.767,0.752,0.764,0.759,0.761,0.761,0.755,0.746,0.759,0.777,0.776
Armenia,,,,,,,,,,,,,,,,,0.666,0.669,0.651,0.64,0.51,0.472,0.453,0.473,0.482,0.479,0.478,0.495,0.427,0.423,0.426,0.422,0.42,0.394,0.399,0.394,0.394,0.444,0.445,0.436,0.443,0.445,0.479,0.539
Australia,0.802,0.799,0.797,0.803,0.797,0.799,0.8,0.798,0.798,0.802,0.805,0.803,0.821,0.821,0.823,0.825,0.817,0.828,0.821,0.821,0.823,0.815,0.813,0.82,0.818,0.821,0.792,0.792,0.792,0.801,0.8,0.802,0.839,0.837,0.839,0.908,0.904,0.903,0.825,0.825,0.834,0.832,0.808,0.813
Austria,0.785,0.784,0.788,0.788,0.784,0.784,0.785,0.786,0.788,0.789,0.79,0.786,0.784,0.785,0.786,0.787,0.785,0.789,0.788,0.785,0.787,0.784,0.788,0.785,0.789,0.787,0.785,0.787,0.787,0.785,0.786,0.817,0.813,0.81,0.815,0.819,0.818,0.815,0.809,0.812,0.812,0.78,0.774,0.769
Azerbaijan,,,,,,,,,,,,,,,,,0.386,0.489,0.485,0.461,0.349,0.348,0.348,0.348,0.348,0.345,0.346,0.344,0.326,0.32,0.298,0.3,0.3,0.316,0.316,0.301,0.301,0.297,0.284,0.285,0.286,0.287,0.286,0.273
Bahrain,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.337,0.335,0.348,0.343,0.342,0.342,0.345,0.342,0.318,0.312,0.31,0.275,0.269,0.263,0.262,0.232
Bangladesh,0.285,0,0,0.341,0.449,0.449,0.397,0.335,0,0,0,0.465,0.465,0.436,0.434,0.439,0.607,0.605,0.604,0.603,0.603,0.601,0.601,0.597,0.6,0.6,0.612,0.604,0.605,0.604,0.604,0.58,0,0.461,0.517,0.51,0.513,0.502,0.495,0.417,0.411,0.413,0.417,0.382
Belarus,,,,,,,,,,,,,,,,,,,,0.528,0.498,0.449,0.417,0.422,0.424,0.319,0.327,0.321,0.323,0.302,0.298,0.292,0.291,0.297,0.299,0.299,0.302,0.313,0.329,0.328,0.337,0.333,0.332,0.332
Belgium,0.769,0.769,0.777,0.775,0.774,0.773,0.769,0.768,0.767,0.772,0.771,0.771,0.77,0.77,0.783,0.78,0.783,0.782,0.781,0.778,0.78,0.78,0.782,0.785,0.781,0.784,0.784,0.784,0.782,0.774,0.779,0.783,0.802,0.805,0.804,0.811,0.811,0.813,0.814,0.804,0.801,0.801,0.798,0.798
Benin,0,0,0,0,0.129,0.169,0.166,0.168,0.167,0.146,0.143,0.143,0.144,0.145,0.144,0.255,0.547,0.593,0.594,0.593,0.606,0.6,0.603,0.602,0.589,0.591,0.59,0.588,0.587,0.583,0.596,0.683,0.678,0.682,0.679,0.682,0.624,0.62,0.622,0.622,0.677,0.692,0.698,0.662
Bolivia,0,0,0,0.2,0.37,0.281,0,0,0,0,0.651,0.65,0.649,0.651,0.653,0.656,0.669,0.673,0.735,0.731,0.736,0.735,0.747,0.748,0.748,0.745,0.743,0.733,0.717,0.724,0.712,0.707,0.708,0.705,0.681,0.676,0.678,0.67,0.675,0.651,0.651,0.651,0.64,0.631
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0,0,0,0,0.436,0.545,0.58,0.581,0.602,0.601,0.617,0.62,0.613,0.614,0.565,0.566,0.569,0.571,0.577,0.577,0.578,0.57,0.54,0.539,0.525,0.517,0.503
