country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,65.4
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,98.8,,,98.8,99.2,,,,,,99.3
Algeria,,,,,,,,,,,,,,,,,,74.3,,,,,,,,,,,,,,,90.1,,,,91.8,,93.8,,,,,,,,,,97.4
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2,,,,,,,,,,,,,77.4,,,,
Argentina,,,,,,,,,,,96.9,,,,,,,,,,,98.3,,,,,,,,,,98.9,,,,,99.4,,,99.6,99.3,99.6,99.4,99.6,99.3,99.6,99.5,,99.5
Armenia,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,99.8,,,,,,,,,,99.8,,,,,,99.8,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,100,,100,100,99.9,99.9,100,100,99.9,99.9,99.9,
Bahrain,,,,,,,,,,,,86.3,,,,,,,,,,96.9,,,,,,,,,,97,,,,,,,,,95.5,,,,,,99.5,99.6,99.7
Bangladesh,,,,,,,,,,,,35.7,,,,,,,,,,44.7,,,,,,,,,,63.6,,,,,,61.9,,,,78,77.8,85.5,85.6,87.9,92.2,93,93.3
Barbados,99.8,,,,,,,,,,,,,,99.9,,,,,,,,,,99.9,,,,,,,,,,99.9,,,,,,,,,,99.9,,,,
Belarus,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.8,,,,,,,,,,99.8,,,,,,,,,99.8
Belize,,,,,,,,,,,,,,,,,,,,,,77.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,29.8,,,,,,,,,,,,,39.9,,,,,,,,,,45.3,,,,42.4,,,,,,52.5,,,,,,60.9
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4,,,,,,,87.3,,,,,93.1,
Bolivia,,,,,,,83.6,,,,,,,,,,,,,,,,93.9,,,,,,,,,97.3,,,,,,99.4,99.1,99.4,,99,99,,,99.4,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,99.8,,,,,,,,,,,99.5,,99.7,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,89.3,,,,,,,,,,,,94,,,,,,,,,,97.5,,,,,
Brazil,,,,,,,,,,,83.9,,,,,,,,,,,,,,,,,,,,94.2,,,,96.8,,97.6,97.8,97.8,98.1,97.5,98.5,98.6,98.7,98.8,99,99.1,99.2,99.2
Brunei,,,,,,,,,,,,93.7,,,,,,,,,,98.1,,,,,,,,,,98.9,,,,,,,,,,99.4,,,,,,,99.7
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,,,,,,,,,,97.9,,,,,,,
Burkina Faso,,,,,,14.4,,,,,,,,,,,,,,,,20.2,,,,,19.4,,,,,,,31.2,,33,32.7,39.3,,,,,,,50.1,,,,58.3
Burundi,,,,,,,,,,31,,,,,,,,,,,53.6,,,,,,,,,,73.3,,,,,,,,61.7,,,,,,79.6,,,88.2,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3,,,,,,83.4,,,,87.5,87.1,,,,,90.1,92.2,,,
Cameroon,,,,,,,68.8,,,,,,,,,,,,,,,,,,,,,,,,83.1,,,,,,,83.1,,,80.6,,,,,,,,85.1
Cape Verde,,,,,,,,,,,,,,,,,,,,,88.2,,,,,,,,,,95.9,,,,,,,,,,,,98.1,,,98.1,,,
Central African Republic,,,,,,37,,,,,,,,,,,,,48.2,,,,,,,,,,,,60.8,,,,,,,,,,36.4,,,,,,,,38.3
Chad,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,37.6,,,,41.7,,,,,,,,,,,38.8,30.8,,
Chile,,,,,,,,,,,,,96.7,,,,,,,,,,98.4,,,,,,,,,,99,,,,,,99.2,98.9,,99.4,,99,,99.4,,99,
China,,,,,,,,,,,,,88.8,,,,,,,,94.3,,,,,,,,,,98.9,,,,,,,,,,99.6,,,,,,,,99.8
Colombia,,,,,,,,,,,,,,,,,,,,,,,,95.5,,,97,,,,,,,,98,98,97.9,98,98,97.9,98.1,98.2,,,98.5,98.5,98.7,,98.9
Comoros,,,,,,,,,,,61.7,,,,,,,,,,,,,,,,,,,,80.2,,,,,,,,,,,,71.6,,,,,,78.3
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,,,,,,65.8,,,,,83.6,,,,85,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,,,,,,,82.1
Costa Rica,,,,,,,,,,,,,,,97.1,,,,,,,,,,,,,,,,97.6,,,,,,,,,,,99.1,,,,,,,99.4
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,48.5,,,,,,,,,,47.1,,60.7,,,,,,,,,,,,48.3,,53,,,,58.4
Croatia,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,99.6,,,,,,,,,,99.7,,,,,,,
Cuba,,,,,,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,99.9,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,99.8,,,,,,,,,,99.8,,,,,,,
Dominican Republic,,,,,,,,,,,,82.6,,,,,,,,,,,,,,,,,,,,,94.2,,,,,95.8,,,96.8,97,97,97.5,97.7,97.6,98.8,,
Ecuador,,,,,,,,,,,,,93.4,,,,,,,,96.2,,,,,,,,,,,96.4,,,,,,98.4,98.5,98.8,98.7,98.7,98.8,98.6,99.1,99.1,99.1,99.3,
Egypt,,,,,,,51,,,,,,,,,,63.3,,,,,,,,,,73.2,,,,,,,,,84.9,84.9,,,,87.5,,89.3,92,,,,88.2,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,84.9,,,,,,,,,,,,,,95,93.6,96,95,96,96.5,,97.2,,97.9,98,98,98
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1,,,,,,,,,,98,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9,,,,,,87,,,,,,,,,,93.3
Estonia,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,99.8,,,,,,,,,,,99.9,,,,,,,
Eswatini,,,,,,,75.5,,,,,,,,,,83.7,,,,,,,,,,,,,,91.9,,,,,,,,,,93.5,,,,,,,,95.5
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,,,,49.9,44.6,,55,,,,,,,,,,72.8,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,,99.7,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,93.2,,,,,,,,,,,,,,,,,,,88.5,,,,,,89.8
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,,,,,,,,,,,,,60.8,,67.2,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,99.7,,,99.6,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.7,,,,,,,,,,85.7,,,,,,,,92.5
Greece,,,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,98.9,,,,99.5,,99.6,,99.5,,98.8,,,,,,,99.2
Grenada,99,,,,,,,,,,,,,,99.2,,,,,,,,,,99.2,,,,,,,,,,99.2,,,,,,,,,,99.2,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,82.2,,,,,,,,,,93.7,91.9,94.4,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,,,,,,,47.1,,,,,,,31.4,,,,46.3,,,,
Guinea-Bissau,,,,,,,,,,36.4,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,,,,,,60.4,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1,,,,,96.7,,,,
Haiti,,,,,,,,,,,,,51.2,,,,,,,,,,,,,,,,,,,,,81.6,,,72.3,,,,,,,,,,83,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,,,,,,93.9,,,95.2,95.9,95,95.1,95.7,96,96.1,,96.5
Hungary,,,,,,,,,,,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,,,
India,,,,,,,,,,,,53.8,,,,,,,,,,61.9,,,,,,,,,,76.4,,,,,81.1,,,,,86.1,,,,,,,91.7
Indonesia,,,,,,,,,,,85.4,,,,,,,,,,96.2,,,,,,,,,,,,,,98.7,,96.7,,99.5,99.5,,98.8,,,99.7,99.7,99.7,,99.7
Iran,,,,,,,56.5,,,,,,,,,,75.2,,,,,87,,,,,93,,,,,,,,,97.4,96.6,,97.9,,,,98,97.8,97.9,,98.1,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8,,,,,,,,,,,,83.5,80.8,88.8,,90.9,93.5,
Israel,,,,,,,,,,,,,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.9,,,,,,,99.9
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6,,,,,,,,,,,,,,,96.3,,,,
Jordan,,,,,,,,,,90.5,,,,,,,,,,,,,,,,,,,,,,,,99.1,,99,,98.9,,,98.8,99.1,99.1,,,,,,99.3
Kazakhstan,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.8,,,,,,,,,,99.8,99.9,,,,,,,,99.9
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,,,,,,,82.4,,,,,,,86.5,,,,87.8
Kuwait,,,,,,72.2,,,,,79,,,,,87.5,,,,,,,,,,92,,,,,,,,,,99.7,98.5,98.4,98.6,,98.9,,98.8,99.2,,99.3,,99.2,99.1
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.8,,,,,,,,,99.8
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,71.1,,,,,80.6,78.5,,,,83.9,,,,,,72.1,,,,92.5,,,
Latvia,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.8,,,,,,,,,,,99.8,,,,,,,99.8
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,99.2,,,,,,,,,99.8
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9,,,,,,,,,83.2,,,,,86.6,,,,
Liberia,,,,,,,,,,,,,,,47.6,,,,,,,,,,,,,,,,,,,,,,,49.1,,,,,,,,,,55.4,
Libya,,,,,,,,,,,,,,,89.3,,,,,,,,,,97.9,,,,,,,,,,99.6,,,,,,,,,,,,,,
