country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,541000,573000,598000,624000,654000,692000,730000,764000,811000,,960000,1020000,365000,,447000,479000,513000,,652000,622000,623000,628000,,787000,1160000,1310000,,,1050000,876000,749000,774000,2670000,3780000,4430000,4320000,4670000,4720000,4970000,4950000,5280000,5290000,5770000,5990000,6220000,6200000,6270000,6350000,6540000,
Albania,,,,,,,294000,,285000,281000,272000,269000,268000,267000,271000,273000,275000,273000,272000,275000,278000,285000,282000,280000,288000,295000,301000,304000,299000,292000,283000,274000,264000,253000,240000,238000,222000,210000,199000,236000,225000,216000,207000,199000,196000,188000,180000,175000,171000,
Algeria,,1890000,2060000,2240000,2410000,2530000,2660000,2790000,2890000,2970000,3060000,3120000,3180000,3240000,3340000,3410000,3480000,3640000,3800000,3910000,4030000,4190000,4360000,4440000,4520000,4550000,4620000,4670000,4720000,4780000,4840000,4720000,4690000,4610000,4510000,4360000,4200000,4090000,3940000,3250000,3310000,3360000,3450000,3610000,3770000,3930000,4120000,4280000,4430000,
Andorra,,,,,,2190,,,,,,,,3450,,,,,,,,,,,,,,,,,,,4110,4140,4260,4090,4330,4430,4490,4470,4370,4260,4130,4070,4070,4160,4250,4260,4330,
Angola,,434000,486000,516000,576000,,,,,,1420000,1300000,1260000,1180000,1070000,870000,974000,1010000,1030000,1070000,1040000,990000,989000,,,,,,1340000,,,,,,,,,3560000,3930000,4050000,4270000,5030000,,,,5620000,,,,
Antigua and Barbuda,,9670,11900,,11200,10900,11300,10900,10200,9560,,,,,11400,,,,,,,,9300,,,10700,,,,,13000,,,,,,,11600,11600,11300,11300,10900,10500,,10200,10100,,9950,10100,
Argentina,3390000,3440000,3460000,3490000,3540000,3570000,3600000,3680000,3730000,3820000,3920000,4050000,4200000,,4430000,4590000,4780000,4910000,5000000,,4970000,5040000,,,5180000,,5250000,5150000,4670000,4820000,4900000,4950000,4990000,4890000,4920000,4870000,4930000,4950000,4980000,4960000,4950000,4910000,4870000,4790000,4780000,4780000,4780000,4750000,,
Armenia,,,,,,,,,,,,,,,,,,,,,,222000,215000,221000,266000,252000,252000,257000,256000,256000,180000,176000,155000,144000,135000,125000,122000,128000,122000,115000,102000,137000,138000,141000,143000,145000,148000,152000,153000,
Australia,,1690000,1680000,1670000,1600000,1630000,1640000,1670000,1700000,1710000,1720000,1710000,1690000,1650000,1610000,1540000,1520000,1510000,1530000,1560000,1580000,1610000,1620000,1630000,1640000,1830000,1850000,1860000,1870000,1890000,1910000,1910000,1930000,1930000,1930000,1930000,1940000,1970000,1980000,1990000,2020000,2040000,2080000,2130000,2170000,2140000,2180000,2220000,,
Austria,,532000,535000,529000,521000,513000,502000,493000,467000,445000,421000,400000,385000,368000,354000,343000,344000,343000,351000,361000,367000,370000,379000,383000,382000,381000,382000,382000,385000,389000,392000,392000,386000,380000,373000,363000,355000,347000,337000,332000,328000,326000,327000,327000,327000,328000,329000,335000,,
Azerbaijan,,,,,,,,,,,,473000,,,,,488000,,,487000,504000,518000,529000,544000,576000,600000,690000,710000,702000,691000,700000,694000,669000,636000,607000,568000,538000,512000,497000,490000,482000,483000,491000,498000,518000,551000,581000,607000,635000,
Bahamas,,32100,32200,31000,31400,31700,31700,31900,32300,32100,31800,32900,32700,32700,30600,32900,32800,,,,32900,32900,33400,33900,33300,33200,34400,33500,34000,33800,,,34200,,36100,37100,35900,37100,36800,34900,34000,36300,34300,31500,31700,32700,30700,,29500,
Bahrain,,38700,39600,40500,41600,44000,44900,45700,46300,47800,48700,48500,49300,50200,53600,55500,57300,58500,60600,63200,64000,66600,66700,68900,70500,72300,72500,72900,74100,76300,77700,79400,81100,81900,82700,83300,89700,,,,,93000,95500,99700,104000,108000,112000,113000,114000,
Bangladesh,5280000,5040000,6420000,7790000,7750000,8350000,8670000,8230000,8220000,8240000,8240000,8290000,8400000,8810000,8920000,8920000,9120000,9210000,11100000,11300000,11900000,,,,,,,,,,,,,,,16200000,16400000,16300000,16000000,16500000,17000000,,,,,,,17300000,17300000,
Barbados,,39000,37500,36700,34100,34100,32900,34000,34300,34500,31300,31100,30700,30300,30900,30200,,,,29600,28500,,26700,,,,,,,24800,24500,24200,23400,23100,22300,22200,22500,22600,22800,22700,22700,22500,,,21200,20900,20700,20400,20200,
