country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,26.8,,,,,,,,,,,,,,,,,,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,95.4,93.9,,91.7,90.9,,,,86.8,85.3,86,87,89.5,91.9,93.8,94.2,94.1,95.5,94.5,
Algeria,,,,67.9,71.8,74.2,76.2,77.7,78.8,78.9,80,80.3,79.9,79.3,80.3,80.7,81.8,83.1,84.3,85.3,85.9,87.6,88.7,88.2,88.2,88.4,87.9,87.4,,88.6,89.4,91.3,92.2,92.4,92.9,93.1,93.2,95.2,96.4,97.4,97.2,97.6,97.3,,,97.5,97.6,97.6,97.6,
Angola,,,,,,,,,,,,,45.2,42.5,,,,,,,,,,,,,,,45.3,,,,,,,,,,75.4,74.7,75.8,78,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4,96.6,95.6,95.1,95.5,94.1,,91.9,94.2,,94.2,95.7,
Argentina,95.1,,,,96.6,96.3,,,,,,,,,,,,95.5,,,,96.2,,,,,,100,99.3,99.2,98.9,99,99,98.9,98.6,98.8,98.9,99.1,99.1,99.1,98.7,98.9,99.1,99.1,99.4,99.5,99.1,99.2,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5,82.7,,81.1,83.4,87.9,,,,95.2,96.4,95,93.8,92.7,92.2,91.9,90.7,
Australia,,96.5,,95.2,94.5,97.3,98.3,100,100,100,100,99.9,99.1,98.1,96.3,96.3,97,97.6,98.2,98.4,98,97.4,97.2,96.7,96.4,95,95.4,95,94.8,94.4,94.4,93.9,93.9,94.9,95.2,95.5,95.6,96.4,96.5,96.7,97,97.6,97.9,97.4,97,97,96.7,96.4,,
Austria,,91,90.2,88.8,87.9,87.6,87,,,,,,,,,,,,,94.3,,,,,,,,,,90.2,91.2,90.3,88.4,87.5,87.7,87.8,88.2,88.2,87.8,87.4,87.4,87.2,88.4,88.4,88.7,88.6,88.8,88.6,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,96.2,96.1,91.3,83.3,84.7,93.5,90.1,88.7,92.1,88.2,85.4,84.8,83.3,84.2,83.9,83.2,83.4,83.9,85.2,84.4,86.6,89.1,93.5,94.7,94.1,94.9,93.7,92.4,
Bahamas,,100,99.9,96.4,99.3,100,98.9,,,,97.2,100,,,95.9,,,,,,,,88.5,88.9,92.6,,,,,90.5,,,,,88.8,90.2,86,86.9,85.8,81.8,80.4,85.6,79.9,74.7,75.4,79.8,75.4,,74.2,
Bahrain,,76.3,79.2,80.3,81.9,85.3,82.1,82.1,80.1,80.7,82.4,82,80.6,83.3,86.6,91.1,96.1,95.5,98.3,99.1,,99.4,97,98,97.9,99.1,99.9,99.6,97,96.9,95.8,93,93.1,92.4,91.6,89.1,90.5,,,,,90.2,91.2,92.3,94.3,96.5,96.3,97.3,96.7,
Bangladesh,51.6,,,72,,,76.8,73.2,72.1,,,68.6,,65.6,64.5,62.9,62.1,61.2,71.9,71.9,74.9,,,,,,,,,,,,,,,93.7,93.4,,92.6,92.5,90.5,,,,,,,,,
Barbados,,86.4,88.1,88.7,,,98.8,98.3,98.2,98.9,,94.6,94.5,96.3,,,,,,99.7,97.6,,89.7,,,,,,,97.1,95.5,94.6,91.9,91.6,90.5,90.2,92.1,94.7,96.7,93.7,95,93.4,,,92.5,93.8,95.4,95,96.7,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,88.2,,,,,,95.6,92.5,93.1,91.5,89.6,89.7,89.6,,,91.1,90.7,94,93.2,93.1,94,96.1,95.6,94.9,
Belgium,,,,,,,,96.3,,97.6,98.2,97,97.1,94,93.3,92.9,94.3,95.7,96.9,,,96.5,95.1,97.7,97,97.1,97.5,,,98.9,98.9,98.9,98.7,97.7,96.1,95.7,96.1,97,97.6,97.5,97.3,97.4,97.7,97.7,97.6,98.1,98.3,98.8,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7,94.8,92,,92.1,93.3,93,93.6,93.4,93.8,94.9,95.4,95.1,96.7,95.7,96.4,96.2,96.1,96.2,95.9,
Benin,,,,,,,,,,,,,,,50.1,50.8,48.9,,48.4,48.9,39.5,,49.2,53.2,54.5,56.9,59.1,62.5,,,,,,83.4,86.7,81.9,84.7,,90.1,94.2,94.9,94.8,95.5,,96.4,,,97,97.2,
Bhutan,,,,,,,,,22,24.8,,,,,,,,,,,,,,,,,,,53.7,54.6,57.3,59.9,,,,69.6,73.5,,79.4,84.2,86.3,87.9,90.2,88.3,,88.2,87.5,87.4,88,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,94.8,95.1,94.9,95.2,95.2,94.8,95,95.1,94.9,94.1,93.5,90.9,88.2,86.6,86.3,86.3,87.3,88.8,90.9,92.9,
Botswana,49,45.5,46.8,49.9,54.3,61,65.6,69.8,70.5,71.9,76.1,80.7,,85.6,86.4,88.7,89.9,90.8,91.2,91.9,91.6,93.7,93.1,92.7,92.7,83.1,83.6,,84.6,85.1,85.9,87.3,87.3,87.5,88.4,87.7,88.6,87.3,86,85.6,,,87.8,88,87.7,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9,,98,95.7,93.2,94.4,94.9,,91.6,97.5,95.5,,95,98.1,93.8,94.8,94.7,95.5,96.3,,
