country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,51.9,,,,77.2,,,69,69.9,,,,
Albania,,,,,,,,,,,,,73.4,71.8,77.5,79,77.2,76.9,76,84.1,80.2,
Algeria,,75.4,74.6,77.9,90.8,85.9,86.8,85.3,84,87.1,86.8,86.9,88.8,88,,86.7,85.6,85.6,85.9,85.6,86.8,
Angola,19.9,,,,,,,,,,49.7,52.6,53.5,,,,,,,,,
Antigua and Barbuda,,,94.9,,,,,,,,,65.5,69.8,74.8,55.8,,73.8,,,62.9,70.9,
Armenia,,,,,70.1,,,,,,,,,,,,88,88.6,91.2,89.7,85.8,
Azerbaijan,82.2,85.9,,,60.9,62.7,66.2,62.5,64.6,66.6,70.9,71,68,76.3,77.9,80.8,79.3,72.9,,,74,
Bahamas,,83.5,,,,,,69.1,66.6,66,61.9,58.2,,64.2,59.6,60.7,60.7,66.5,60.7,17.6,55.5,
Bahrain,,85.6,79.5,77.3,74,74.2,74.1,72.8,77.5,,73.8,75,80,81.4,82.2,78.3,81.8,84.9,84.3,87.4,83.8,
Bangladesh,,,,,,,,,87.8,93.7,94.3,96.1,93.1,,,,,,,,,
Barbados,,77,71.8,73.5,73.8,82.3,82.6,86,79.5,83.1,86.1,74.2,78,74.5,,,88.4,,,84.4,92.3,
Belarus,,78.1,82.7,,,,,,,,,,,,77.5,78.6,80.2,81,83.6,78.6,74.8,
Belize,,,73,69.5,,,59,,62.1,61.7,60,60.5,64.8,62.4,64.1,64.3,64.9,62.8,62.6,64.2,61.5,
Benin,,,,,,48,50.1,50,,,,,60.9,56.9,,,,,,,50.8,
Bhutan,,,,,,,,28.9,,,,,,,,52,63.7,,,,63.8,
Bolivia,,73,71.2,71.8,73.5,73.5,73.6,74.9,73.5,68,55.8,60.7,60.6,62.6,75.3,80.8,84.1,87.9,91.1,96.6,95.9,
Botswana,23.2,23.4,24,26,,,,,,,,,,,51.5,51.4,42.3,,,,,
Brunei,,,,,,,,65.5,,,66.9,64.5,70.3,,71.3,74.6,68.1,,,67.9,68.6,
Bulgaria,,,,,86.1,,,,,,,,,,,85.9,85.2,82.3,80.6,82.7,,
Burkina Faso,,19.7,21.4,21.8,19.2,22.9,26.4,30.3,28.1,33.5,43.2,34.3,19.9,16.6,27.7,29.4,,27,,46.2,44.1,
Burundi,,,25.8,,,31.2,33.9,33.1,55.4,53.2,,57.8,73.3,72.7,72.3,73.4,73.1,71.1,66.9,58,57.6,
Cambodia,,65.9,74.6,76,76.9,,87.5,92.4,88.9,92.1,82.9,,87.7,96.5,94.3,,,,,,,
Cameroon,,,,,,,,,,,,53.1,,81.8,,,66.8,65.4,66.7,64.8,58.3,
Cape Verde,,,65.1,,67.9,77.2,75.7,84.4,82.9,86.7,85.1,90,91.8,92.8,,95.2,95.7,93.2,90.8,96.4,97.1,
Central African Republic,,,,,,,,,,,,,37.7,,,,,,,,,
Chad,,20.6,24.5,24.6,26.9,,,,,,,,,54.2,,,,,,,,
Chile,,,,,,,,,,,,,,,,81.9,82.6,83.4,,81.9,,
China,,,,,,,,,,,,,,,,,,76.8,80.4,81.4,82.4,
Colombia,,,,,,,,,,63.1,66.5,66.7,66.3,68.9,69.6,71.5,68.7,67.6,67.8,66,68.5,
Comoros,,18.9,,,,,,,,,,,,,,45.7,42.3,,,,,
"Congo, Dem. Rep.",,25,,,,,,,,46.4,51.7,55,53.9,59.6,,67.6,68.5,,,,,
"Congo, Rep.",,,45.6,,,,,,52.6,,,,48,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,92.2,91.8,89.9,92.6,91.9,91.3,91.3,84.3,
