country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,64.3,,,72.8,77.9,,,61.7,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,,,,,,,,92.2,95.2,97.9,98.8,98.7,98.7,95.7,88.8,93.2,92.4
Algeria,,,89.5,88.1,85.4,87.6,85.5,86.1,86.5,88,86.6,87.8,90.3,91.2,93.6,95.5,93.6,93.8,92,93.5,94.2,94,92.4,93.3,92.2,94.4,94.1,,95,95,97.1,96,97,96.2,95.6,95.2,96,95.9,,95,94.6,92.8,96.2,93.4,93.8,93.6,94.8,96.3
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,95.8,94.8,94.3,91.6,93.9,95,98.2,97.2,,98.8,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,44.8,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,,,,,,,89.8,,,
Argentina,75.2,,,77.5,72.6,75.8,,,,,,,,,,,,,,,,,,,,,70.1,,90.5,96.3,93,92.1,84.2,96.3,89.7,96,96.3,98.2,95.3,96.6,94.9,97.4,96,97.1,96.4,98.3,95.5,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,77.7,,,,,,,,,,,,85,93.9,92.3,82.8,91.4,,75.5,70.8,89.4,,70.2,,
Bahrain,,,,,,,,,,,,88.9,87.9,,81.3,89.3,86.5,91,97.1,,,89.2,98.6,98.3,98.3,91.1,,97.1,98.6,95.6,98.1,98.7,,99.1,98.4,,,,,,,97.9,,,,98.7,97.3,97.9
Bangladesh,,,,,,,21,,,,20.5,,,,,,,,46.7,,,,,,,,,,,,,,,,,,,,66.6,66.2,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,95.6,94.5,96.1,96.3,97.5,93.3,92.7,93.6,92.2,93.3,94.5,,,,,,,
Belarus,,99.3,99.3,99.6,99.1,99.3,99.3,99.5,99.3,96.3,89.4,82,77,72.9,69.3,66.1,,,98.4,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,73.1,70.7,74.7,69.8,73,75.3,76.3,76.1,68.1,70.1,75.1,79.8,81,80.8,,,,,,,,,,,,,,,,,,96.4,96.3,91.2,96.5,98.9,,,99.1,95.7,96.7,98.1,96.1,
Belize,,,,,,,,,,,,,,,,,,,,,,67.4,,,70.4,70.1,,,,76.1,84.5,,,,,91,87.3,92.7,95.6,91.1,92,,93.6,96.4,99.1,,94.8,96.3
Benin,,66.3,61.9,47.8,67.1,60.6,51.7,53.3,60.1,58.9,55.1,,59.4,39.8,55.1,43.6,50.1,42,46.8,14.2,67.1,55.1,67.3,55.4,64.8,60.9,66.4,64.6,,,84.2,72,68.5,69.8,,,,,,60.4,63,67.5,61.1,62.7,66.8,57.6,,
Bhutan,,,,,,,18.4,14,30.1,,,,,,,,,,,,,,,82.1,,,,86.2,87.5,90.5,91.1,,,93.2,94.4,93.1,95.4,92.4,95.5,93.2,95.5,97.4,,,,,94.8,89.5
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,90.1,92.8,98,96.4,97.7,97.1,96.2,96.9
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2,80.6,83.3,82.8,86.5,97,95.6,98.4,93.9
Botswana,64,,,90.9,90.1,88.1,90.6,84.6,88.7,95,82.4,86.4,89.1,87.2,91.4,89.6,92,89.8,,86.2,94.2,84,89.2,88.7,86.8,89.9,,,87.6,86.6,89,88.3,89.4,90.2,89.7,89.1,78.8,79.6,96.6,,,,96.3,,,,,
Brunei,,,,,,79.2,,,,,,,,85.8,,,,,,,,,,95.3,95.1,,,,94.5,,,,,97.7,98.3,98,98,97.6,98.3,98.1,98.8,98.6,,,,,96.3,98.1
Burkina Faso,,56.4,52.7,57.5,62.7,63.3,64,63.7,65.3,67.9,67.8,75.5,72.2,73.8,73.5,,75.2,72.1,70.9,69.9,75.5,69.7,,,78.7,,,,66.7,68.3,69.1,65.4,73.2,75.9,75.5,72.5,80.6,79.6,82.2,75.1,,80.3,80.7,79.1,78.6,80.5,77,81.3
Burundi,,,15.6,50.5,67.1,58.9,56.9,80.6,61.2,76.5,81.3,,85.4,84.6,83.4,,86.3,84,68.3,69.8,76.1,61.8,73.4,,,,,,,,58.8,64.8,68.3,64.2,68.6,,69,64.7,72.6,62.3,59,53.6,59.3,64.4,58.7,56.3,53.8,54.4
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,49.8,,,49.1,52.5,,63,70.4,60.9,59.7,63.1,62.2,62.2,62.1,,,68.7,72.7,69.9,,,79.5,80.8,89.3
Cameroon,,,59.3,61.5,67.2,63.2,57.4,65.7,66.2,66.9,72.3,70,74.5,62.9,73.8,72.7,76.9,74,,,66.7,,,,,,,,,77.8,,,,,,,81.8,63,78,76.3,68.4,78.7,,,79.2,71.3,55,51.4
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7,98.9,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,18.1,24.6,27.8,25.2,26.9,,37.7,51.4,50.7,53.8,,60.2,,,,,,,,,,,,91.8,87.2,90.9,89.6,90.5,89.7,89.7,87.9,88.4,92.1,,93.6,92.8,91.9,92.7,,
Central African Republic,,35.9,51.3,46.8,,57,57.4,50.2,,,44.1,58.9,55.5,,,50.4,26.3,67,60.5,,36.1,24.1,,,,,,,,,,,,,,,,,53.6,56.3,55,56.7,,,,,,
Chad,,,,,,,34,,,,,,,,,,,,35.4,,50,,,,28.9,41.4,60.3,,51.9,55.9,54.9,61.5,53.5,,33.4,38,,,,36.5,56.7,46.6,56.6,,,35.8,,
Chile,81.6,74.2,76.1,76,74.1,74,78.6,,,,,,94.8,,,,,,,,,,,,,,98.8,,,,,,,,,,,,,,98.1,98.7,,99.6,99.6,99.6,99.6,
China,,,,,,,,,,,,,,,,,,,80,80.6,85.1,86,88,88.1,90.6,92.2,93.6,,,,,,,,,,,,,,,,,,,,,
Colombia,40.2,36.6,41.3,37.1,,,,,,,,37.1,54.6,55,55.1,55.8,60.7,56,56,52.2,55.3,72,59.1,62.8,57.7,71.5,,,63.4,66.6,60.9,69.4,,,80.9,80.8,85.2,84.7,,84.5,87.4,84.7,72,83.5,88.3,90,91.7,92.2
Comoros,,,,,,,,,,,,,,,,,39,,,,,,46.3,80.5,,,,,48.7,,,,,61.5,,,,,,,,,,74.6,,,,
"Congo, Dem. Rep.",,45.9,,,,57.5,58.8,65.4,,55,54.7,54.4,54,,,,,68.3,,,,54.7,63.7,63.5,,,,,,,,,,,,,,77.6,,60,59.8,73.7,61,,54.7,,,
"Congo, Rep.",,76.7,79,81.8,74.1,78.6,77.1,77.6,75.6,,75.5,,,81.5,81.3,,76.1,,,67.8,,63,,65.8,,55,,,,,,,67.7,,,,,76.9,,,,,,,,,,
Costa Rica,77.2,76.5,79.2,74,65.7,81.3,76.4,78.1,80.5,74.9,79.8,76.5,83.9,84.6,81.3,85.6,81.4,83.7,82.7,84.5,82.4,84.2,85.4,88,88.6,87.6,,,,91.5,93.7,91.6,,,86.6,93.8,87.6,95.7,95.7,91.2,92.9,91,89.9,91.8,94.8,95.2,94.9,
Cote d'Ivoire,,,86.2,82.2,85,79.4,93.8,92.3,93.1,89,89.4,83.3,82.8,74.6,70.8,73,74.8,76.9,80.4,75,67.7,73,61.4,84,74.3,72.7,71.9,69.8,83.1,69.2,88.9,,,,,,78.6,,66.1,,,84.8,78.4,76.3,83.9,83.5,75.1,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Cuba,,71.6,85.2,84.5,87.5,87.5,87.7,86.9,,,87.1,88.9,90.2,91.6,92.6,92.6,94,92.9,91,89.8,90.3,91.6,94,94.9,93.7,,,,77.7,95.6,96.7,97.4,97.2,96.9,96.9,97,96.8,96.5,95.9,96.6,95.9,96.5,96.7,96.7,96,96.3,96.3,96.7
Cyprus,,97.1,98.7,97.6,70.5,95,98.5,99.2,99.2,98.8,98.9,98.5,99.5,98.8,98.8,99.2,98.6,99.2,99.2,99.1,98.4,99.5,99.1,99,99.4,,,,,95,99.1,98.2,98,99.2,98.6,98.7,98.9,95.4,,,,,95,92.2,97.9,98.3,98.9,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,98.5,98.7,97.7,98.4,98.4,99.4,98.2,98.8,99.6,98.8,99.2,99.3,99.2,99.3,99.5,99.5,99.5,
Denmark,,96.3,96.7,97.7,97,99.5,92.7,98.9,98.1,,99.7,99.1,98.8,99.1,98.8,98.6,99.3,99.1,99,98.7,99.2,94.2,99.9,,,,,,99.8,99.9,99.9,,,,92.5,99.8,,98.7,99.7,99.3,,,99.5,99.7,99.9,,99.6,
Djibouti,,,,,81.4,49.2,,,,,,,,,,,91.6,92.8,88.6,97,80.3,87.3,54.9,,94.3,82,79,,,76.7,,,,,,89.9,,,,,,,75.9,84.4,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5,86.2,85.4,83.7,83.6,92.3,89.2,89.3,92.3,89.7,89.9,93.8,89.7,93.9,89.7,83.6,78,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,72.2,75.1,,,,57,,68.5,,,,79.8,,83.6,94.8,82.8,96.4,87.4,83.9,84.3
Ecuador,,51.1,53.7,58.8,54.6,59.6,59.3,61,71.7,62.9,70.6,67.2,66,70,60.9,,,67,,,,,,40.3,76.6,77.7,85.2,,77.6,77,77.8,78,74.4,76.3,76.3,77.3,81.7,,94.8,91.8,95.1,87.2,94.2,,84.7,92.6,93.5,99.2
Egypt,,,,,,85,85.5,67.5,,,,,,,,,97.4,,,,,,,,,,,,,99.1,99,95,96.1,98.6,93.5,94.4,94.4,,,97.2,,,,,,,97.4,97.6
El Salvador,35.6,37.7,51.8,42.2,42.9,43.5,41.9,,,,16.9,65.4,47.2,49.5,,,,50.8,44.5,,,58,58.3,,,76.7,,,,,67,68.9,74.5,,,72.1,73.7,79.8,80.2,89.4,87.3,87,87.4,86,82.5,82.5,78.8,86.5
