country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,58.4,,,66.9,75.2,,,,,,,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,89.6,,,89.9,,,93.9,93.4,93.8,95.2,97.9,98.8,98.7,98.7,95.7,88.8,93.2,92.4,
Algeria,,,68.7,70.6,70.2,72.9,71.2,72.5,73.9,74.9,75.9,76.6,79.4,83.7,86.8,93.4,90.3,90.8,88.3,89.8,90.2,90.3,88.6,90.1,88.2,89.9,90.4,,92,91.5,94.6,93.5,94.5,93.5,93.2,90.9,92,93,,95,94.6,92.8,96.2,93.4,93.8,93.6,94.8,96.3,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.7,71.2,,69.3,,
Angola,,,,,,,,,,,,24.3,,,,,,,,,34.6,,,,,,,,,,,,,,,,,,27.6,31.9,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,,,,,,,,,,,
Argentina,63.6,,,67.8,62.1,65.7,,,,,,,,,,,,,,,,,,,,,63.8,,87.8,95,90.8,89.8,80.8,95.1,86.8,94.5,94.8,97.4,93.8,95.3,93.1,96.3,94.6,96,95.3,97.5,94,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,95.8,96.3,98.7,98.5,97.7,,,97,96,94.2,,90.2,99.3,94.7,93.6,94.4,
Austria,,94.8,94.3,,,,,,,,,,,,,,,,,,,,,,,,,96.4,97.1,,,,,97.8,,,,,,,99.4,99.7,99.6,99.5,99.4,99.6,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,97.5,97.6,,98.6,,93.5,97.4,96.8,96,96.7,96.5,97.7,97.9,96.9,98.7,99.3,98.4,96.4,97.2,98.2,98.8,97.3,97.6,98.9,94.6,94.4,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,75.7,,,,,,,,,,,,81.4,,90.7,82.4,89.5,,73.1,64.8,,,,,,
Bahrain,,,,,,,,,,,,87,83.2,,,87.2,82.2,90.8,,,,81.2,92.5,89.3,90.9,81.3,,87.2,92.5,90.3,92.3,98.1,,98.7,98.2,,,,,,,97.8,,,,98.6,96.6,97.2,
Bangladesh,,,,,,,21,,,,20.5,,,,,,,,46.7,,,,,,,,,,,,,,,,,,,,66.6,66.2,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2,,93.3,,95.8,97,91.1,,91.3,90,,93.4,,,,,,,,
Belarus,,99.3,99.3,99.6,99.1,99.3,99.3,99.5,99.3,96.3,89.4,82,77,72.9,69.3,66.1,,,,45.3,,98,99.4,97.6,96.2,97.6,98.1,,93.7,99.2,98.9,96.2,98.5,95.9,99.1,99.2,99.2,98,99.5,99.7,98.2,99.1,98.7,98.3,98.4,98.8,97.9,98.3,
Belgium,,,,,71.1,68,72.6,68.6,67.9,69.7,72.3,74.4,60.4,69.3,71.4,75.3,76.8,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,65.4,,,67.3,70,,,,74,83.6,,,,,90.7,84,89.9,94.7,90.3,90.9,,90.9,94.7,98.8,,93,95.8,
Benin,,65.6,61.4,45,,59.8,48.7,50.7,55.2,53.6,52.7,,56.1,34.3,50.8,36.7,43.5,34.3,40,7.54,63,46.2,61.7,47,55.9,51.6,57.9,56.7,,,75.7,68.2,59.1,64.3,,,,,,53.9,55.8,59.3,53.2,53.4,57.3,47.5,,,
Bhutan,,,,,,,13.2,11.1,24.8,,,,,,,,,,,,,,,71,,,,75.1,76.5,81.5,81.4,,,84.2,86,84.3,87.4,85.3,89.5,86.5,91,94.9,,,,,88.7,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9,86.9,90.3,96.7,94.7,96.5,95.9,94.7,95.6,
