country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,26.9,,,30.5,29.4,,15.1,4.18,9.62,,5.13,5.12,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,3.63,3.68,4.08,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,,,3.93,4.05,,2.81,2.24,,,1.35,1.2,1.37,0.969,0.872,0.797,0.745,0.733,0.841,0.765,0.925,0.848,
Algeria,,,12.5,12.6,12.5,12.5,12.5,12.2,13.1,13,12.8,11.7,10.2,6.7,6.87,6.82,7.53,6.73,6.54,6.52,6.79,9.21,8.76,9.11,9.07,8.89,8.73,10.5,,11.9,14.2,12.5,11.7,11.6,11.8,11.2,12,11,7.8,10.8,7.47,7.44,6.84,6.85,6.91,6.23,5.85,5.66,5.5,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2.94,2.83,2.46,2.43,2.02,2.32,2.04,1.43,1.27,1.2,0.985,0.74,
Angola,,,,,,,,,,,,29.2,36,,,,,,,,,,,,,,,,,,,,,,,,,,9.54,11.1,10.8,10.3,,,,,,,,
Antigua and Barbuda,,,,,,1.24,1.9,,,,,,,,,,,,,,,,2.89,,,,,,,,,,,,,,,2.07,5.61,6,7.01,4.82,4.02,,2.48,3.08,,1.79,1.37,
Argentina,11.4,10.4,,,9.82,8.65,8.11,,,,,,,,,,,,,,,,,,5.58,,5.57,5.27,5.47,5.94,6.15,6.35,6.06,6.34,6.45,6.39,6.54,6.11,5.74,5.14,4.65,4.17,3.71,2.85,2.12,1.98,2.24,3.31,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,0.228,,,0.156,,,,0.117,0.118,0.0987,0.125,0.156,0.187,0.172,0.103,0.224,0.157,0.124,0.166,,0.204,0.368,0.701,0.258,0.273,
Austria,,5.75,5.33,4.99,,,,,,,,,,,,,,,,,,,,,,,,,1.42,1.53,,,1.22,,1.24,,,,,,,2.46,2.46,2.57,2.66,2.75,2.84,2.92,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,0.187,0.319,0.336,0.426,0.451,0.433,0.442,0.449,0.397,0.294,0.336,0.266,0.29,0.285,0.283,0.297,0.273,0.265,0.28,0.242,0.227,0.157,0.143,0.135,0.069,0.128,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,3.52,3.74,3.36,3.2,2.97,3.16,3.33,,3.23,
Bahrain,,,,,,,,,,,,,11.3,12.2,11,7.42,8.55,8.48,8.77,8.09,,5.1,4.62,4.62,5.08,5.23,5.46,,5.29,3.84,4.31,4.25,3.78,,3.16,2.8,2.67,,,,,1.15,1.01,0.909,0.692,0.65,0.483,0.346,0.328,
Bangladesh,,,,,,,18.5,16.4,,,,17.8,,,,,,,,6.83,,,,,,,,,,,,,,,,10.2,10.9,,13.2,13.3,12.5,,,,,,,4.74,4.14,
Belarus,,1.15,1.06,0.742,0.589,0.569,0.49,0.523,0.513,0.513,0.382,0.348,0.38,0.337,0.371,0.432,0.453,,0.508,0.798,0.991,1.15,1.24,1.24,1.18,1.19,1.08,0.944,0.765,0.523,0.56,0.371,0.318,0.248,0.104,0.069,0.0538,0.0503,0.0425,0.0472,0.0383,0.0625,0.0296,0.038,0.0298,0.0289,0.0329,0.0437,0.043,
Belgium,,,,,23.7,23.7,23.9,23.4,22.9,23.1,22.6,19.4,19,20.4,18.2,17.7,16.5,16,16.2,,,15.8,,,,,,,,,,,,,,,3.18,3.17,3.39,3.3,3.26,3.14,2.96,2.61,2.49,2.49,2.28,2.21,,
Belize,,,,,,,,,,,,,,,,,,,,,,,6.77,,,10.3,10,,,9.65,9.52,9.84,,9.43,10.8,11.6,10.4,9.4,8.22,8.18,7.54,8.24,7.59,7.2,6.87,7.29,6.81,6.77,6.68,
Benin,,18.8,17.4,19.1,20.6,17.6,21.2,21.7,20.9,18.5,23.2,19.6,18.2,22.5,28.5,25.9,26.9,26.1,26.2,26.2,24.6,21.5,23.1,23.9,24.7,24.5,25.1,25.2,23.7,,19.9,19.9,21.6,19.9,23.1,16.8,,,14.3,,13.4,10.8,11.6,11.2,10.8,10.7,9.92,,15.1,
Bhutan,,,,,,,11,21.1,3.49,12.9,,,,,,,,,16.8,,,,,18.6,19,,,,13,12.1,13.2,12.9,,,10.1,7.48,6.85,6.59,6.39,6.6,6.33,5.74,5.32,5.86,6.25,,6.01,4.72,7.3,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.77,6.64,6.18,5.68,4.18,2,2.25,2.28,2.26,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,0.0616,0.0656,0.0568,0.0714,0.0978,0.126,0.135,0.155,0.141,0.0929,
Botswana,0.333,0.734,0.882,1.64,2.31,2.89,2.61,2.26,2,2.63,2.93,4.63,5.64,6.47,5.88,5.69,4.73,5.31,4.95,4.94,4.88,4.56,3.32,2.61,2.7,3.48,3.29,,3.1,3.31,3.4,3.24,3.19,4.69,4.6,4.71,4.67,4.89,4.55,4.55,,,4.66,4.39,5.31,,,,,
Brazil,19.2,16.1,18,18.1,17.6,17.2,19.3,21.3,21.6,17.6,21.7,21.7,21.8,,20.9,19.6,,19.8,,,,,18.1,18.4,19.1,,,,,24,25,21.5,20.6,20,20.1,18.7,,,11.8,10.8,9.45,8.75,,,,,,,,
Brunei,,,7.69,8.47,9.14,8.28,7.52,8.9,9.86,15.3,12.6,13.2,13.8,9,10.2,,8.56,,,,,9.74,9.64,10.2,8.87,7.84,,,,,,,,,2.57,2.25,1.61,2.09,0.818,0.544,0.131,0.144,0.0702,0.0665,0.197,0.158,0.63,0.278,0.0811,
Bulgaria,,5.81,5.7,5.17,4.49,3.15,1.99,1.95,2.18,2.06,2.11,1.99,1.89,1.78,1.83,1.87,1.96,1.97,2.24,2.82,3.28,4.82,5.01,5.53,4.84,3.91,3.54,3.35,3.3,3.22,3.13,2.37,2.5,2.27,2.26,2.34,2.32,2.15,1.82,1.59,0.62,0.22,0.163,0.129,0.0977,0.111,0.0741,0.0783,,
Burkina Faso,,16.1,17.4,17.5,17.4,17,17.5,18.5,18.8,18,17.9,17.1,16.4,16.6,16.5,14.1,,15.5,16.5,17,17.3,17.7,16.7,16.6,16,16.3,16,,,17.7,17,17.6,17.5,15.1,13,11.9,12,11.8,10.5,10.6,10.1,,8.18,7.38,6.87,5.59,5.66,6.35,5.7,
Burundi,,21.9,,22,25.4,24.5,25.6,24,25.9,27.2,28.6,30.2,28.8,18.2,14.1,15.5,17.7,18,18.5,24.7,22.2,21.8,23,23.7,,,,,,,25.2,24.5,26.3,26.5,29.1,30.4,28.8,32,33.8,32.3,33.7,36.2,33.1,29,24.3,22.6,22,23.9,25.7,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,26.9,30.4,,27,26.3,24.2,,16.5,9.56,10.1,10.6,13.8,12.7,11.6,11.2,10.2,8.84,7.16,5.84,5.04,5.26,5.18,6.57,6.45,6.38,
Cameroon,,,,25.9,26.9,26.4,25.1,25.9,18.3,27.3,29.2,30,30.2,29.8,29.5,28.9,29.3,29.3,29.1,,28.6,29.2,,,,,,,,26.7,26.7,,25.2,25.8,25.1,26,25.1,20.1,16.8,14.7,13.1,12.5,12.3,,12.7,12.2,11.8,12.2,12.2,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,0,0,0,0,,,,,,,,
Cape Verde,,,,,,,,,,27,29,28.6,29.2,28.6,29.5,29,27.7,27.1,24,,18.8,,,,16.9,,,,9.02,,11.6,11.9,13.4,13.4,13,15.5,14,12.9,11.6,10.4,9.65,10.5,10,9.93,9.02,8.27,8.6,8.12,7.75,
