country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,73.2,,,,,,,,,,,,,,,,,,,73.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,4.62,6.13,,8.3,9.08,,,,11.1,12.9,12.4,11,7.78,4.58,2.41,2.2,2.34,2.22,2.56,
Algeria,,,,32.1,28.2,25.8,23.8,22.3,21.2,21.1,20,19.7,20.1,20.7,19.7,19.3,18.2,16.9,15.7,14.7,14.1,12.4,11.3,11.8,11.8,11.6,12.1,12.6,,9.95,9.25,7.25,6.1,5.64,4.92,4.6,4.36,4.11,2.73,1,1.08,0.913,0.85,,,0.684,0.725,0.515,0.352,
Angola,,,,,,,,,,,,,54.8,57.5,,,,,,,,,,,,,,,54.7,,,,,,,,,,17.6,18.7,18.1,18.4,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.904,0.651,1.94,3.67,1.73,4.45,,5.57,1.22,,2.45,0.69,
Argentina,4.87,,,,3.38,3.67,,,,,,,,,,,,4.54,,,,3.82,,,,,,0,0.266,0.165,0.432,0.365,0.328,0.338,0.64,0.441,0.267,0.128,0.183,0.207,0.604,0.566,0.572,0.408,0.098,0.0563,0.452,0.433,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,14.5,,11.4,7.78,2.92,,,,4.85,3.59,3.41,5.87,6.97,7.5,7.69,6.91,
Australia,,3.46,,4.85,5.48,2.72,1.7,0.023,0.0159,0.0232,0.0459,0.0939,0.907,1.89,3.7,3.65,2.98,2.43,1.75,1.63,2.03,2.61,2.84,3.26,3.57,5,4.6,5.02,5.08,5.45,5.51,1.7,1.65,2.52,2.11,1.35,1.15,0.99,0.9,0.688,0.507,2.32,2.01,0.0604,0.0847,0.0883,0.0441,0.318,,
Austria,,9.04,9.83,11.2,12.1,12.4,13,,,,,,,,,,,,,5.71,,,,,,,,,,0.115,0.271,1.27,3.4,3.84,3.45,2.81,2.68,2.6,2.89,2.54,2.32,2.86,1.67,1.03,0.653,0.47,0.206,0.0457,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,3.83,3.85,8.68,16.7,15.3,6.49,9.87,11.3,4.81,8.49,11.3,11.7,13.4,12.5,13,12.8,13.2,13.3,12,12.5,9.9,7.68,1.72,0.745,1.16,0.795,2.07,3.89,
Bahamas,,0,0.0901,3.65,0.651,0,1.15,,,,2.78,0,,,4.06,,,,,,,,11.5,11.1,7.39,,,,,8.93,,,,,10.6,9.34,13.5,12.7,13.9,17.9,19.3,11.4,16.5,22.8,22.1,18.4,22.3,,23.5,
Bahrain,,23.7,20.8,19.7,18.1,14.7,17.9,17.9,19.9,19.3,17.6,18,19.4,16.7,13.4,8.95,3.86,4.48,1.73,0.939,,0.589,2.99,1.98,2.07,0.886,0.142,0.399,0.0578,0.26,1.88,4.97,5.24,6.61,7.12,9.4,7.7,,,,,7.62,6.84,5.59,3.63,1.32,1.22,0.521,1.04,
Bangladesh,48.4,,,28,,,23.2,26.8,27.9,,,31.4,,34.4,35.5,37.1,37.9,38.8,28.1,28.1,25.1,,,,,,,,,,,,,,,2.76,3.26,,4.28,4.11,5.01,,,,,,,,,
Barbados,,13.6,11.9,11.3,,,1.17,1.67,1.77,1.12,,5.39,5.5,3.68,,,,,,0.307,2.41,,10.3,,,,,,,0.535,2.29,2.73,6.05,6.23,7.13,7.88,4.82,2.54,1.25,2.76,2.2,4.28,,,6.52,4.15,1.96,3.45,1.61,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,0,0.666,0.532,1.85,1.85,1.35,1.08,,,0.67,0.711,0.574,1.73,2.06,1.51,0.519,0.857,1.3,
Belgium,,,,,,,,3.7,,2.38,1.85,2.96,2.88,6.02,6.71,7.13,5.7,4.31,3.11,,,3.47,4.91,2.33,2.96,2.92,2.46,,,0.058,0,0.0225,0.261,1.19,2.75,3.11,2.75,1.81,1.2,1.36,1.6,1.45,1.17,1.21,1.31,0.976,0.706,0.276,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612,3.4,6.32,,5.99,4.22,4.86,4.1,4.62,3.55,2.76,1.74,2.23,0.244,0.928,0.628,0.413,0.526,0.325,0.665,
Benin,,,,,,,,,,,,,,,49.9,49.2,51.1,,51.6,51.1,60.5,,50.8,46.8,45.5,43.1,40.9,37.5,,,,,,15.4,12.3,16.2,13.2,,9.86,5.77,5.08,5.06,4.34,,3.64,,,2.97,2.79,
Bhutan,,,,,,,,,78,75.2,,,,,,,,,,,,,,,,,,,46.1,45.1,42.4,39.7,,,,29.8,25.7,,19.6,14.8,12.5,11,8.53,9.05,,9.87,10.3,10.3,8.14,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247,0.0265,0.136,0.326,0.337,0.509,0.74,0.597,0.549,0.485,0.253,2.22,5.14,7.71,10.7,11.3,11.4,11,10,8.43,6.79,
Botswana,51,54.5,53.2,50.1,45.7,39,34.4,30.2,29.5,28.1,23.9,19.3,,14.4,13.6,11.3,10.1,9.23,8.75,8.11,8.44,6.26,6.91,7.31,7.33,16.9,16.4,,13.8,14.8,13.9,12.6,12.4,12.3,11.4,10.8,9.97,11.5,12.9,13.5,,,11.1,11,11,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,4.41,0.54,,5.75,,2.36,,3.93,,,,,,0.388,,
Brunei,,,,,,,,10.4,10.2,20,20.1,23.9,25.5,24.1,23.2,,19.9,,,,,10.1,8.33,5.69,5.58,2.02,,,,,,,,,,,,,,0.375,,,0.262,0.42,0.16,0.68,0.157,0.383,0.77,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,5,2.54,1.92,2.37,2.37,3.47,3.32,2.74,3.98,2.99,0.235,0.0629,0.372,0.187,0.209,2.54,4.42,5.78,7.81,10.3,11.7,,
