country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,9.61,8.41,,,6.96,9.33,,13.5,16.1,10.7,,12.8,13.2,,,,,,,,17.9,,,,,,,,,,,,16,,,,,,,,,,,50.7,53.1,55.3,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,81.6,87.8,,86.5,,,,91.6,91.1,89.9,94.4,93.8,93.7,94.1,94.4,99.2,,88.2,96.3,
Algeria,,9.25,8.96,10.7,13.5,17.2,17.7,20.5,24.5,29.1,31.2,,35.3,,42,44.4,,,,61.9,58.2,55.2,57.2,56.7,57,57.5,57.2,52.6,,55.3,51.8,54.8,60.7,61.4,62.3,72.5,66.1,60.5,55.3,62.2,58.3,70.4,115,85.3,79.3,76.2,79.1,,84.6,
Angola,,,,,,,,,,,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,17.7,,20.7,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,87.8,83.1,95.9,,103,,88.5,95.8,,108,98.6,
Argentina,16.8,16,,,17.4,18,,,,,,,,,,,,,,,,,,,,,,,,80.3,85.2,85.6,85.2,80.9,79.2,80.2,76.6,74.8,76.4,77.7,81.5,85.3,86.2,88.5,88.9,90.1,89.2,89.8,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,90.5,,,,,,,,86.5,85.5,89.3,96.8,100,95.3,90.4,106,96.9,,,,,,87.5,89,93.3,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,104,,,102,101,101,100,102,102,99.3,97.3,96.9,96.2,97.2,97.7,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,93.2,90.5,,88,86.5,,86.1,38.2,74,88.6,85.5,83.6,82.8,88.9,89.6,88.1,90.7,90.6,89.3,94.2,86.7,86.6,86.1,89,88.5,84.7,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,,,,,91.3,91.5,90.4,98.6,99.8,,92.2,,,,,,,,,
Bahrain,,53.7,45.8,52.8,53.3,58.1,49.4,59.5,60.7,65.8,50.5,59.5,68,77.6,83.9,,81.8,,83.5,,,92,97.8,102,,,,,,93.1,93.6,92.5,94.5,94.5,96.4,93.6,94.7,,95.6,94.9,92.4,92.5,89.1,93.1,96.3,99.2,97.7,95.2,94.3,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,53,55,59.4,60.6,60.8,56.2,54.2,54,54.9,,57,55.5,60.1,,69.8,,,79.4,80.4,88,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,101,99.1,94.5,101,108,106,109,102,99.1,101,,,,,,,,,,
Belarus,,97.7,96.7,100,105,103,106,101,99.7,98.6,97.3,99.8,100,100,99.6,99.8,100,,98.3,97.6,95.7,94.1,93.8,92,92.5,82.8,93.6,90.9,,99.2,96.1,98.8,99,101,106,111,116,142,104,,97.7,97.2,97.5,100,106,106,107,103,97.8,
Belgium,,,,,41,43.5,45.9,48.7,,,,,,,,,,,,,,,,108,109,,,,,,,,,,,,89.6,86.3,83.7,84.2,89.3,92.2,92.6,93.8,93.9,95,94.4,93.6,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,52.3,49.2,,,,49.9,52.1,54.3,,61.4,62,62.2,63.4,58.9,55.3,59.7,60.2,62.6,64.2,65.2,64,68,70.4,66.9,67.2,
Benin,,3.79,4.31,4.99,5.43,6.34,8.49,8.73,8.52,9.4,9.26,12.4,,17.9,16.3,15.7,13.6,9.47,,,6.57,,,,,,,,,,15.2,16.5,18,,,,25.5,,,,,37.4,,46.6,43.2,45.1,45.8,,,
Bhutan,,,,,,,1.5,2.34,3.35,3.44,,,,,,,,,4.38,,,,,5.12,6.07,,,,18,19.5,23.5,31.5,,,39.7,,43,47.9,49.3,54.6,64.6,65.7,67.7,70.1,76.3,,80.2,81.4,82.5,
Bolivia,,,,35.7,,,,,,,,,,,,,,,,,50.4,53.4,52,62.8,64.3,66.4,68.1,71.4,67,77,80.2,84.9,89.9,91.4,95.9,96.3,93.8,89.6,93,88.4,87.3,84.9,86,88.8,93.1,89,85.9,82.5,83.1,
Botswana,,,,,,,,,,,,,,,,40.1,37.6,36.9,17.5,55.2,53.4,73.1,75.5,88.5,86.4,87.6,,,91.5,90.4,92.3,91.6,89.6,89.3,90.4,89.6,92.4,89.6,90.9,,,,95.5,93.9,98,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9,,,,,71.6,,71.8,,,,,,,,
Brunei,,,,40.6,,30.8,42.1,41.9,40.1,41.4,36,41.5,43.5,55.5,59.5,,,,,,,54.5,53.6,55.4,66.3,,,,,,,,,,106,103,103,103,101,115,104,101,104,111,106,104,101,103,106,
Bulgaria,,85.1,82.2,82.8,83.9,86.2,89,88.3,93.3,83.6,83.4,80.7,82.6,93.8,94.4,90.7,87.8,85.4,90.3,101,88.9,84.3,81.5,74.9,75.1,71.4,90,91.3,,61.2,,,,,,,,,,,,,,,,,,47,,
Burkina Faso,,1.16,1.15,1.2,1.27,1.27,1.41,1.44,,1.53,2.08,1.92,2.09,2.36,2.31,,3.28,,4.19,4.92,5.12,5.16,5.75,5.73,5.97,,,,,,6.54,7.4,,8.13,,9.89,10.9,11.7,14.7,15.6,16.4,18.1,20.2,21.5,24.7,27,30.1,37,43,
Burundi,,0.96,0.855,,,,,1.15,1.24,1.17,1.11,1.43,1.86,1.48,1.31,1.3,1.39,2.25,2.46,2.74,3,,4.99,5.21,,,,,,,,,,,7.88,8.24,9.09,,12.1,16.4,16.6,18.5,20.3,23.8,26.7,33.9,40.4,39.7,32.6,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,,22.4,,16.5,23.6,28.8,31.5,34.5,36.7,41,46.2,,49.4,46.6,44.8,43.8,45.2,48.2,47.4,54.2,58.4,
Cameroon,,5.4,6.18,6.62,7.88,8.89,8.94,9.7,10.5,10.8,10.9,11.6,12.1,12.8,14,13.9,15,16.1,17.3,,22.6,21.5,,,,,,,,,,,,22.5,,,18.5,20,26.4,24.8,,40.9,,42.1,36.5,46.4,47.2,,,
Cape Verde,,,,,,,,,,,4.34,5.24,5.72,7.26,6.13,7.35,8.89,,15.1,,13.4,,,,24.4,,,,,,,,,51.8,52.6,53.9,71.5,68.8,73.4,73.7,72.7,80.6,80.8,80.5,78.1,77.2,79.2,81.3,68.2,
Central African Republic,,3.04,4,3.66,5.34,,,,6.67,,,8.58,11.2,10.3,,,13.8,9.34,7.86,8.12,7.05,7.35,,,,,,,,,,,,,,8.53,,,,9.25,,,12.7,,,,9.81,,,
Chad,,1.45,,,1.85,2.34,,,,,,,,,,,,,4.62,4.33,4.96,4.79,,,6.28,5.93,6.77,,,,8.81,,9.88,10.1,10.7,,11.7,,,17.1,16.1,16.5,15.7,17.4,,14.8,15,,,
Chile,54.7,61.9,66.6,68.3,67.9,66.7,67.1,69.2,,,,,,78.9,,,,,,,,,,,,,,86.9,,,,,,,,,,,,,,95,95.6,92.4,96.8,95.9,95.6,93.8,,
China,,,,,,,,,,,,,,,,,,,,,51.4,53.4,57.5,62.2,63.1,65.3,67.8,75.7,,,,,,,,,,98.5,102,101,99.1,99.5,,,,,,,,
Colombia,,,,,,,,,,,,,,33.3,36.6,37.8,42.1,43,43.2,43.1,,,,46.9,,,,,70.4,,,60.1,65.4,,70.8,75.9,78.2,80.2,82.6,89.4,92.5,91.2,88.2,74.2,74.9,74.6,74.1,73.7,75.7,
Comoros,,,,,,,,,,,,28.6,,,,,34.5,32.6,,,22.2,,21.2,17.6,,,,,,,,,28,31.5,34.4,,,,,,,,,45.7,48.3,,,,,
"Congo, Dem. Rep.",,12,13.4,,13.6,,,,,,,,,,,,,,,,,,10.7,12.1,15.9,,,,,,,,,,,,,,,,,,41.5,42.3,50.4,,,,,
"Congo, Rep.",,12.1,14.7,19.5,24.2,27.5,30,37.6,40.6,44.6,,48.1,45.5,37.1,39.3,,,35.5,,27,,,,33.2,24.4,,29.5,,,,27.2,33.5,24.2,27.1,40.2,,,,43.2,44.3,43.4,45.4,50.1,,,,,,,
Costa Rica,19.4,21.2,26,,,,,,,,31.3,32.6,31.4,28.2,26.9,28.2,28.4,27.1,27.8,26.3,28.1,29.1,31.3,29.7,31.5,31.6,31.3,,,38,43.7,42.7,43.9,,52,56.2,55.8,56.4,58,54.8,54.1,53.6,58.5,55.8,58.8,59,56.5,60,70.3,
Cote d'Ivoire,,8.36,,10.4,9.84,10.8,10.3,11,11.8,12.3,13.6,15.6,16.3,17.1,17.1,16.9,16.7,15.1,15.4,16.3,16.8,19.1,18.1,18.6,18.4,18.3,17.5,21.5,22.5,,23.7,23,24.8,,,,26,26.1,34.1,32.4,,27.8,31,,31.7,34,38.6,45.8,49.4,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,90.1,89.1,85.9,82.4,,85.5,89.8,89.9,91.7,90.1,,94.9,97.9,97.2,98.9,101,99.7,102,96.8,,,,93.1,95.6,,
Cuba,,10.1,9.89,12.3,14.4,18.1,20.8,24.8,48.2,62.4,77.5,78.8,84.4,79.8,78.8,76.2,82.5,75.4,76.3,79,80.7,84.7,80.6,77.7,75.7,69.2,67,80.8,,84.3,94.9,83.1,86.4,89.6,92.1,101,97.8,95.8,96.5,93.9,92.6,85.9,92.3,91.6,92.5,89.9,89.2,93.1,93,
Cyprus,,47.1,48.2,63.7,62.3,58.3,59.3,58.5,61.3,64.2,57.2,63.4,68.1,62.6,82.5,72,71.6,69,53.3,,61.9,,,93.2,98.6,90.9,91.7,92.9,,88.6,91.3,91.5,101,95.9,98.7,99.8,99.8,86.6,99.7,101,94.7,92.9,95.6,96.6,101,97.6,98.3,98.9,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,107,99,102,,,,,,92,91.6,91.8,92,99.2,94.1,95,94.7,86.6,88.6,92.2,96.8,98.1,98.9,97,95.5,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,97.1,97.8,99.7,96.4,97.6,95.8,97.6,99.5,99.4,,
Djibouti,,,,4.01,4.24,4.54,3.15,,,,,,,,,,7.77,8.7,8.48,8.82,,,8.69,7.49,,,10.4,11.2,,13.9,14.5,,17.3,,,19,20.6,21.6,22.6,32.1,,50.2,47.8,43.1,42.2,44.6,43.3,47.1,49.2,49.9
Dominica,,,,,,,,,,,,,,,,,,,90.4,,,,,,,,,,,,,,,106,102,92.4,85.9,81.3,79.2,82.2,78,80,82.3,74,87.2,90.7,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,48.1,,,,,57.5,60.8,,64.1,,72.4,75.3,,80.5,85.7,82.2,83.5,76.5,75.8,77.9,77.7,78.4,84.6,85.4,89.3,
Ecuador,,23.8,25.1,,,31.8,35.7,37.4,40.5,42.9,,46.2,48.6,49.8,48.9,51.6,,,,,,,,,48.6,,,,,56.7,57.1,56.8,57.2,57.3,58.6,60.7,62.4,64.3,,79.6,84.9,82.4,84,91.3,98.2,101,100,97.8,96.8,
Egypt,,,,,,34.9,37.1,41.6,48.4,46.6,47.5,,,48,,,,,,,,,,,69.2,,,,,,,,84.5,80.3,78.2,,,,,71.6,,,,77.7,77.2,,83.5,82.4,84.6,
El Salvador,15.5,17.3,20.5,24.2,29.5,33.6,35.9,37.6,,,,32.8,36.9,39,39.6,,,37.3,39.9,41.8,,44.1,45.3,47.7,,53.9,53.9,,,,,63.3,67.9,72.7,,73.7,70.9,70.1,70.4,72.2,77.7,81,82.7,80.7,80.8,83.1,79.6,77.8,77.4,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,19.7,,,,,,26.9,28.8,,,24.2,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,19.3,23.7,26.1,25.1,,37.2,37.3,35.4,39.9,37.3,39,,43.6,46.8,48.7,55.1,58.3,,,,,52.4,,47.2,51.2,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,89.9,94.6,,,91.3,90,90.1,94,,100,105,107,,104,98.9,97.7,97.5,101,105,105,107,108,105,,
