country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,4.1,,,,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7,,,,,,,81.7,,,85.2,87.2,,,,,,
Algeria,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,47.3,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,51.5,43.9,50,,,,,,,,72.8,72.5,72.3,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,
Argentina,19.3,,,,,,,,,,26.5,,,,,,,,,,,37.4,,,,,,,,,,45.9,,56.4,,,47.1,,49.6,50.3,51.3,52.2,53.3,55,54.4,54.6,54.7,,57.2
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1,,,,,,,,,,96.6,,,,97.2,,96.6,
Australia,,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7,90.9,91.1,91.7,92.3,92.2,93.2,93.6,94.4,91.1,91.5,92.7,92.8,93,93.4
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,,,,,,,,92.7,92.7,95.5,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.5,
Bahamas,,,,,,,,,,,,,,,,,,,,,71.1,,,,,,,,,,90.1,,,,,,,,,,89.1,,,,,,,,
Bahrain,,13,,,,,,,,,,,,,,,,,,,,35.4,,,,,,,,,,68.3,,,,,,,,,54.9,,,,,,69.2,72.3,79.9
Bangladesh,,,,,7.7,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,26.7,,,,,,,,,,35.3,36,33.7,34.9,40.8,41.5,42.6,43.6
Barbados,65.3,,,,,,,,,,66.8,,,,,,,,,,,,,,,,,,,,78.1,,,,,,,,,,,,,,,,,,
Belarus,34.8,,,,,,,,,,,,,,,,,,,58.4,,,,,,,,,,,,,,,,,,,,91.9,,,,,,,,,
Belgium,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8,,78.3,79.4,79.6,80.1,80.3,81.6,82.3,84.4,84.8,,
Belize,9.26,,,,,,,,,,14,,,,,,,,,,,21.8,,,,,,,,,,,,,,24.8,,,,,83.9,,,,,,,,
Benin,,,,,,,,,,2.5,,,,,,,,,,,,,9.56,,,,,,,,,,14.3,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,
Bolivia,,,,,,,22.9,,,,,,,,,,,,,,,,44.7,,,,,,,,,45.1,,,,,42.1,,44.6,46.9,,,51.9,,,58.8,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,56.8,,,,,81.2,,
Botswana,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,11.5,,,,,,10,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,42.4,,45.5,47.6,49.5,50.1,50.6,53.6,54.6,55.8,56.3,57.6,58.2,59.1,60
Brunei,,19.5,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,25.9,,,,,,,,,,,,,,,,,50.8,,,,,,,,,87.9,,,,,91.3,92,92.2,92.6,93.2,93.7,94.3,94.3,94.2,94.8,95.1,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,2.04,,,,,,,8.49,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,5.93,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,17,15.5,,,,,12.2,12.3,,,
Cameroon,,,,,,,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,,,,,
Canada,60.2,,63.5,,,,67.5,,,,,74.3,,,,,78.9,,,,,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,,,
Central African Republic,,,,,,,,,,,,,,,,,,,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
Chile,30.4,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,76,,,75.8,74.4,,75,72.8,,76.2,,78.5,,79.6,
China,,,,,,,,,,,,,22.8,,,,,,,,36.4,,,,,,,,,,52.3,,,,,,,,,,65.3,,,,,,,,
Colombia,,,,15.9,,,,,,,,,,,,,,,,,,,,41.3,,,,,,,,,,,36.3,41,37.9,41.9,43.2,42.8,44.2,45.4,46.4,48.1,49.5,50.3,52.1,,54.4
"Congo, Dem. Rep.",,,,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,50.7,,
"Congo, Rep.",,,,,,,,,,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,49.8,50.1,49,50.1,50.8,,54.7,53.1,53.1,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,78.3,,,,,,,,,,89.2,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8,,,,,,,,,,81.1,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,51.3,,,,,,,,,,,,67.4,69.2,71.7,73.4,74,74.5,75.8,77.2,78.7,79.7,79,78.6,80.3,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,67.9,,,,,,,,,,,,,,,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,,
Denmark,,,,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,,,99.7,100,,,,100,,,,99.6,99.6,91.5,92.1,92.4,,93.8
Dominica,6.3,,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,26.6,,,,,,,,,,,,,,,,,
Dominican Republic,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,52.6,53.8,54.4,55.2,56.4,56.6,,,
Ecuador,,,,,14.4,,,,,,,,23.5,,,,,,,,43.7,,,,,,,,,,,,,,,,,43.1,43,43,44.7,45.3,46.8,47.9,48.8,52.2,51.9,52.9,
Egypt,,,,,,,,,,,,,,,,,19.4,,,,,,,,,,,,,,,,,,,,44.4,,,,,,,,,,,73,
El Salvador,,7.91,,,,,,,,,,,,,,,,,,,,,16.3,,,,,,,,,,,,,,36.9,34.5,36.6,37.5,41.7,38.6,39.8,41,,,43.2,42.8,
Estonia,,,,,,,,,,,,,,,,,,,,58.8,,,,,,,,,,,89.4,,,,,,,,,,,,,,,,,,
Eswatini,,,,,,,11.9,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22,,,,12.5,,,,,,,
Fiji,,,,,,,14,,,,,,,,,,29.4,,,,,,,,,,45.1,,,,,,,,,,,60.3,,,,,,,,,,87.3,
Finland,,,,,,,,,,,,,,,,44.4,,,,,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,48.4,,,,,,,,,,,,,,74.1,74.7,,76.9,77.9,78.4,79.2,79.8,80.5,81.5,82.6,83.2,83.7,84.2,
Gambia,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1,,,,,,,,,,95.6,,96.7,,98,97.5,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,96.9,96.9,97.1,96.7,96.7,96.5,96.7,96.7,96.7,96.8,96.7,96.5,,96.3
Ghana,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,,,,,,,,
Greece,,,,,,,,,,,,27.3,,,,,,,,,,37.4,,,,,,,,,,,,,,58.3,53.5,61.6,62,,63.1,,,,67.5,69.2,64.8,,
Grenada,6.77,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
