country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,39.9,,,43.5,45.3,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66,,25.4,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,47.5,47.3,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,42.2,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.6,,,,,,,,,,90.2,,,,91.8,,90.1,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,65,66.7,68.2,70.1,70.9,72.8,74.1,76.5,72,71.2,75.6,76.4,77.3,78.3
Austria,,38.3,,,,,,,,,,50.7,,,,,,,,,,,,,,,,,,,,,,,,74.2,,73.6,72.5,75.8,76.6,76.4,77,77.3,78.1,79,79.2,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5,,,,,,,,82.9,83,88.6,88.6,88.7,88.7,88.7,88.7,88.7,88.7,88.5,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9,,,,,,,,,,81.9,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,,,,,,,,42.1,,,,,,54,56.5,64.9
Bangladesh,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,17.1,,,,,,,,,,24.2,24.7,22.2,23.2,28.6,29,29.8,30.5
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.9,,,,,,,,,
