country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,31.4,41.4,43.6,42.8,43.9,,,31.9,32.5,33.6,33.9,
Albania,,,,,,,,,,,,,,,,,,,,15.8,16.5,,16.4,,,,,14.5,13.8,13.6,13.6,13.2,12.9,12.3,11.9,10.8,10.1,9.88,
Algeria,,,,,,,,,,,,,,17.2,17.1,17.2,17.8,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,6.73,6.81,,,6.64,6.81,7.23,7.26,,,,,,,
Angola,,,,,,,,,,,,,,,,,,20.7,,,,,,,,,,,,36.9,33.3,,,,,28.7,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,12,,,,,,,,10.5,15.7,16,,10.9,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,12.5,13.7,12.5,19.3,18.7,19.2,20.2,20.3,19,17.9,16.3,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
Austria,,,,,,,,,,,,,,,8.32,9.17,8.76,8.71,8.89,,,8.98,9.14,9.3,9.41,9.22,9.16,9.12,8.81,8.5,8.32,8.19,8.16,8,7.9,7.79,7.73,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94,6.56,6.99,
Bahamas,,,,,,,,,,,,,,,,,,,15.6,,,15.2,,16.6,17,13.1,12.5,12.7,15.7,12,11.9,16,13.6,13.3,14.1,13.1,14.8,12.6,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11.4,11.1,10.9,10.7,10.6,11,11.3,
Bangladesh,,,,,,,,,,,,,,,,,,42.1,43,45,45.1,41.4,36,33.7,28.3,28.3,28.6,29.6,29.9,31,32.9,34,36.9,,,41.1,36.7,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,21.7,21.3,20.5,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.71,7.97,8.25,8.18,8.24,8.42,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,7.99,7.94,7.97,8.14,8.1,9.23,9.15,9.3,8.86,8.69,,
Belize,,,,,,,,,,,,,,,,,,,24.1,23.3,22.8,,22.8,19,19.6,18.2,18.1,18.1,17.8,17.8,17.1,17.5,18.4,,16.8,19.3,17.1,17.3,
Benin,,,,,,,,,,,,,,,,,,,27.1,27.1,29.6,,25.8,27.1,,,,,,,,,10.9,11,,,,,
Bhutan,,,,,,,,,,,,,,,,,,38.6,32.2,32.5,33.9,,,,31.5,30,,31.1,25.7,24.7,22,22.6,16.2,16.6,13.3,13.5,12.9,12.6,
Bolivia,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.67,9.47,9.17,9.16,8.75,8.49,
Brazil,,,,,,,,,,,,,,,,,,,23.3,22.6,20.4,19.5,16.9,16.1,15.6,,19.6,18.4,18.4,18,17.6,17,18.5,17.8,17.5,17.4,17.6,,
Brunei,,,,,,,,,,,,,,,12.6,,,11.7,12,11.9,11.9,12.2,11.4,10.7,10.5,,,,,,,,,10.3,10.2,9.99,10.1,9.57,
Bulgaria,,,,,,,,,,,,,,,,11.1,10.8,11.3,13.4,12.1,13,12.7,13.1,12.8,12.4,12.1,11.9,11.7,12.3,12.4,12.3,12.6,13.6,13.4,,12.9,12.7,,
Burkina Faso,,,,,,,,,,,,,,,,,,,29.2,,,,,,,,,,30,,,,,,,25,23.3,23.1,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,42.5,41,,54.3,35.7,
Cambodia,,,,,,,,,,,,,,,,,,16.6,16.4,16.6,18.3,21.4,23.9,24.7,27.6,31.7,30.6,27,25.9,23.9,,20.2,20.1,19.8,20,20.4,20.7,21.9,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,25,24.2,,,
Canada,,,,,,,,,,,,,18,18.1,18.7,19,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,40.2,31.8,31,24.5,,20.1,19.2,18.9,18.5,18,17.5,18.1,16.6,,,15.9,15.7,
Chad,,,,,,,,,,,,,,,,,,,40.9,36.1,,,,,,,,,,42.7,43.5,41.6,,,35.1,35.4,,,
Chile,,,,,,,,,,,,,,,,,,,32.1,32.6,,35,,26.7,25.8,25.4,24.4,24,22.4,23.3,21.9,21,21,19.9,19.2,,18.3,,
China,,,,,,,,,,,,,,,16.1,16.8,17.2,,17.1,17.6,18.6,18.6,19.6,,,17,16.4,15.8,15.5,14.9,14.5,13.8,13.4,12.6,12.5,12.3,12.3,12.3,
Colombia,,,,,,,,,,,,,,,,,,,,,,21.1,,24.8,,,28.4,,29.8,30.1,26.5,26.7,26.6,26.3,26.7,26.2,26.4,26.3,
Comoros,,,,,,,,,,,,,,,,,,,,,,14.7,12.9,16.2,,,,,,,15,,10.7,10.6,,,6.04,9.16,
"Congo, Rep.",,,,,,,,,,,,,,,,34.6,,,,,,,,45.3,,,,,,,,19.5,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,18.6,19.7,18.8,20.2,19,,,,18.1,18.2,15.8,16,15.7,15.2,,14.1,14.4,14,12.8,13.4,12.5,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,34.3,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,15.4,14.8,13.7,13.9,13.2,12.8,12.4,11.9,,11.9,11.5,11.3,11.1,9.73,9.43,9.16,8.74,8.41,8.1,7.77,7.56,,,
Cuba,,,,,,,,,,,,,,,,10.3,11.1,,12.3,12.8,11.6,12,13.1,11.7,10.6,9.89,9.53,9.44,9.49,10.2,10.4,9.4,9.05,8.89,9.43,9.74,9.73,9.71,
Cyprus,,,,,,,,,,,,,,,,,,,,,15.2,12.8,12.6,11.8,11.6,11.3,10.9,10.4,10,9.79,9.81,9.76,9.46,9.67,10.5,8.04,8.95,,
Czech Republic,,,,,,,,,,,,,13.2,13.2,13.1,12.1,,,,,13.3,13.1,12.9,12.3,12.3,11.2,12.3,11.8,11.5,11.2,11.1,11.1,11.3,,,,,,
Denmark,,,,,,,,,,,,,8.23,8.1,8.75,,,10.6,10.5,10.1,10,,,,,,,,,,,,,10.1,,,,,
Djibouti,,,,,,,,,,,,,,,,22.9,,,26.1,,,,,,,,,,33.2,,31.6,32.3,29.9,28.5,28,28.9,28.7,28.8,30
Dominica,,,,,,,,,,,,,,,,,,,20.7,21.5,19.9,16.6,16.6,16.5,14.6,21.2,20.6,17.5,16.8,14.9,14.7,,,14,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,26,25.5,,25.3,22.1,25.4,29.9,28.8,27.3,27.3,24.5,21.1,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,13.3,13.3,13.3,13,13.1,13.9,14.4,14.7,,23.6,22.2,22.4,23.2,24.4,24.5,23.8,23.7,22.8,22.8,
Egypt,,,,,,,,,,,,,,,21,20.3,,,22,21.7,21.2,22.1,20.3,20.1,,,,,16,,,,,,,16.9,17.1,16.8,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,31.5,32.2,30.6,28.9,27.9,25.7,24.8,,25.1,,,,32.5,29.6,28.9,27.8,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,24.9,24.6,24.3,,,,,,,,,,,,,,16.3,,,,
Eritrea,,,,,,,,,,,,,,,,40.1,46.7,,55.5,56.6,55.6,52.9,53.7,54.9,56.8,59.4,56.9,56,45.1,41.2,41.7,43.4,39.8,40.7,41.3,,40.3,40.3,
Estonia,,,,,,,,,,,,,,,,10.3,,,11.1,10.2,10.3,,,,,11.5,9.98,9.35,9.06,8.4,8.31,8.02,7.91,,,8.5,8.64,,
Eswatini,,,,,,,,,,,,,,,,22.3,,,,,,,19.3,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,33.7,32.6,31.5,34.9,,,27.7,,,,,,,,49.9,50,45.5,43.9,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,24.8,22.4,,,,19.6,,,,26.2,,,,,,,
Finland,,,,,,,,,,,,,,,,,,10.8,10.3,10.4,10.6,10.4,9.55,9.53,9.54,,9.76,10.5,9.94,9.65,9.19,8.81,9.03,8.94,,9,8.93,,
France,,,,,,,,,,,,,,,,,,,13,13.8,13.1,13.1,13,13.3,13.2,13.3,13.4,13.7,14,14.2,14.2,14.8,14.7,,,,,,
Gambia,,,,,,,,,,,,,,,,,,17.3,24.2,22.3,21,19.8,21.6,22.9,21.8,24.2,21.7,24.4,26.6,,37.8,32.6,30.9,31.1,23.5,,22.5,19.3,
Georgia,,,,,,,,,,,,,,,,,,,,8.52,,,,,,,,7.14,7.57,,,,7.34,7.19,7.19,7.41,7.55,8.28,
Germany,,,,,,,,,,,,,14,14.6,14.5,14.9,14.9,15.1,15.1,13.7,13.5,13.7,13.5,13.1,13,12.8,12.5,12.2,12.2,12,11.9,11.8,11.8,11.3,11,11,11.1,,
Ghana,,,,,,,,,,,,,,,,,,,19.9,19.3,18.2,18.2,17.4,17.9,18.1,18.1,16.9,16.6,17.4,,16.2,16.1,15.5,14.6,15.4,15,13.4,13.4,13.1
Greece,,,,,,,,,,,,,12.7,12.3,13.6,9.97,11.5,10.8,10.3,9.93,9.59,9.14,8.62,8.13,7.71,7.96,8.09,,,,,,7.35,7.84,8.14,7.69,7.8,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,19.4,,12.9,,,,,,,,,12.5,11.9,11.9,11.8,12.8,
Guatemala,,,,,,,,,,,,,,,,16.8,,14.7,14.6,15.2,14.9,15.2,,16.7,17,17.3,17,17.8,17.2,15.4,14.8,14.9,13.8,14.3,,14.2,12.3,12.4,
Guinea,,,,,,,,,,,,,,,,,,,31,33.6,35.2,33.1,32.8,,,40.3,43.8,36.6,,,37,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,17.1,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,16.5,,18.1,,,20.2,20.9,21.5,21.3,19.6,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,,,,,,,18.5,18.3,18.7,,
Hungary,,,,,,,,,,,,,,10.4,,,9.69,10.9,10.7,10.7,10.5,9.96,9.67,9.68,9.87,9.68,9.73,10.2,10.2,10.2,9.91,9.93,9.68,10.2,9.89,9.72,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89,10,9.88,,,,
India,,,,,,,,,,,,,,36.9,,39,37.8,,,35.6,35.5,35.7,,37.2,,,,,29.7,31.1,32.9,,29.8,30.5,30.5,27,25.9,24.9,
Indonesia,,,,,,,,,,,,,,,15.7,,,16.5,16.3,15.5,15.1,13.9,15,14.9,12.9,12.9,13.7,12.5,13,12.9,14.3,16.1,14.4,14.7,,13.9,15.2,15.4,
Iran,,,,,,,,,,,,,,,,,31.9,,,,,,,19.4,18.7,19,20.1,21.7,,,,,16.3,16.1,,21.1,21.3,,
Iraq,,,,,,,,,,,,,,,,,,,22,22,,,17.6,18.8,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,11.7,11.9,11.2,11,10.9,11.1,10.8,11.3,11.2,11.2,11.3,,,,16.6,15.9,15.5,15.1,,,
Italy,,,,,,,,,,,,,,8,9.9,10.8,,9.83,10.3,10.4,9.93,9.94,10.3,10.1,9.8,9.93,9.07,,,,,,10.8,10.8,10.7,10.2,10.2,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12.8,12.6,12.4,12.3,,
Jordan,,,,,,,,,,,,,,,,,,,,,,20,19.9,,,,,,,,,,,18.9,,,13,14.6,
Kenya,,,,,,,,,,,,,,,,,,,,,,,50.6,39.5,42,41.5,42,43.5,43.3,,,56.6,,31.4,30.7,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,19.1,24.4,23.1,17.7,19.1,17.7,16.5,,,,,,18,,17.5,14.9,,
Kuwait,,,,,,,,,,,,,,,,12.9,,12.3,12,12.3,11.9,11.7,11.5,11.4,,,10.7,10.2,9.29,,,8.07,,,,,,,
Lao,,,,,,,,,,,,,,,,,,19,19.8,21.6,23.1,24,24.8,26.8,23,23.4,,21.8,21.8,19.9,19.4,18.1,17.4,18.1,18.5,17.9,17.3,17.3,
