country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,8.39,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,26.6,,,,,,46.2,46.1,45.4,46.7,48.4,50.1,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,68.4,,,,,,,,,,,,84.4,86.4,87.4,86.5,86.7,86.6,
Algeria,,9.77,,,,,,,,,,,,,39,,,,,,,,,,,52.5,53.1,52.9,,,,,,,,,,,,,,,,,,,,,,
Angola,,,4.46,,,,,,,,,,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,9.15,9.63,11.3,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.7,,,,,,,,,92.5,,,,,83.4,86,,87.7,88.8,
Argentina,,,,,40.5,42,,,,,,,,,,,,,,,,,,,,,,,74.4,76.3,78.5,78.9,78.8,78.5,78.5,77.9,77.8,77.7,78.7,80.6,82.1,83.5,85.9,87.1,87.6,88.4,89.9,90.8,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5,88.9,91.6,86.1,92.3,92.5,87.7,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,87.3,87.3,87.4,89.1,,,,,,,,,,,,,,,,,,,93.2,92.8,92.3,,
Austria,,68.6,68.6,,68.2,70.2,70.5,,,,,,,,,,,,,,,,,,,,,,,88.5,88.4,,88.4,88.5,88.6,89.2,89.3,88.2,88.2,87.9,86.8,86.6,86.1,86.2,86.6,86.7,87.4,87,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.5,
Bahamas,,,,,,,,,,,,90.3,,,90.4,,,,,,,,89.2,89.5,85.9,,,,,70.7,,,,,79.4,82.1,83.1,85.5,84,81.5,79.8,74.7,75.7,68.5,72.6,58.9,66.7,65.1,62.5,
Bahrain,,,,,,,,44.5,47.3,50.8,,,58.8,69.9,67.1,72.6,76.8,73.8,,75.8,,,84.7,,90.5,91.9,,85.4,85.4,84.8,88.2,89,86,85.8,86.8,87.8,88.2,,84.7,85.1,86.1,87.5,84.1,85.4,88.3,91.1,93.1,92.4,90.2,
Bangladesh,,,,,,,16.5,14.5,,,,16,,19.4,,,,19.5,,,,,,,,,,,42,45.1,46.5,47.7,48.9,48.6,45.3,43.9,44.6,45.4,,46.3,47.7,47.3,49.7,54.3,,59.1,65.2,63.7,66.5,
Barbados,,,,,,,,,80.4,,,84.6,82.9,82.9,84,87.8,,,,81.8,78.9,,,,,,,,,94.9,91.9,86.5,87.6,89.5,93.1,92.2,91.7,92.1,88.2,84.4,85.2,88.8,,,99.3,98.1,96,95.9,93.6,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,95.2,96.4,97.4,98.1,98.5,97.6,96.4,95.6,
Belgium,,,,,,,,78,,,,,,,,,,,,,,,,96,98,99,97.7,,,93.6,93.2,94.1,94.6,96.3,97.7,97.5,98,96.4,94.6,93.5,92.7,92.6,93.2,93.6,93.8,93.7,94.1,94.9,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,58.6,60.2,,68.1,,65,64.7,64.2,63.4,63.7,63.6,65.3,67.5,69.1,69.2,69.4,72.1,70.3,71.1,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,18.9,,,,,,,,,,,,43.4,,46.6,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,19.6,22.1,24.2,,,,33.9,36.8,,44.1,45.8,50.1,51.6,55.1,58.2,61.7,63.7,64.5,67.1,70.2,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4,65.1,69.5,72,74.1,74.7,74.1,73.2,72.1,72.8,72.8,72.4,73.6,75.2,75.9,76.7,76.9,76.2,76.6,
Botswana,,6.89,7.63,8.97,9.98,11.4,12.8,13.7,13.6,13.5,15.3,16.6,,,20,22.7,24.2,,,28.6,31.8,39.7,40.2,43.8,43.1,43.1,,,62.1,56.6,59.3,,58.1,59.8,,,,,,,,,,,,,,,,
