country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,1.27,1.95,,1.98,2.72,3.42,3.72,4.46,
Albania,,,,,,,,,4.59,,5.74,5.82,6.14,6.61,7.26,7.76,8.27,,,,8.79,
Algeria,,,,,,,,0,0,0.157,0.169,0.134,0.0771,0.271,,,,,,,,
Andorra,,,,,3.8,4.23,4.68,4.12,3.7,3.12,2.67,2.38,2.04,,2.5,2.41,2.18,2.84,2.78,2.83,3.06,
Angola,18.1,,,,,,,,,,10.9,10.2,10.6,11,,,,,21.5,,,
Antigua and Barbuda,,,20.1,,,,,,,19,,,18.3,19.5,16.7,,17.9,18.4,,18.2,18,
Argentina,27,24.8,25.1,25.1,24.9,24.9,25.4,25.9,26.1,26.2,26.3,26,25.4,25.5,26.1,26.2,26.2,26.5,26.5,26.8,,
Armenia,,,,,,,,,,,,,,1.71,,2.3,2.15,2.31,,,2.47,
Australia,,,,,,,,,,,,,,,,,,41.1,40.5,40.6,,
Austria,,8.48,8.37,,8.65,8.81,9.27,9.75,9.62,9.68,9.56,9.67,9.88,9.49,9.6,9.87,9.96,10.1,10.4,10.4,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,12.9,
Bahamas,,,,,27.9,,,28.9,27.6,31.7,31.5,31.6,30.5,27.4,31.1,24.1,29.4,17.7,27.4,24.4,28.4,
Bahrain,,13.2,14.3,15.2,14.9,15.2,15.5,15.9,16.5,,18.6,19.9,21.2,22.3,23.2,23.3,24.3,25.2,25.7,25.8,25.6,
Bangladesh,95.2,95.6,95.7,95.9,96.1,95.9,95.7,96,95.8,95.6,95.3,95.3,95.1,94.8,94.5,94.6,,94.4,94,93.9,,
Barbados,,,6.27,,5.93,5.44,4.8,5.04,5.14,5.13,5.45,5.45,5.56,5.32,,,6.29,6.44,6.38,6.63,6.69,
Belarus,,,,,,,,,,,0.395,0.432,0.559,0.506,0.421,0.452,0.467,0.489,0.471,0.464,0.461,
Belgium,,60.8,59.4,57.8,57.4,57.5,57.8,57.3,57.1,57.3,57.6,57.4,57.6,58.1,57.9,58.5,58.7,58.7,58.3,58.7,,
Belize,,,76.5,73.9,,,,,71,73.5,70.1,64.4,63.2,63,63.2,65.9,62.1,60.6,,70.4,,
Benin,,18.3,16.3,17.5,15.8,18.9,19.7,,,,,,,18.7,,18,13,15.5,15.6,,,
Bhutan,,,,,,,,8.03,7.4,,9.17,11.1,11.5,11.3,10.2,12.5,11.7,11.1,10.1,11.4,10.3,
Bolivia,,,16.9,15.5,14.4,13.6,13.5,13.5,13.2,13.5,13.5,13.4,12.6,12.8,12.6,12.5,12.2,11.9,11.8,11.7,11.5,
Bosnia and Herzegovina,,,,,,,,,,,,,1.53,1.46,1.73,1.89,1.89,2.01,2.37,2.59,2.75,
Botswana,5.46,4.08,4.07,4.04,,,,,4.02,3.03,,,,,,,,,,,,
Brazil,,,,,11,10.9,12.3,12.5,,11.4,12.6,13.1,13.6,14.3,15,12.9,13.4,13.9,13.8,13.7,,
Brunei,11.6,11,10.7,11.4,11.2,12.2,12.9,12.8,12.9,12.8,12.9,13.3,13.5,,14.8,15.6,16.8,16,15.7,15.5,15.5,
Bulgaria,,0.579,0.644,0.698,0.786,0.831,0.85,0.923,,0.954,1.01,1.05,1.06,1.12,1.03,5.17,5.37,3.54,2.43,2.87,,
Burkina Faso,,33.1,34.2,34.4,,,,39.1,38.8,38.6,42.8,42,41.9,41.2,41.1,41.1,38.8,39.6,39.7,40.9,39.9,
Burundi,,,,,,11.5,9.05,10.4,10.7,6.96,,8.81,8.8,9.25,8.32,9.06,8.81,8.88,8.49,7.47,7.2,
Cambodia,,0,0.538,,0.375,0.317,,,1.23,1.97,,,,,,,,,,,,
Cameroon,28,,32.1,36.7,,,,,28.2,27,29.4,,,25.4,26.5,27,27.7,28,28.3,,,
Canada,5.89,6.7,6.64,,,,,5.95,5.82,,6.54,7.08,7.2,7.36,6.98,7.18,7.54,7.85,7.75,8.06,,
Cape Verde,,,0,0,0,0,0,0,13.8,12,14.3,12.5,13.4,13.7,13.6,10.8,9.37,8.4,7.99,7.78,7.44,
Central African Republic,,,,,,,,,,,,9.68,,,,,,,22.1,23.5,,
Chad,,14,14.9,,17.1,,,,23.1,,,,14.8,15.2,16.3,,,15.4,15.5,,,
Chile,45.9,,,,48.2,,51.2,52.2,53.7,54.6,56.1,57,57.9,59,60.4,60.5,61,61.3,61.7,61.9,,
China,,,,,,,,,7.48,8.32,9.06,9.59,9.94,10.7,11,9.83,10.2,10.6,11.2,11.9,12.8,
Colombia,33.4,32.4,30.1,,24.1,,22.4,23.8,23.7,24.1,24,22.2,21,20.4,20.2,20.9,20.3,21.2,20.7,20.6,20.4,
Comoros,,46.2,,,34.1,42.1,41.1,,,,,,,,,50.4,49.7,,,52.4,55,
"Congo, Dem. Rep.",,,,,,,,,,,,,16.5,,15,16.5,18.5,,,,,
"Congo, Rep.",,,,,14,13.2,21.8,,,,,,,,,,,,,,,
Costa Rica,,12.4,13.2,12.5,12.5,,12.6,,9.8,10,10.3,9.84,9.66,9.61,9.54,9.45,9.14,9.06,9.02,8.79,8.75,
Cote d'Ivoire,,36.2,,,,,,,,,,,,,,,51.1,52.1,51.8,50.6,50.6,
Croatia,,0.654,0.763,0.856,0.914,1.02,,1.22,1.28,1.3,1.35,1.42,1.47,1.53,1.62,2.2,2.21,2.25,2.35,2.31,,
Cyprus,,10,9.99,10.6,11.1,11.8,12.8,13.5,14,14.4,15.8,17.1,17.5,17.9,18.1,17.8,17.2,17.5,17.8,18.1,,
Czech Republic,,5.83,5.66,6.33,6.65,7.09,7.05,7.18,7.36,7.79,8.05,8.38,,8.45,8.17,9.29,9.13,9.21,9.31,9.55,,
Denmark,,11.8,11.5,2.36,11.1,,13,13,13.5,13.4,,14.1,13.8,13.8,13.8,12.9,13.3,13.6,14.7,15.2,,
Djibouti,,13.8,9.07,14.6,15.3,,21,23.3,17.1,15.8,12.2,11.1,,10,10.5,9.74,8.87,9.07,9.22,9.32,10.5,11.6
Dominica,,26.7,,,33.9,32.5,32.8,32.8,32.2,25.6,26.5,27.1,28.7,29.1,,,,31.1,,,,
Dominican Republic,,,,,23.1,,,24.6,,,22.1,23,21.6,20.8,20,19.7,19.5,18.7,18,17.8,17.9,
Ecuador,,24.3,24,24.6,32.3,33.1,33.3,33.4,32.9,32,,33,33.4,32.9,31.8,29.7,28.9,26.9,26.1,26.1,26,
Egypt,,,,,,6,5.49,,,,,,,,,,6.98,,7.26,7.42,7.79,
El Salvador,24.9,,23,21.4,,20.2,,17.8,18,18.5,18,16.9,16.1,16.3,16.6,16.3,18,17.1,17.2,16.6,16.6,
Equatorial Guinea,,23.2,,,,,,,,,,,,,,,,,,,,
Eritrea,,6.51,5.62,5.99,5.71,5.82,6.17,5.81,5.44,5.19,5.75,5.34,4.55,4.77,,5.61,5.62,7.16,,7.33,7.47,
Estonia,,1.03,1.08,1.44,1.63,1.82,1.93,2.01,2.2,2.34,2.64,3.49,3.31,3.42,3.49,3.72,3.85,4.17,3.47,3.56,,
Eswatini,,,0,,0,0,0,0,0,0,,1.38,1.96,2.85,2.26,2.76,2.38,2.3,2.03,,,
Ethiopia,,,,,,,,,,,,,14.4,11.3,,,,6.62,,,,
Fiji,,,,,,,91.9,,,,7.87,,,,,,,,,,,
Finland,5.68,5.91,7.83,8.43,8.18,8.16,6.62,6.58,6.66,6.82,6.79,6.91,8.31,9.36,9.52,14.1,14.2,14.6,14.8,14.9,,
France,,25,25,25.1,25.1,25.3,25.3,25,25.2,25.6,25.9,25.9,26.2,26.2,26.2,26.1,25.9,25.4,25.3,25.2,,
Gabon,,29.3,,,,,,,,,,,,,,,,,,,,
Georgia,,,,2.47,2.22,2.8,3.14,3.58,4.43,4.83,5.34,6.41,,,,11.1,10.3,10.2,10.1,9.94,10.2,
Germany,,6.54,6.7,6.86,7,7.23,7.49,7.8,8.12,8.37,8.62,8.4,8.48,8.76,8.8,9.02,9.14,9.31,9.44,9.53,,
Ghana,,7.13,9.62,10.5,11.6,,,14.2,13.4,14.9,16,14.9,,15.4,15.9,16.1,16.2,17.2,16.8,16.7,16.1,15.5
Greece,4.95,5.03,5.56,5.82,5.75,5.96,5.86,5.53,5.62,5.19,,,4.81,4.66,4.66,4.37,4.24,4.26,4.2,4.31,,
Grenada,,,,,55.2,59.7,,,,59.7,62.3,61.3,62.3,,,61.6,62.8,,64.5,63.7,63.1,
Guatemala,,,,,73.5,,73.9,73.9,73.7,74,74.1,67.3,62.5,60.3,61.1,62.3,62.3,62.7,63.4,63.4,63,
Guinea,,,,,,12.1,9.29,,15.9,,23.3,,,26.3,,,39.3,,,,,
Guinea-Bissau,,,12.8,,,,,,,,,,,,,,,,,,,
Guyana,,0.813,,,,1.79,,,,2.07,2.51,2.46,6.23,8.71,7.93,,,,,,,
Honduras,,,,,,,,,27.4,,26.3,,24.6,26.9,28.3,30.2,26,26.7,26.3,26.1,,
Hungary,5.37,6.39,7.17,8.45,9.72,10.3,9.22,9.76,9.98,10.8,11.6,12.4,12.9,13.4,14.7,21.4,22,22.4,,22.2,,
Iceland,4,3.78,4.05,4.19,4.74,4.1,4.25,5.85,6.48,6.8,7.23,12,12.3,12.4,13.3,13.5,14.2,13.9,15,14.7,,
India,,,42.4,42.6,42,41.9,,,,,,,,,,48,50.2,50.2,50.5,,,
Indonesia,45.2,44.1,,42.7,42.7,42.9,42.9,44.2,43.5,47.1,42.9,43.3,41.8,41.4,41.7,40.9,43.4,41.2,42.2,41.5,42.1,
Iran,,,,,,6.72,,8.75,7.01,6.89,6.65,8.15,10.5,11.9,11.9,13.1,,13.6,12.9,13.1,,
Ireland,0.414,0.383,0.555,0.468,0.767,0.665,0.628,0.596,0.322,0.666,0.765,0.785,0.717,0.698,0.66,,0.728,0.747,0.626,0.289,,
Israel,,,,,,,,,,,,,10.5,11.9,11.2,11.4,11.7,11.7,11.8,12,,
Italy,,5.9,5.11,5.37,5.22,5.01,4.69,4.65,4.8,5.01,5.28,7.04,8.36,8.52,7.26,7.03,6.76,6.94,6.91,6.81,,
Jamaica,,,,2.37,2.91,1.65,5.79,5.79,,,4.48,5.66,5.15,5.15,,3.44,2.76,1.78,1.93,1.84,2.03,
Japan,,,,,,,,,,,,,,,,19.5,19.7,19.9,20.1,20.4,,
Jordan,,16.5,16.5,,16.2,16.3,16.6,,17,17,18.1,,18.6,18.7,19,19.3,19.2,,,21.5,21.6,
Kazakhstan,,0.75,1.18,,,,,,4.56,,,,5.72,5.42,5.08,4.92,5.58,5.55,5.33,4.78,4.69,4.67
Kenya,,,,,,,,,,11.3,11.7,12.7,,,,,,,,,,
Kuwait,,26.9,27.5,27.3,,27.1,27.6,,29.3,29.4,29.5,30.8,31.5,,33.9,35.1,36.4,35,,,,
Kyrgyz Republic,,0.236,0.221,0.38,0.258,0.229,0.456,0.7,1.04,1.36,,,,,,,2.97,2.97,2.84,2.72,2.85,
Lao,,0.681,0.869,0.83,0.845,0.84,1.11,1.57,1.36,1.55,1.92,2.2,2.69,2.89,3.14,3.31,3.03,2.78,2.77,2.81,,
