country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,67,,,90.5,92,,,80.8,,,,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3,92.3,90.8,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,97.2,,,,,,98.4,98.2,99.2,98.1,99.2,99.5,99.8,99.8,99.1,98.1,98.2,98.5,
Algeria,,,37.5,33.5,47.3,53.5,57.9,59.7,62.1,63,,71.1,,84.7,84.1,,,,90.8,91,90,90.9,91.1,90.1,90,89.6,91.4,,90.8,97.1,93.3,94.5,94.5,93.8,93.7,92.3,93.2,96.6,,98.9,98.6,97.7,98.5,99.4,99,98.9,,99.2,
Angola,,,,,,,,,,,,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,52.5,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,
Argentina,29.7,,,28.7,29.1,,,,,,,,,,,,,,,,,,,,,,,,97.2,98.2,97.7,97.4,96.5,96.7,95.9,95.4,95,95.2,95.3,95.9,96.2,96.6,96.8,97.3,97.4,99.5,99.9,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,98.1,99.7,99.5,99.3,99.2,,,,97.8,,97,99.9,98.5,98.1,98.3,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5,,,,,,,,,,,,99.9,99.8,99.9,100,99.9,99.9,99.8,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,95.9,96.8,,49.3,96.2,,97.9,98,98.2,98.3,98.1,99.2,99.3,99.1,99.1,99.6,99.2,98.6,98.7,99,99.1,99.1,99.4,99.4,97.6,99.2,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,99.3,99.8,,99,,,,,,,,,
Bahrain,,,,,,,,,,,,87.6,90.4,91.3,,97,,96.5,,,97.6,99.1,99.3,,,,,,,99.8,99.3,99.2,99.4,99.2,99,,,,,,,99.8,99.9,99.8,99.9,100,99.4,99.5,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,99.2,98,99.5,98.1,99.4,98.7,98.3,99.1,99,,,,,,,,,,
Belarus,,99.9,99.5,99.8,99.7,100,99.8,100,100,99.9,99.9,99.9,99.9,100,99.9,100,,,,,,100,100,99.5,98.1,98.5,99.7,,98.7,99.9,99.9,99.6,99.9,98.8,99.6,99.7,99.9,98.7,99.1,98.6,98.4,98.5,98.1,98.3,98.4,98.1,98,98.2,
Belgium,,,,,87.7,91.9,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
