country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12,6.32,,,,,,,,,,,,5.43,5.24,3.06,5.17,6.07,3.06,
Algeria,,,,,,,,,,,,,,,38.1,,,,,,,,,,,24.6,24.5,20.8,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.9,23.6,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.3,,4.69,1.44,
Argentina,,,,,35,32.9,,,,,,,,,,,,,,,,,,,,,,,3.57,2.62,0.851,1.51,2.61,2.84,1.77,2.02,3.1,2.74,2.61,2.43,1.67,1.98,1.11,0.773,0.511,0.383,0.129,0.00779,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,6.21,5.44,,2.06,2.48,5.26,,,,,6.8,7.37,8.21,
Australia,,,,,,,,,,,,,,,,,,,,,,,,1.02,1.46,1.6,0.828,,,,,,,,,,,,,,,,,0.616,0.422,0.17,1.1,1.88,,
Austria,,4.62,4.77,,4.22,2.17,2.62,,,,,,,,,,,,,,,,,,,,,,,1.71,0.272,,0.0683,0.0689,0.209,0.949,2.21,2.26,2.03,1.69,1.92,2.52,3.53,3.26,2.88,1.97,0.338,0.156,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,11.2,10.8,11,11.6,12.6,12.8,12.7,12.6,9.79,5.98,0.426,0.522,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,0.469,,,,,,,8.04,,,,,11.3,3.41,3.72,1.56,5.35,8.96,15.1,18,16.6,21.9,17.8,34,30.1,,29.5,
Bahrain,,,,,,,,8.64,8.9,7.9,,,6.11,2.58,8.69,3.89,5.56,7.06,,3.35,,,0,,0.205,0.244,,2.16,1.19,0.568,2.07,0.325,0.882,0.751,1.68,3.05,3.22,,,,,9.83,10.8,5.95,2.79,2.41,2.98,3.98,4.74,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,30.4,,,27.3,25.7,,,,,,,,,
Barbados,,,,,,,,,,,,5.75,,6.53,,,,,,9.59,,,,,,,,,,3.54,6.06,7.99,1.96,3.01,2.46,3.97,4.68,8.42,14.1,9.51,10.3,7.25,,,1.2,1.2,3.09,1.81,3.83,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,2.25,2.2,1.05,1.11,1.2,1.49,,,1.99,2.07,2.01,0.0963,0.0143,0.0745,0.151,1.29,1.06,
Belgium,,,,,,,,2.13,,,,,,,,,,,,,,,,0.018,0.234,0.0719,0.87,,,3.29,1.44,0.0523,0.0653,0.117,0.0205,0.226,1.07,4.43,5.41,3.97,2.22,1.37,1.34,0.7,0.768,2.42,2.89,1.38,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5.46,7.89,,3.49,,8,10.2,10.8,12.2,12.8,13.2,13.8,9.3,9.03,9.74,11.2,12.3,11.2,10.1,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,50.7,48.8,46.1,,,,36.3,33.4,,26,26.1,22.4,19.7,16.6,18.6,,15,14.4,13.1,12,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,4.56,2.81,,,,,,,,,3.64,4.34,6.02,3.51,4.44,8.38,10.8,12.8,14.5,13.5,
Botswana,,59.1,60.5,46.6,48.9,50.7,52,49.8,48,42.6,39.7,55.4,,,37.9,35.3,39.7,,,18.1,17.9,8.6,14.2,11.4,8.96,3.94,,,,2.29,3.17,,1.72,1.61,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,,1.03,,3.36,,,,,3.71,4.94,,
Brunei,,,,,,,,16.3,16,13.9,13.3,12.3,13.3,11,13.1,,,,,,,,,,,,,,,,,,,,,0.262,1.71,1.12,0.414,1.34,2.85,0.517,0.728,1.38,2.79,,,,0.321,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,4.27,3.7,4.42,4.44,3.4,3.5,3.02,3.45,4.18,6.84,8.03,9.58,10.8,9.15,5.41,3.64,0.245,0.224,2.82,7.13,10.1,,
Burkina Faso,,,,,,,,,,,,,,92.9,,,,,,88.3,,,,,,,,,,79.5,,83.9,,81.2,79.5,80.6,77.7,76.7,73.7,69.4,54.1,52.4,50,46.9,,42,48,47,43.8,
Burundi,,,,,,,,,,,88.1,,85.8,84.9,84.2,83.4,80,76.2,,,,,,67.4,,,,,,,,,,,,,,,,35.7,30.8,,,,,,,31.1,32.8,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1,86.4,85.5,83.5,79,75.3,75.7,71.3,36.5,16.9,21.6,,16.2,28.6,26.9,,17.2,13.3,,,,
Cameroon,,55.3,54.4,55.6,43,51.7,51.6,51.8,51,50.3,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,36.4,35.4,36.7,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,0.435,,,,,,,,,,,,,,,,,,0.301,0.489,0.287,0.0725,,,,
Cape Verde,,,,,,,,,,,,,,,,,,49.3,,,,,,,42.6,,,,,,,,0.78,4.01,6.17,4.01,6.73,7.3,,6.72,7.56,,7.33,6.75,8.7,11.2,12.7,13.3,13.5,
Central African Republic,,71,75.7,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2,,55.5,55.9,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3,74.9,72.7,69.7,68.2,66.7,,,,,,,,,,,,61.9,60.7,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28,4.35,5.24,3.1,2.73,2.88,2.13,1.3,2.19,3.33,5.05,,
