country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,0.0896,,,,,,
Armenia,,,,0.3,,,,0.351,,0.31,
Australia,,,,,,0.986,0.934,1.32,1.08,1.2,1.14
Austria,,,,,,,1.08,0.831,0.471,,
Azerbaijan,,,,,,0,0,0,,,
Bahamas,,,0.46,,,,,,,,
Bahrain,,,0.215,,,,,,0.233,0.233,0.244
Bangladesh,,,,0.0795,0.0814,0.0916,0.0968,0.158,0.166,0.179,0.193
Belgium,,,,,,0.534,0.495,0.586,0.624,,
Bhutan,,,,,0.0839,,,,,,
Bolivia,,,,,0.286,,,0.217,,,
Bosnia and Herzegovina,,,,,,,0.55,0.0984,0.166,,
Brazil,,,,,,,,,0.204,0.217,0.258
Burkina Faso,,,,,,,0,,,,
Cambodia,,,,,,,0.0548,0.087,,,
Canada,,,,,,,,,0.946,,
Cape Verde,,,,,,,,0.0426,,,
Chad,,0.0457,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,0.0242,,
Cote d'Ivoire,,,,,,,0.267,,,,
Cuba,,,,,0.355,,,,,,
Cyprus,,,,,,0.535,0.617,0.725,0.718,,
Czech Republic,,,,,,,0.504,0.601,0.653,,
Denmark,,,,,,,0,0.649,0.835,,0.779
Egypt,,,,,,,,,,0.306,
El Salvador,,,,,,0.0388,,,,,
Fiji,,,,,,,,,,0.0746,
Finland,,,,,0.999,1.03,1.06,1.08,,1.14,
France,,,,,,,0.713,0.764,0.805,0.836,
Georgia,,,,,0.235,,0.302,,0.413,0.512,
Germany,,,,,,,1.26,1.29,1.32,,1.25
Greece,,,,,,,0.54,0.487,0.511,,
Guatemala,,,,,0,0.0114,0.0415,,,,
Hungary,,,,,,0.503,0.659,0.754,0.71,,
Indonesia,,,,,,,,0.0321,0.0416,,0.0502
Iran,,,,,0.223,0.299,0.286,,0.368,,
Ireland,,,,0.792,,,,,,0.988,
Israel,,,,,,1.44,1.41,1.44,,,
Kuwait,,,,,,0.392,,,,,
Kyrgyz Republic,,0.0319,,,,,,,,,
Latvia,,,,,,0.469,0.477,0.543,0.412,,1.11
Lithuania,,,,,,0.443,0.469,0.609,0.586,0.625,
Malaysia,,,,,,,,,0.259,,
Mali,,,,,,,,,0.0628,,0.11
Malta,,,,,,0.269,0.245,0.279,0.24,,0.492
Marshall Islands,,,,0.0977,,,,,,,
Mauritius,,,,,,,,,,,0.129
Mexico,,,0.143,,,0.085,0.084,0.225,0.0763,0.0768,0.083
Moldova,,,,,,0.0637,0.083,0.184,,,0.146
Mongolia,,,0.264,,,,,,,,
Mozambique,,,,,,,,,,0.0383,
Netherlands,,,,,,0.555,0.561,0.567,0.58,,0.627
New Zealand,,,,,,,0.829,0.807,0.944,,
Niger,,,,,0.219,,,,,,
Norway,,,,,,,0.884,0.948,0.996,1.02,
Oman,,,0.363,,,,,0.301,,,
Pakistan,,,,,0.462,0.49,0.516,,0.501,0.493,
Palestine,,,,,,0.312,0.227,0.211,0.21,,0.255
Panama,,,0.255,,,,,,,,
Paraguay,,,,,0.0525,0.187,0.0653,0.122,0.0503,,0.0558
Philippines,,,,,,,,,,0.0469,
Poland,,,,,,0.534,0.567,,0.438,,
Portugal,,,,,,,0.452,0.487,0.495,0.566,0.589
Qatar,,,,,,,,,0.428,0.44,
Romania,,,,,,0,0.0811,,,,
Russia,,,0.649,,,,,,,,
Rwanda,,,,,0.0336,,0.0127,,,,0.016
Sao Tome and Principe,,,,,0,,,,,,
Saudi Arabia,,,,,,,,,,0.677,
Senegal,,,,0.275,,0.424,,,,0.0675,
Serbia,,,,0.347,,0.283,0.409,0.365,0.482,0.393,
Slovak Republic,,,,1.06,0,0,0.548,0.661,0.53,0.632,
Slovenia,,,,,,,1.63,1.76,2.3,2.76,
South Korea,,,0.579,,,,,0.772,,,
South Sudan,0.2,,,,,,,,,,
Spain,,,,,,,,,0.687,,0.66
St. Lucia,,,0.227,,,,,,,,
Sweden,,,,,,1.16,1.18,1.21,1.22,1.24,
Switzerland,,,,,,,2.97,2.9,2.91,,2.93
Trinidad and Tobago,,,,0.236,,,,,,,
Turkey,,,,,,0.344,0.351,0.339,0.359,0.423,
United Arab Emirates,,,,,,,,,2.54,0.682,0.905
United Kingdom,,,,,,0.916,0.884,,,1,
United States,,,,,,1.68,1.77,1.7,1.85,,2.03
Uruguay,,,,,,0.0611,,,,,
Zimbabwe,,,,,,,,,,0.0367,
