country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,,,,,,,9.82,,,12,12.9,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,16.3,17.2,18,,,,,,,,21.3,21.1,21,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,13.7,,,16.2,,17.2,17.8,18.2,18.4,18.8,19,18.8,18.6,19.4,,20
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,,,,47.3,,43.5,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,31.7,33,33.7,35.8,36.8,37.5,38.4,41.3,37.2,34.6,40.5,41.4,42.6,43.3
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,15.8,15.2,17.3,17.5,17.5,18,18.6,26.4,26.9,27.4,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,25.2,25.3,25.3,25.4,25.4,25.4,25.5,25.4,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341,,,,,,,,,,22.9,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,19.3,,,,,,23.9,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,,,,,,,,,,5.97,6.16,5.74,6.11,8.57,8.85,9.33,9.73
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,27.4,28.4,30,29.8,30.4,30.5,31.6,32.1,32.5,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,5.72,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,,20.9,,20.5,22.8,,,24,,,24,,,
