country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.769,0.924,0.951,1.09,1.02,1.12,1.27,1.41,1.81,1.95,,,1.72,,,,2.16,1.71,,,2.21,,,,,,,,,,,,,1.2,1.2,,,,,3.77,,3.62,,,8.23,,,,9.69,
Albania,,13.9,14.9,,,,,,5.83,,,5.19,,5.93,6.56,7.03,7.22,7.33,7.74,8.15,8.37,8.86,9.29,11.2,10.6,10.2,10.9,12.7,13.6,14.7,15.5,15.9,16.3,16.7,19.9,23.2,26.6,30.7,32.1,33.4,44.5,49.9,59.3,64.6,65.8,62,58.4,57.4,55,
Algeria,,,,,,,,,,,,,,,,,,9.05,8.86,,10.3,11,11.1,11,10.5,10.2,11.4,,,13.7,,15.7,17.4,18.6,19.1,20.9,21.3,23.6,,29.9,29.9,31.2,32.2,33.9,34.5,36.8,42.6,47.6,51.4,
Angola,,,,,,,,,,,,,,,,,,,0.584,0.548,0.553,0.545,0.505,,,,,,0.55,0.498,,,0.713,2.63,1.98,2.44,2.38,,,,,6.13,,8.84,,8.4,9.34,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,16.7,15.1,24.8,,,,,,,
Argentina,13.2,15.3,16.5,19.6,22.7,27,27.1,24.1,21.4,22.2,21.7,23.1,23.8,24.8,28.7,35.5,37.4,39.2,,,,38.1,,,37,,,,47,48.8,54,59,62.7,65.2,65.5,64,67,66.4,68.1,70.2,73.2,76.3,77.4,78.2,81,84,87.2,90,,
Armenia,,,,,,,,,,,,,,,,,17.6,,18.8,20.4,23.2,25.4,25.3,23,19.1,19.1,16.9,22.7,33.6,35.2,35.5,33.5,36.1,37.2,37.9,39.5,43.1,45.9,48.5,51.3,53,53.3,46.2,45.7,47.1,46.5,51.1,52.3,54.6,
Australia,15.8,17.1,18.4,19.6,21.8,23.3,24.1,24.4,24.8,25,25.2,25.6,25.6,26.4,27,27.9,29.5,29.7,31.5,32.7,35.4,38.3,39.7,65.6,67,70.7,75.6,80.9,,,,,,,,,,,,,,,,,,119,121,113,,
Austria,,12.2,13.7,15.1,16,16.7,18.5,19.3,19.7,20.4,21.4,22.3,22.5,23,23.9,25.5,26.7,27.8,29.4,30.6,32.5,34.7,37.6,39.8,42.3,45,47.5,49.6,52.4,,,,,,,,,63,65.9,68.1,75.6,78.5,78.9,79.7,79.2,80.7,83.5,85.1,,
Azerbaijan,,,,,,,,,,,,24,,,,,23.9,,25.2,24.5,24.2,24.8,25.2,22.2,19.4,18.4,18.1,17.6,,,,,,,,,19.8,19.4,19,19.1,19.3,19.6,20.4,21.4,23.2,25.5,25.9,27.1,27.7,
