country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,8.4,,,9,,,7.2,,,,7.8,,14.4,11.1,12.9,12,
Algeria,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,,14.2,,,,,,,,,,,,,,,,6.3,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,,17.1,,,,,,,,,,22.8
Argentina,,,,,,,,,,,,,,19.3,,,,,,19.4,20.8,,,,17.2,19.6,20.1,20.9,21.2,22.5,22.2,23,22.5,24.5,25.1,25.9,24.8,24.4,24,23.2,23.8,22.5,22.8,22.4,20.5,20.1,20,20,,20.7,19.4,20.3
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,9.3,,9.3,7.3,6.2,8,6.9,7,8.2,6.4,5.7,6.1,6.5,7.3,8,8.4,8.8,11.8,6.9,7.8
Australia,,,,,,,,,,,,,,,10.3,,,,10.7,,,,11,,,,,,10.4,,,,,,10,,10.5,9.7,,,,10.3,,10.3,,,,10,,,,
Austria,,,,,,,,,,,,,,,,,,,,,5,,,,,,,9.5,13.5,,9.5,,,9,,,8.8,8.5,7.9,8.1,10,10.4,11.3,10.4,10.1,10.7,9.6,10.5,11.3,10.7,10.7,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,9.6,1.9,3.1,1,0.9,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,5.7,,3.6,,,5.3,,,5.5,,,,5.1,,,,,5.2,,,,,4.3,,,,,5.1,,,,,,6.1,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,9.6,,,10.6,12.1,11.1,10.3,9.7,9.3,7.5,8.9,9.3,8.7,8.5,8,8.5,8.2,7,6.6,6.8,6.2,5.9,5.2,5.2
Belgium,,,,,,,,,,,,,,,,,,,6,,,6.7,,,,7,,,8.4,,8,,,7,,,9.3,9.1,8.5,9.1,9.1,8.8,9.4,9.6,10.2,9.1,10.1,9.7,10.5,10.2,10,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,18.1,27.3,18.3,20.7,20.7,20.5,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,11.8,,,,20.1,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,13.7,,,,,12.3,,,,,13.8,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,26.4,,30.3,29.6,27.1,28,,21.9,26.2,25.5,24.3,22.9,23.2,,21.8,22.9,22.7,21.6,21.3,21.9,21.5,19.8
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,11.7,,,11.9,,,,11.8,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,23.3,,,,,,,,23.4,,,,,,,,,23.9,,,,,,,22.7,,,,,,19.7,,,
Brazil,,,,,,,,,,,,,,,24.6,25,24.5,24,24.5,24.5,25.7,26.5,26.5,25.9,,25.3,25.1,,24.2,26.3,26.5,25.2,25.1,,25.9,25.3,25.3,24.5,24.3,23.6,24.2,23.5,23.4,,23,22.8,22.6,22.2,22.4,23,23.1,23.6
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,15.8,13.2,12.6,13.9,15.1,14.1,14.9,16,14.8,16.3,15.7,15.3,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,13.6,,,,,14.2,,,,,,11.6,,,,,5.4,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,17.4,,,,,,,,2.9,,,,,,,11.2,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,13.2,,,,,,15.8,,,,,,,21.7,,,,
Canada,,,,,16.2,,,,13.2,,,,,,12.2,,,,,,11.5,,,,11.2,,,11.7,,,13,13.2,,13.5,,,,13.7,,,12.5,,,13.2,,,14.7,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,,17.2,,,,,,,,15.8,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,,,,,,18.7,,,,,22.2,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,20.3,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,20.8,,,20.3,,18.7,,20.3,,19.6,,20.5,,19.3,,,19.5,,,16.4,,,15,,14.6,,13.9,,13.6,,13.6,
