country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,51.7,,,
Armenia,41.2,33.9,31.3,30.5,31.9,29.1,27.8,26,23.6,
Austria,18.9,19.2,18.5,18.8,19.2,18.3,18,18.1,17.5,
Belgium,20.8,21,21.6,20.8,21.2,21.1,20.9,20.6,20,
Bhutan,,,12.4,,,,,5.8,,
Bulgaria,49.2,49.1,49.3,48,40.1,41.3,40.4,38.9,32.8,32.5
Burundi,,,,,64.8,,,,,
Chile,,24.3,,20.4,,20.9,,20.7,,
Colombia,30.4,29.4,27,24.8,21.9,20.2,17.8,,19.6,
Costa Rica,30.9,28.8,22.1,25.3,25.7,26.2,25,23.1,23.6,20.7
Croatia,31.1,32.6,32.6,29.9,29.3,29.1,27.9,26.4,24.8,
Cyprus,24.6,24.6,27.1,27.8,27.4,28.9,27.7,25.2,23.9,
Dominican Republic,35.4,34.3,34.9,33.9,29.2,25.5,23.1,,,
El Salvador,,,,,40.5,,39.4,38.9,,
Estonia,21.7,23.1,23.4,23.5,26,24.2,24.4,23.4,24.4,
Finland,16.9,17.9,17.2,16,17.3,16.8,16.6,15.7,16.5,15.6
Germany,19.7,19.9,19.6,20.3,20.6,20,19.7,19,18.7,
Ghana,42.7,,,,,,,,,
Greece,27.7,31,34.6,35.7,36,35.7,35.6,34.8,31.8,
Guinea-Bissau,65.1,,,,57.8,,,,,
Hungary,29.9,31.5,33.5,34.8,31.8,28.2,26.3,25.6,19.6,18.9
Ireland,27.3,29.4,30.1,29.9,27.7,26.2,24.4,22.7,21.1,
Italy,25,28.1,29.9,28.5,28.3,28.7,30,28.9,27.3,
Lithuania,34,33.1,32.5,30.8,27.3,29.3,30.1,29.6,28.3,
Luxembourg,17.1,16.8,18.4,19,19,18.5,19.8,21.5,21.9,
Mali,,,,,,,39.8,,,
Malta,21.2,22.1,23.1,24.6,23.9,23,20.3,19.3,19,
Mexico,46.1,,45.5,,46.2,,43.6,,41.9,
Morocco,,9.8,,,8.2,,,,,
Mozambique,,,,,53,,,,,
Nepal,,,,,28.6,,,,,
Netherlands,15.1,15.7,15,15.9,16.5,16.4,16.7,17,16.7,
North Macedonia,47.2,50.4,50.3,48.1,43.3,41.6,41.1,41.6,41.1,
Pakistan,,,,,,38.8,,,,
Poland,27.8,27.2,26.7,25.8,24.7,23.4,21.9,19.5,18.9,18.2
Romania,41.5,40.9,43.2,41.9,40.3,37.4,38.8,35.7,32.5,
Rwanda,,44.4,,,32.9,,,28.7,,
Seychelles,,,,,,,,,32,
Slovenia,18.3,19.3,19.6,20.4,20.4,19.2,18.4,17.1,16.2,
Sweden,17.7,18.5,17.7,18.3,18.2,18.6,18.3,17.7,18,
Thailand,,,,,,,,17.6,,
