country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,52.5,,,
Armenia,,,,,,,,,4.75,
Bhutan,,,40.1,,,,,39.4,,
Colombia,43.2,43,42.5,42.4,41.7,41.9,41.5,,41.9,
Costa Rica,28.3,28.1,27.9,27.6,27.2,27.7,27.5,27.3,26.7,26.8
Dominican Republic,40.2,40.2,39.8,39.8,39.3,39.2,38.4,,,
Ecuador,52.1,50.7,50.5,49.1,48.5,48.8,48.1,48.8,49.3,49.8
El Salvador,,,,,5.58,,5.47,5.41,,
Ghana,41.8,,,,,,,,,
Guinea,,,,,51.5,,,,,
Guinea-Bissau,47.9,,,,46.7,,,,,
Mali,,,,,,,46,,,
Mexico,2.6,,2.4,,2.3,,2.2,,2.2,
Morocco,,40.9,,,40.5,,,,,
Mozambique,,,,,58,,,,,
Nepal,,,,,44.2,,,,,
Pakistan,,,,,,50.9,,,,
Philippines,,,,,,,43.2,41.2,,
Rwanda,,53.8,,,51.7,,,51.5,,
Seychelles,,,,,,,,,27.4,
Thailand,,,,,,,,38.7,,
