country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,,,,,,7.89,,,8.09,
Argentina,,,,,23.5,,,,,21.7
Armenia,,,,,6.16,,,,,6.94
Austria,,,,53.7,,,,,57,
Bangladesh,,3.52,,,,,,3.86,,
Belarus,,,,,20.4,,,,,20.4
Belgium,,,,47.9,,,,,48.9,
Benin,,,2.71,,,,2.72,,,
Bhutan,,,,8.08,,,,,8.78,
Bolivia,,,,,14.2,,,,,13.1
Botswana,9.55,,,,,,7.65,,,
Brazil,,,,,20.2,,,,,20.9
Chile,,,,,21.7,,,,25.2,
China,,,,,9.47,,,11.6,,
Colombia,,,,,14.1,,,,,14.4
Costa Rica,,,,,22.8,,,,,23.5
Croatia,,,,17.3,,,,,21.3,
Cyprus,,,,47.6,,,,,45.8,
Czech Republic,,,,26.3,,,,,30.2,
Denmark,,,,49.7,,,,,54,
Dominican Republic,,,12.6,,,,,15.5,,
Ecuador,,,,,13.5,,,,,13.8
Egypt,,,,5.56,,,,,5.23,
El Salvador,,,,,10.1,,,,,11.1
Estonia,,,,23.1,,,,,32.7,
Eswatini,3.85,,,,,,,5.82,,
Ethiopia,,2.88,,,,,3.11,,,
Finland,,,,49.4,,,,,51,
France,,,,52.5,,,,,53,
Georgia,,,,,7.13,,,,,7.65
Germany,,,52.5,,,,,54.6,,
Ghana,,,,6.24,,,,6.56,,
Greece,,,,22.4,,,,,22.5,
Honduras,,,,,7.97,,,,,8.68
Hungary,,,,18.7,,,,,23.5,
Iceland,,45.5,,,,,53.5,,,
Indonesia,,,,,,5.39,,,,6.53
Iran,,,,,,16.3,,,17.3,
Ireland,,,42.5,,,,,49.5,,
Israel,,31.1,,,,,,36.2,,
Italy,,,,39.9,,,,,42,
Kazakhstan,,,,11.5,,,,,11.2,
Kyrgyz Republic,,,,,5.04,,,,,5.69
Latvia,,,,17.8,,,,,26.4,
Lithuania,,,,19.8,,,,,28.3,
Luxembourg,,,,70.8,,,,,84.8,
Malawi,,1.84,,,,,,2.03,,
Malaysia,,,,21.8,,,,27.9,,
Malta,,,,37.9,,,,,45.5,
Mauritius,,,,12.5,,,,,13.8,
Moldova,,,,,9.61,,,,,9.76
Mongolia,,,8.78,,,,,,,9.19
Montenegro,,,,13.2,,,13.8,,,
Namibia,7.79,,,,,,11.3,,,
Netherlands,,,,49.2,,,,,54,
North Macedonia,,,,9.77,,,,,12.1,
Norway,,,,65.8,,,,,69.2,
Pakistan,,4.01,,,,,4.94,,,
Palestine,,,10.8,,,,,10.5,,
Panama,,,,,21.4,,,,,25.9
Paraguay,,,,,16.7,,,,,16.9
Peru,,,,,12.8,,,,,13.7
Philippines,,,,6.92,,,7.46,,,
Poland,,,,22.3,,,,,27.2,
Portugal,,,,25.1,,,,,27.7,
Romania,,,,9.15,,,,,14.7,
Russia,,,,,24.9,,,,,22.2
Rwanda,,,,,2.59,,,2.58,,
Serbia,,,,,10.9,,,,11.6,
Sierra Leone,,,2.33,,,,,,,2.84
Slovak Republic,,,23.8,,,,,22.5,,
Slovenia,,,,33,,,,,35.6,
Spain,,,,36.3,,,,,38.3,
Sri Lanka,,,,7.51,,,,8.82,,
Sweden,,,,49.5,,,,,54.6,
Switzerland,,,,66.2,,,,,67.3,
Tanzania,,,2.58,,,,,,,2.73
Thailand,,,,,,14.7,,,,15.4
Togo,,,2.63,,,,2.69,,,
Tunisia,,9.46,,,,,11.2,,,
Turkey,,,,,17,,,,,19.4
Uganda,,,,3.32,,,,3.19,,
Ukraine,,,,,13.1,,,,,13.2
United Kingdom,,,45,,,,,50.7,,
United States,,62.6,,,,,,69.1,,
Uruguay,,,,,25.5,,,,,27.4
Vietnam,,,,7.83,,,,,,10.5
Zambia,,2.59,,,,,2.99,,,
Zimbabwe,,,4.85,,,,,,3.91,
